V,gm 150,gm 151,gm 152
-0.6,3.0179999999997033e-06,9.483500000000017e-06,3.1700000000001717e-06
-0.58,1.7889999999998706e-06,5.359250000000005e-06,1.7474999999998134e-06
-0.56,5.210000000005054e-07,1.0365000000002195e-06,2.6075000000022955e-07
-0.54,3.949999999998226e-07,7.532499999999068e-07,2.707499999999533e-07
-0.52,3.464999999999805e-07,5.459999999997064e-07,2.4499999999984604e-07
-0.5,3.2500000000002145e-07,5.167499999999235e-07,3.0675000000008647e-07
-0.48,4.0425000000015796e-07,5.782500000000787e-07,3.9599999999994674e-07
-0.46,4.959999999997865e-07,4.832500000002092e-07,2.892499999997567e-07
-0.44,3.2924999999995284e-07,4.2325000000013185e-07,1.915000000002505e-07
-0.42,3.2750000000022345e-07,4.557500000001557e-07,2.4074999999991464e-07
-0.4,3.607499999998525e-07,4.924999999998941e-07,3.649999999997839e-07
-0.38,4.5150000000000745e-07,5.950000000001527e-07,3.167500000000271e-07
-0.36,4.1325000000019124e-07,6.034999999997986e-07,2.0600000000020775e-07
-0.34,2.9424999999994386e-07,4.909999999998162e-07,3.4899999999996566e-07
-0.32,2.999999999999531e-07,4.0500000000019687e-07,3.2999999999999176e-07
-0.3,3.3425000000014e-07,4.3825000000004277e-07,6.425000000000874e-08
-0.28,3.917499999997985e-07,4.0075000000004864e-07,9.750000000007149e-08
-0.26,1.940000000000188e-07,3.932500000000932e-07,3.1174999999983993e-07
-0.24,2.2925000000011304e-07,5.132499999998142e-07,2.8249999999962333e-07
-0.22,3.5675000000000637e-07,5.842499999997395e-07,2.1900000000008718e-07
-0.2,3.1249999999987885e-07,5.64250000000292e-07,2.407500000003483e-07
-0.18,2.249999999999648e-07,4.092499999999114e-07,2.449999999996292e-07
-0.16,1.6325000000015806e-07,3.5675000000000637e-07,2.1825000000004827e-07
-0.14,1.7325000000009867e-07,3.8399999999997464e-07,1.6425000000028223e-07
-0.12,1.9574999999953137e-07,4.074999999999652e-07,2.074999999998519e-07
-0.1,1.3250000000008047e-07,4.785000000001073e-07,1.5075000000001545e-07
-0.08,2.0174999999984268e-07,4.265000000001559e-07,5.749999999987536e-08
-0.06,2.685000000000534e-07,2.56500000000515e-07,3.5000000005429993e-09
-0.04,8.000000000039226e-08,2.967499999997122e-07,3.3500000000364835e-08
-0.02,6.149999999993834e-08,4.859999999998459e-07,9.324999999970641e-08
0.0,2.007500000001522e-07,4.3500000000023555e-07,8.074999999978065e-08
0.02,1.474999999999914e-07,2.999999999999531e-07,7.500000000020511e-08
0.04,6.59999999995213e-08,3.8499999999988196e-07,1.0924999999995834e-07
0.06,9.599999999977682e-08,3.0749999999990854e-07,5.7499999997923795e-09
0.08,7.999999999995858e-08,2.3674999999985166e-07,2.3999999999944205e-08
0.1,1.4825000000024714e-07,2.6749999999992925e-07,2.4999999997683126e-09
0.12,1.0825000000005101e-07,3.0575000000017914e-07,5.6500000000184875e-08
0.14,9.82500000001104e-08,2.989999999998289e-07,4.650000000002742e-08
0.16,3.249999999980699e-08,2.450000000000629e-07,8.674999999987512e-08
0.18,1.1075000000003617e-07,2.5849999999989597e-07,3.4999999996756376e-09
0.2,4.674999999967899e-08,2.1324999999942744e-07,3.074999999986075e-08
0.22,5.325000000016081e-08,1.3900000000034544e-07,3.599999999991631e-08
0.24,7.50000000038914e-09,1.8925000000013376e-07,1.574999999973299e-08
0.26,2.5000000002019934e-09,3.0849999999981587e-07,1.384999999999581e-07
0.28,4.850000000005891e-08,2.9000000000044615e-07,4.074999999980136e-08
0.3,2.2500000000083217e-08,1.2999999999987848e-07,7.5000000001723e-09
0.32,2.2500000000300058e-08,9.575000000012525e-08,1.1850000000007688e-07
0.34,1.1350000000010657e-07,2.7499999999836683e-08,3.400000000010166e-08
0.36,2.325000000001371e-07,5.249999999990505e-08,2.2500000000300058e-08
0.38,1.1999999999993786e-07,1.3575000000010454e-07,5.999999999986051e-08
0.4,2.6499999999712517e-08,2.2499999999866377e-08,2.0000000000098064e-08
0.42,9.82500000001104e-08,4.424999999991068e-08,1.9999999999881224e-08
0.44,3.600000000034999e-08,1.749999999989607e-08,3.9249999999940374e-08
0.46,4.824999999997366e-08,2.4999999997683126e-09,2.0749999999703297e-08
0.48,1.4000000000003593e-07,9.100000000002335e-08,5.2500000000338734e-08
0.5,8.999999999989919e-08,8.499999999862784e-09,2.2500000000083217e-08
