V,gm 150,gm 151,gm 152
-0.6,6.0798499999999835e-05,5.044699999999991e-05,4.1820000000000016e-05
-0.58,3.0350999999999913e-05,2.019499999999998e-05,1.935925000000002e-05
-0.56,4.640750000000022e-06,1.3333500000000092e-05,6.578250000000062e-06
-0.54,1.147749999999998e-05,1.7925750000000054e-05,1.1527500000000008e-05
-0.52,1.4968499999999977e-05,1.9991499999999973e-05,1.3702499999999939e-05
-0.5,1.6930999999999977e-05,2.127074999999992e-05,1.4842499999999999e-05
-0.48,1.8062500000000012e-05,2.2164250000000058e-05,1.553325000000006e-05
-0.46,1.859899999999995e-05,2.270099999999997e-05,1.5855749999999988e-05
-0.44,1.8859999999999992e-05,2.298325000000005e-05,1.5884999999999933e-05
-0.42,1.896850000000002e-05,2.315575000000011e-05,1.58375e-05
-0.4,1.8900749999999956e-05,2.3226750000000036e-05,1.5721000000000116e-05
-0.38,1.866900000000002e-05,2.3175000000000062e-05,1.5502499999999928e-05
-0.36,1.840675000000004e-05,2.3047499999999952e-05,1.5228250000000028e-05
-0.34,1.802999999999999e-05,2.2861749999999927e-05,1.4961750000000006e-05
-0.32,1.759250000000004e-05,2.262750000000006e-05,1.464924999999991e-05
-0.3,1.714100000000003e-05,2.2428249999999878e-05,1.4251749999999994e-05
-0.28,1.6617499999999974e-05,2.2300749999999985e-05,1.3872500000000013e-05
-0.26,1.6089e-05,2.195324999999999e-05,1.3476499999999958e-05
-0.24,1.5531500000000005e-05,2.155249999999994e-05,1.305824999999996e-05
-0.22,1.4938500000000047e-05,2.1329249999999975e-05,1.2554249999999992e-05
-0.2,1.4295000000000052e-05,2.107350000000004e-05,1.201325000000004e-05
-0.18,1.3580749999999946e-05,2.079324999999994e-05,1.1475749999999979e-05
-0.16,1.2844250000000005e-05,2.044649999999998e-05,1.0924250000000023e-05
-0.14,1.2074250000000024e-05,2.010600000000004e-05,1.0289250000000054e-05
-0.12,1.124574999999999e-05,1.972924999999999e-05,9.622499999999991e-06
-0.1,1.039150000000001e-05,1.93425e-05,8.960000000000023e-06
-0.08,9.531749999999999e-06,1.887325000000001e-05,8.203250000000007e-06
-0.06,8.636750000000056e-06,1.834650000000004e-05,7.4282500000000555e-06
-0.04,7.880750000000024e-06,1.7826750000000068e-05,6.641000000000047e-06
-0.02,6.804249999999988e-06,1.7217500000000043e-05,5.861750000000056e-06
0.0,5.55175e-06,1.6554999999999966e-05,5.028999999999982e-06
0.02,4.578999999999998e-06,1.578749999999997e-05,4.18174999999995e-06
0.04,3.621749999999969e-06,1.4955749999999966e-05,3.3799999999999846e-06
0.06,2.7217499999999473e-06,1.407349999999998e-05,2.6140000000000126e-06
0.08,1.8499999999999637e-06,1.3197499999999956e-05,1.870999999999969e-06
0.1,1.0424999999999887e-06,1.2333999999999967e-05,1.1924999999999653e-06
0.12,2.4750000000004803e-07,1.1416749999999972e-05,5.615000000000589e-07
0.14,3.80750000000059e-07,1.0840999999999986e-05,1.167499999999138e-07
0.16,8.317500000000044e-07,1.0298250000000033e-05,1.3400000000004988e-07
0.18,1.5884999999999662e-06,8.725749999999993e-06,7.624999999999711e-07
0.2,2.395000000000034e-06,7.166750000000004e-06,1.4075000000000437e-06
0.22,2.8807500000000113e-06,6.260749999999996e-06,1.6707499999999873e-06
0.24,3.3457500000000145e-06,5.33675000000003e-06,1.9017499999999382e-06
0.26,3.7617500000000593e-06,4.416000000000034e-06,2.180999999999971e-06
0.28,4.172499999999994e-06,3.4749999999999625e-06,2.450750000000017e-06
0.3,4.604000000000012e-06,2.6299999999999935e-06,2.6457500000000517e-06
0.32,4.91500000000003e-06,1.8232500000000033e-06,2.8367500000000233e-06
0.34,5.269249999999997e-06,1.0032499999999942e-06,3.042499999999983e-06
0.36,5.6824999999999714e-06,2.2249999999997966e-07,3.2342499999999936e-06
0.38,5.995000000000013e-06,5.124999999999379e-07,3.4442499999999933e-06
0.4,6.343500000000025e-06,1.1817499999999858e-06,3.6207500000000076e-06
0.42,6.747500000000043e-06,1.8724999999999927e-06,3.8107500000000177e-06
0.44,7.080750000000059e-06,2.508250000000001e-06,4.019249999999994e-06
0.46,7.4500000000000456e-06,3.0282500000000027e-06,4.219999999999983e-06
0.48,7.813249999999992e-06,3.546749999999981e-06,4.415000000000018e-06
0.5,8.124249999999955e-06,4.108500000000017e-06,4.615000000000023e-06
0.52,8.425000000000001e-06,4.6439999999999915e-06,4.810749999999988e-06
0.54,8.630750000000016e-06,5.110749999999995e-06,5.015749999999963e-06
0.56,8.779250000000023e-06,5.582500000000077e-06,5.231750000000057e-06
0.58,8.854250000000011e-06,6.031749999999968e-06,5.398499999999945e-06
0.6,9.045884604519724e-06,6.465239548022532e-06,5.620879378531038e-06
-0.6,9.480825748587576e-05,0.00013623303615819204,8.342765903954804e-05
-0.58,5.88182499999999e-05,7.869349999999986e-05,4.885999999999996e-05
-0.56,1.3898499999999989e-05,1.1925750000000017e-05,7.13924999999995e-06
-0.54,1.354999999999976e-06,4.487500000000021e-06,4.996499999999958e-06
-0.52,8.456749999999932e-06,1.1791749999999967e-05,1.0149999999999949e-05
-0.5,1.2328999999999942e-05,1.5718499999999914e-05,1.259500000000001e-05
-0.48,1.462925000000003e-05,1.8039999999999983e-05,1.3715000000000027e-05
-0.46,1.594350000000004e-05,1.955249999999989e-05,1.4636750000000039e-05
-0.44,1.676999999999999e-05,2.0454000000000045e-05,1.5329249999999992e-05
-0.42,1.7284999999999967e-05,2.0980750000000126e-05,1.541324999999996e-05
-0.4,1.7445750000000032e-05,2.134499999999998e-05,1.5439000000000013e-05
-0.38,1.747825e-05,2.1494999999999956e-05,1.5416000000000084e-05
-0.36,1.7425000000000003e-05,2.150749999999999e-05,1.5271000000000024e-05
-0.34,1.7175000000000024e-05,2.140175000000014e-05,1.5017499999999935e-05
-0.32,1.7241749999999964e-05,2.1616000000000018e-05,1.5085749999999953e-05
-0.3,1.674074999999999e-05,2.1500749999999857e-05,1.4654000000000067e-05
-0.28,1.591400000000001e-05,2.0777499999999934e-05,1.3874250000000014e-05
-0.26,1.557500000000004e-05,2.039425e-05,1.3601750000000006e-05
-0.24,1.5104250000000027e-05,2.0175749999999974e-05,1.3215749999999945e-05
-0.22,1.4554249999999987e-05,1.9898249999999995e-05,1.2838250000000019e-05
-0.2,1.397325e-05,1.9630749999999958e-05,1.2465000000000024e-05
-0.18,1.3362500000000006e-05,1.935175000000001e-05,1.1919999999999954e-05
-0.16,1.2650999999999971e-05,1.9041750000000062e-05,1.1424999999999966e-05
-0.14,1.1899250000000033e-05,1.8553250000000014e-05,1.0939999999999973e-05
-0.12,1.1161500000000046e-05,1.8084999999999987e-05,1.0358249999999948e-05
-0.1,1.0338249999999958e-05,1.7684250000000047e-05,9.728500000000034e-06
-0.08,9.521750000000004e-06,1.7155749999999965e-05,9.126750000000019e-06
-0.06,8.66325000000004e-06,1.6685750000000046e-05,8.550750000000057e-06
-0.04,7.736750000000034e-06,1.6180000000000025e-05,7.875000000000015e-06
-0.02,6.8284999999999635e-06,1.553075000000002e-05,7.160750000000018e-06
0.0,5.881500000000015e-06,1.4786000000000031e-05,6.4867499999999765e-06
0.02,4.983249999999993e-06,1.4098499999999994e-05,5.802500000000018e-06
0.04,4.0667499999999285e-06,1.3358249999999967e-05,5.121500000000029e-06
0.06,3.1557499999999503e-06,1.2526499999999962e-05,4.427499999999944e-06
0.08,2.2875000000000217e-06,1.1795749999999976e-05,3.7067499999999523e-06
0.1,1.45599999999994e-06,1.0994999999999972e-05,3.0184999999999847e-06
0.12,6.900000000000222e-07,1.011100000000004e-05,2.350750000000069e-06
0.14,1.5000000000073548e-08,9.187499999999973e-06,1.703249999999957e-06
0.16,7.032499999999869e-07,8.256500000000005e-06,1.079249999999944e-06
0.18,1.3574999999999612e-06,7.318500000000089e-06,5.525000000000798e-07
0.2,1.9275000000000455e-06,6.349999999999965e-06,1.0750000000033736e-08
0.22,2.456749999999949e-06,5.627499999999973e-06,5.425000000000308e-07
0.24,2.985999999999961e-06,4.664999999999997e-06,9.97499999999985e-07
0.26,3.490000000000036e-06,3.5190000000000048e-06,1.4307500000000032e-06
0.28,3.977500000000014e-06,2.666750000000057e-06,1.8824999999999333e-06
0.3,4.444250000000018e-06,1.82674999999995e-06,2.334250000000026e-06
0.32,4.843250000000012e-06,9.96749999999946e-07,2.7625000000000197e-06
0.34,5.231499999999972e-06,2.0750000000001453e-07,3.16425000000003e-06
0.36,5.650000000000056e-06,5.374999999999521e-07,3.5300000000000153e-06
0.38,6.061000000000022e-06,1.2217500000000193e-06,3.9089999999999655e-06
0.4,6.466749999999987e-06,1.870999999999969e-06,4.263249999999987e-06
0.42,6.935749999999999e-06,2.499000000000045e-06,4.602500000000043e-06
0.44,7.321500000000028e-06,3.0840000000000403e-06,4.831749999999993e-06
0.46,7.580750000000017e-06,3.492499999999967e-06,5.13750000000001e-06
0.48,7.951750000000004e-06,4.068499999999929e-06,5.541499999999974e-06
0.5,8.361749999999954e-06,4.8185000000000285e-06,5.78849999999996e-06
0.52,8.64325000000005e-06,5.30575000000003e-06,6.007499999999993e-06
0.54,8.86324999999999e-06,5.71749999999998e-06,6.2025000000000274e-06
0.56,9.039999999999981e-06,6.11425000000002e-06,6.356750000000044e-06
0.58,9.137499999999998e-06,6.484999999999976e-06,6.49575000000001e-06
0.6,9.357903531073489e-06,6.914665677966037e-06,6.711692090395428e-06
-0.6,9.737332725988693e-05,0.00013483314025423726,8.647609887005639e-05
-0.58,6.029749999999996e-05,7.919674999999995e-05,5.158425e-05
-0.56,1.4256500000000096e-05,1.3936750000000022e-05,8.946750000000004e-06
-0.54,1.1650000000000202e-06,3.1550000000000198e-06,3.9285000000000014e-06
-0.52,8.42900000000001e-06,1.0871749999999901e-05,9.346750000000013e-06
-0.5,1.2307500000000038e-05,1.505924999999997e-05,1.2148249999999997e-05
-0.48,1.458675000000001e-05,1.7628250000000087e-05,1.3734999999999963e-05
-0.46,1.6036749999999965e-05,1.9169250000000064e-05,1.459749999999999e-05
-0.44,1.6864999999999914e-05,2.0072499999999947e-05,1.5092499999999978e-05
-0.42,1.726575000000007e-05,2.056574999999999e-05,1.5329999999999977e-05
-0.4,1.7505000000000016e-05,2.0912500000000054e-05,1.536750000000008e-05
-0.38,1.759175e-05,2.107249999999997e-05,1.5340000000000026e-05
-0.36,1.7475750000000016e-05,2.106824999999993e-05,1.5254999999999989e-05
-0.34,1.7230750000000008e-05,2.1059999999999937e-05,1.499675000000007e-05
-0.32,1.686599999999993e-05,2.0838499999999973e-05,1.4721749999999968e-05
-0.3,1.6595749999999984e-05,2.058250000000001e-05,1.4481500000000007e-05
-0.28,1.6308999999999996e-05,2.0370750000000008e-05,1.4159999999999986e-05
-0.26,1.5738499999999958e-05,2.010324999999997e-05,1.3745000000000012e-05
-0.24,1.522849999999995e-05,1.974825000000002e-05,1.3302499999999983e-05
-0.22,1.4687500000000052e-05,1.9419250000000043e-05,1.290349999999999e-05
-0.2,1.4044000000000057e-05,1.9077500000000056e-05,1.241500000000005e-05
-0.18,1.3446499999999974e-05,1.8648249999999938e-05,1.1938999999999982e-05
-0.16,1.2756749999999983e-05,1.820350000000001e-05,1.1470000000000024e-05
-0.14,1.1994250000000066e-05,1.779599999999999e-05,1.0925000000000008e-05
-0.12,1.123325000000001e-05,1.7411499999999953e-05,1.0353999999999908e-05
-0.1,1.0468249999999945e-05,1.692075000000006e-05,9.768499999999959e-06
-0.08,9.635999999999933e-06,1.638999999999997e-05,9.203500000000008e-06
-0.06,8.861000000000036e-06,1.5769250000000035e-05,8.740000000000028e-06
-0.04,8.373249999999973e-06,1.5120999999999993e-05,8.504000000000053e-06
-0.02,7.243250000000016e-06,1.4945749999999971e-05,7.549999999999994e-06
0.0,5.856750000000032e-06,1.4682500000000028e-05,6.3759999999999945e-06
0.02,5.025749999999958e-06,1.334575000000004e-05,5.8000000000000326e-06
0.04,4.175749999999964e-06,1.2066499999999983e-05,5.1539999999999984e-06
0.06,3.242499999999934e-06,1.1376000000000008e-05,4.478249999999957e-06
0.08,2.419250000000009e-06,1.06835e-05,3.80599999999997e-06
0.1,1.6517500000000135e-06,9.943999999999958e-06,3.1167499999999867e-06
0.12,8.865000000000262e-07,9.03150000000001e-06,2.4750000000000466e-06
0.14,1.8925000000002534e-07,8.09175000000004e-06,1.8749999999999236e-06
0.16,5.32500000000036e-07,7.222499999999987e-06,1.300749999999962e-06
0.18,1.1742500000000303e-06,6.357499999999974e-06,7.407500000000352e-07
0.2,1.7657499999999653e-06,5.489999999999976e-06,1.6674999999999633e-07
0.22,2.3324999999999713e-06,4.588250000000008e-06,3.6574999999998544e-07
0.24,2.8617499999999832e-06,3.644249999999998e-06,8.29249999999965e-07
0.26,3.3942500000000192e-06,2.7917499999999653e-06,1.2959999999999686e-06
0.28,3.8457499999999725e-06,2.010749999999974e-06,1.790000000000049e-06
0.3,4.2675000000000265e-06,1.216750000000049e-06,2.243250000000057e-06
0.32,4.722499999999981e-06,4.3750000000005807e-07,2.695750000000026e-06
0.34,5.126499999999999e-06,2.8425000000000325e-07,3.1142500000000016e-06
0.36,5.570750000000082e-06,9.949999999999998e-07,3.565999999999986e-06
0.38,6.005999999999969e-06,1.696749999999963e-06,3.990749999999979e-06
0.4,6.395999999999984e-06,2.3124999999999817e-06,4.33749999999999e-06
0.42,6.823249999999962e-06,2.8957500000000307e-06,4.715750000000064e-06
0.44,7.220000000000002e-06,3.4915000000000054e-06,5.13499999999997e-06
