V,gm 150,gm 151,gm 152
-0.6,2.1734999999999866e-05,2.951999999999999e-06,3.6499999999998685e-06
-0.58,6.713249999999965e-06,1.1491750000000014e-05,2.7707500000000683e-06
-0.56,1.1091750000000004e-05,2.1355000000000245e-05,1.082749999999999e-05
-0.54,1.512400000000004e-05,2.3145749999999954e-05,1.3167499999999972e-05
-0.52,1.713000000000002e-05,2.3895749999999836e-05,1.4259250000000004e-05
-0.5,1.833500000000002e-05,2.4240000000000025e-05,1.4846750000000039e-05
-0.48,1.900824999999997e-05,2.4347500000000038e-05,1.5155749999999971e-05
-0.46,1.932425000000001e-05,2.4356750000000048e-05,1.52699999999999e-05
-0.44,1.9433250000000046e-05,2.4185749999999957e-05,1.519074999999998e-05
-0.42,1.9381749999999994e-05,2.3967500000000017e-05,1.4995000000000015e-05
-0.4,1.9282499999999977e-05,2.3810000000000085e-05,1.4801750000000089e-05
-0.38,1.9068999999999976e-05,2.352324999999999e-05,1.457250000000003e-05
-0.36,1.872850000000009e-05,2.3149999999999993e-05,1.4274999999999954e-05
-0.34,1.841249999999994e-05,2.283999999999999e-05,1.3954249999999972e-05
-0.32,1.8047499999999993e-05,2.2482499999999946e-05,1.3550000000000031e-05
-0.3,1.7581000000000074e-05,2.208350000000017e-05,1.3125750000000046e-05
-0.28,1.7118999999999956e-05,2.1735999999999956e-05,1.2758249999999952e-05
-0.26,1.6662499999999978e-05,2.1395749999999992e-05,1.2375750000000001e-05
-0.24,1.6145000000000016e-05,2.0968999999999968e-05,1.1926749999999924e-05
-0.22,1.560750000000001e-05,2.0568250000000028e-05,1.145425000000002e-05
-0.2,1.4964249999999991e-05,2.0171750000000073e-05,1.0950000000000022e-05
-0.18,1.4317499999999973e-05,1.9760999999999976e-05,1.0442499999999946e-05
-0.16,1.3666750000000053e-05,1.937425000000004e-05,9.934999999999979e-06
-0.14,1.2923999999999987e-05,1.892825000000001e-05,9.385000000000047e-06
-0.12,1.2140749999999987e-05,1.8452499999999973e-05,8.765749999999973e-06
-0.1,1.125750000000004e-05,1.799175000000001e-05,8.078250000000044e-06
-0.08,1.0344999999999983e-05,1.7444999999999993e-05,7.388499999999999e-06
-0.06,9.392500000000056e-06,1.692250000000006e-05,6.639250000000047e-06
-0.04,8.368250000000002e-06,1.631500000000009e-05,5.85150000000003e-06
-0.02,7.31674999999998e-06,1.5629999999999984e-05,5.072500000000016e-06
0.0,6.2209999999999935e-06,1.4895749999999997e-05,4.278500000000037e-06
0.02,5.089249999999982e-06,1.4108999999999997e-05,3.4442500000000475e-06
