V,gm 150,gm 151,gm 152
-0.6,4.994084999999993e-05,4.7160499999999895e-05,5.6848849999999946e-05
-0.58,3.213434999999989e-05,3.053959999999991e-05,3.743582499999998e-05
-0.56,1.2159000000000058e-05,1.1822100000000098e-05,1.5360150000000067e-05
-0.54,9.023325000000014e-06,8.75640000000001e-06,1.1361249999999992e-05
-0.52,7.4631749999999576e-06,7.250574999999939e-06,9.217500000000011e-06
-0.5,6.428250000000004e-06,6.273999999999988e-06,7.824249999999975e-06
-0.48,5.700400000000031e-06,5.589250000000048e-06,6.820849999999984e-06
-0.46,5.174425000000025e-06,5.126174999999997e-06,6.102350000000001e-06
-0.44,4.73134999999999e-06,4.6961750000000025e-06,5.5228250000000025e-06
-0.42,4.3524999999999825e-06,4.351750000000025e-06,5.006150000000023e-06
-0.4,4.063649999999983e-06,4.068000000000002e-06,4.576924999999995e-06
-0.38,3.852750000000001e-06,3.8031749999999824e-06,4.2258499999999995e-06
-0.36,3.581250000000009e-06,3.600999999999995e-06,3.921399999999993e-06
-0.34,3.3328999999999965e-06,3.356400000000014e-06,3.616400000000015e-06
-0.32,3.150999999999984e-06,3.1456499999999755e-06,3.3274249999999997e-06
-0.3,2.9421750000000054e-06,2.984925000000028e-06,3.0744250000000006e-06
-0.28,2.715174999999982e-06,2.7470999999999995e-06,2.8556749999999987e-06
-0.26,2.485249999999991e-06,2.5320749999999668e-06,2.623574999999998e-06
-0.24,2.2359249999999984e-06,2.3430749999999725e-06,2.3582499999999973e-06
-0.22,1.995750000000009e-06,2.1138499999999764e-06,2.1151749999999945e-06
-0.2,1.7328250000000133e-06,1.8554249999999976e-06,1.877900000000018e-06
-0.18,1.4032500000000039e-06,1.5971500000000157e-06,1.5995750000000024e-06
-0.16,1.0653250000000202e-06,1.3145749999999873e-06,1.3592499999999887e-06
-0.14,7.353249999999742e-07,1.0168499999999969e-06,1.1077500000000132e-06
-0.12,3.9259999999997994e-07,7.260750000000183e-07,8.406000000000136e-07
-0.1,2.0849999999981344e-08,4.220750000000022e-07,6.071749999999947e-07
-0.08,3.3149999999998827e-07,1.0774999999998893e-07,3.309999999999804e-07
-0.06,6.934249999999704e-07,1.7874999999999554e-07,1.0042500000003894e-07
-0.04,1.0606750000000066e-06,4.802499999999993e-07,1.2959999999998602e-07
-0.02,1.353575000000005e-06,7.861749999999942e-07,3.6510000000000774e-07
0.0,1.5926750000000076e-06,1.0396499999999927e-06,5.684999999999794e-07
0.02,1.8733500000000115e-06,1.2675000000000078e-06,7.639999999999947e-07
0.04,2.1269000000000084e-06,1.480675000000006e-06,9.667500000000158e-07
0.06,2.321900000000016e-06,1.7142500000000217e-06,1.190750000000019e-06
0.08,2.4551750000000082e-06,1.9226749999999993e-06,1.3442499999999965e-06
0.1,2.570425000000007e-06,2.104324999999981e-06,1.4626500000000122e-06
0.12,2.762924999999975e-06,2.2775e-06,1.6785749999999994e-06
0.14,2.832425000000012e-06,2.3827500000000036e-06,1.9064250000000416e-06
0.16,2.815500000000014e-06,2.3762500000000096e-06,2.017249999999995e-06
0.18,3.13932499999996e-06,2.65949999999997e-06,2.321499999999988e-06
0.2,3.533650000000013e-06,3.069575e-06,2.769424999999996e-06
0.22,3.749750000000006e-06,3.2323249999999877e-06,3.0460749999999825e-06
0.24,3.965175000000012e-06,3.4002500000000053e-06,3.254899999999988e-06
0.26,4.16207499999999e-06,3.545675000000021e-06,3.508500000000002e-06
0.28,4.393074999999995e-06,3.700424999999991e-06,3.781350000000021e-06
0.3,4.678175000000017e-06,3.9141749999999954e-06,3.989249999999982e-06
0.32,4.921850000000008e-06,4.066824999999981e-06,4.192499999999984e-06
0.34,5.107425e-06,4.210824999999999e-06,4.4411000000000006e-06
0.36,5.3740750000000185e-06,4.379249999999997e-06,4.651650000000025e-06
0.38,5.617900000000006e-06,4.525424999999997e-06,4.8086500000000035e-06
0.4,5.759749999999995e-06,4.661824999999971e-06,4.9936749999999976e-06
