V,gm 150,gm 151,gm 152
-0.6,7.447499999999993e-05,6.448699999999986e-05,8.603000000000001e-05
-0.58,4.917574999999981e-05,4.2919999999999894e-05,5.7729249999999884e-05
-0.56,2.0325000000000128e-05,1.8397500000000137e-05,2.5068250000000083e-05
-0.54,1.5089250000000008e-05,1.4019249999999966e-05,1.8546500000000043e-05
-0.52,1.2401499999999946e-05,1.1693999999999973e-05,1.5185000000000025e-05
-0.5,1.0713999999999993e-05,1.025825e-05,1.3091000000000014e-05
-0.48,9.567500000000047e-06,9.291750000000015e-06,1.1563500000000033e-05
-0.46,8.698500000000025e-06,8.52100000000005e-06,1.0446499999999955e-05
-0.44,7.979999999999988e-06,7.89250000000002e-06,9.524999999999974e-06
-0.42,7.398250000000017e-06,7.530749999999989e-06,8.725000000000009e-06
-0.4,6.870999999999982e-06,6.9424999999999695e-06,8.05150000000003e-06
-0.38,6.416750000000013e-06,6.393249999999968e-06,7.509249999999976e-06
-0.36,6.013999999999987e-06,6.170000000000004e-06,7.016749999999973e-06
-0.34,5.623999999999972e-06,5.826750000000047e-06,6.494249999999986e-06
-0.32,5.249999999999992e-06,5.475749999999996e-06,6.0342500000000075e-06
-0.3,4.8817500000000215e-06,5.118250000000005e-06,5.595749999999988e-06
-0.28,4.4835000000000664e-06,4.786000000000059e-06,5.168249999999979e-06
-0.26,4.089999999999996e-06,4.4092499999999544e-06,4.760000000000029e-06
-0.24,3.754999999999926e-06,3.991499999999963e-06,4.325749999999995e-06
-0.22,3.3357500000000197e-06,3.5757499999999496e-06,3.9250000000000005e-06
-0.2,2.8840000000000354e-06,3.1850000000000584e-06,3.5335000000000162e-06
-0.18,2.475999999999954e-06,2.7242499999999867e-06,3.144249999999986e-06
-0.16,2.029249999999994e-06,2.181749999999956e-06,2.7407499999999754e-06
-0.14,1.5732500000000243e-06,1.6900000000000465e-06,2.37824999999996e-06
-0.12,1.1167499999999923e-06,1.2082499999999693e-06,2.036750000000004e-06
-0.1,6.525000000000281e-07,6.617500000000382e-07,1.6799999999999975e-06
-0.08,2.114999999999691e-07,1.3674999999995765e-07,1.3707500000000343e-06
-0.06,1.974999999999655e-07,3.267499999999677e-07,1.0417500000000583e-06
-0.04,5.764999999999698e-07,7.967499999999412e-07,7.392500000000116e-07
-0.02,9.192499999999726e-07,1.2300000000000136e-06,4.875000000000322e-07
0.0,1.2517500000000037e-06,1.6050000000000092e-06,2.3999999999998415e-07
0.02,1.5732500000000243e-06,1.969249999999971e-06,2.499999999985153e-09
0.04,1.853250000000042e-06,2.3015000000000253e-06,2.72500000000008e-07
0.06,2.1167500000000166e-06,2.6107500000000427e-06,5.342500000000364e-07
0.08,2.366000000000011e-06,2.853499999999989e-06,7.624999999999711e-07
0.1,2.6125000000000974e-06,3.0900000000000263e-06,1.0107500000000038e-06
0.12,2.868249999999923e-06,3.3774999999999452e-06,1.3049999999999477e-06
0.14,2.9757500000000435e-06,3.188249999999974e-06,1.4575000000000178e-06
0.16,2.9267499999999767e-06,3.4132500000000473e-06,1.5117500000000317e-06
0.18,3.4149999999999394e-06,4.097500000000006e-06,2.0849999999999775e-06
0.2,4.0457500000000315e-06,4.281750000000007e-06,2.708250000000006e-06
0.22,4.329249999999996e-06,4.451750000000027e-06,3.0124999999999987e-06
0.24,4.640000000000037e-06,4.688999999999941e-06,3.3710000000000055e-06
0.26,4.820749999999983e-06,4.8807499999999515e-06,3.7134999999999772e-06
0.28,5.001749999999959e-06,5.0875000000000356e-06,4.09575000000006e-06
0.3,5.412500000000003e-06,5.299250000000036e-06,4.5107499999999805e-06
0.32,5.797499999999993e-06,5.5174999999999755e-06,4.905749999999966e-06
0.34,6.065000000000031e-06,5.702500000000015e-06,5.26575000000005e-06
0.36,6.3700000000000085e-06,5.859250000000071e-06,5.640000000000007e-06
0.38,6.672500000000001e-06,6.070749999999986e-06,6.037499999999977e-06
0.4,6.960750000000013e-06,6.270000000000006e-06,6.373500000000009e-06
0.42,7.245750000000001e-06,6.486749999999922e-06,6.680000000000011e-06
0.44,7.545750000000008e-06,6.6924999999999906e-06,7.020749999999982e-06
0.46,7.845999999999938e-06,6.880750000000054e-06,7.346750000000019e-06
0.48,8.137500000000028e-06,7.094250000000055e-06,7.643249999999971e-06
0.5,8.426500000000025e-06,7.2934999999999125e-06,7.920750000000004e-06
0.52,8.768499999999935e-06,7.494000000000034e-06,8.210000000000032e-06
0.54,9.06100000000004e-06,7.7225e-06,8.459249999999917e-06
0.56,9.315750000000067e-06,7.931000000000084e-06,8.64250000000012e-06
0.58,9.585749999999928e-06,8.156500000000002e-06,8.871750000000015e-06
0.6,9.896036723163896e-06,8.455601694915117e-06,9.221836158191969e-06
-0.6,0.00010748023446327667,0.00010425083898305064,0.00012303646892655338
-0.58,6.860249999999986e-05,6.622324999999983e-05,7.994249999999996e-05
-0.56,2.53482500000001e-05,2.403150000000005e-05,3.132900000000019e-05
