V,gm 150,gm 151,gm 152
-0.6,4.567349999999989e-05,6.499350000000005e-05,4.965849999999981e-05
-0.58,3.370249999999988e-05,4.897350000000007e-05,3.482749999999987e-05
-0.56,2.119150000000011e-05,3.177325000000011e-05,1.920325000000011e-05
-0.54,2.0410749999999933e-05,2.986824999999993e-05,1.8049249999999993e-05
-0.52,1.9843500000000028e-05,2.8624249999999966e-05,1.738750000000001e-05
-0.5,1.9447500000000027e-05,2.7612499999999946e-05,1.680999999999997e-05
-0.48,1.9174000000000003e-05,2.6662500000000113e-05,1.6333500000000002e-05
-0.46,1.8725999999999997e-05,2.5908250000000082e-05,1.5838249999999983e-05
-0.44,1.8265999999999964e-05,2.5224250000000046e-05,1.5292499999999983e-05
-0.42,1.7831500000000007e-05,2.4454249999999956e-05,1.4773500000000051e-05
-0.4,1.7413250000000062e-05,2.3783249999999908e-05,1.4343250000000026e-05
-0.38,1.6910999999999988e-05,2.316674999999996e-05,1.3941499999999907e-05
-0.36,1.6361749999999986e-05,2.2521750000000103e-05,1.3399250000000016e-05
-0.34,1.5897500000000022e-05,2.192075000000002e-05,1.2922500000000017e-05
-0.32,1.5384000000000014e-05,2.1354000000000013e-05,1.2525749999999977e-05
-0.3,1.4851499999999978e-05,2.075250000000003e-05,1.207424999999997e-05
-0.28,1.4343500000000003e-05,2.0202499999999988e-05,1.1590750000000055e-05
-0.26,1.3753499999999983e-05,1.9681750000000002e-05,1.1149249999999988e-05
-0.24,1.3165749999999971e-05,1.9165000000000024e-05,1.0712500000000023e-05
-0.22,1.2578249999999991e-05,1.8622500000000047e-05,1.0172500000000032e-05
-0.2,1.1968250000000036e-05,1.8072500000000007e-05,9.66500000000001e-06
-0.18,1.1329750000000011e-05,1.7498999999999976e-05,9.193174999999956e-06
-0.16,1.0618074999999997e-05,1.6902500000000016e-05,8.694424999999991e-06
-0.14,9.909750000000015e-06,1.6357500000000055e-05,8.148650000000036e-06
-0.12,9.19859999999999e-06,1.5745000000000006e-05,7.513324999999956e-06
-0.1,8.40007500000004e-06,1.5105000000000012e-05,6.94085000000003e-06
-0.08,7.564825000000008e-06,1.4482500000000023e-05,6.34600000000001e-06
-0.06,6.7166750000000215e-06,1.3831000000000065e-05,5.646650000000025e-06
-0.04,5.83517500000002e-06,1.309099999999996e-05,5.010500000000016e-06
-0.02,4.918074999999994e-06,1.2374e-05,4.349925000000026e-06
0.0,3.992575000000005e-06,1.158075000000006e-05,3.6484249999999853e-06
0.02,3.1043500000000137e-06,1.0784250000000042e-05,2.9899999999999968e-06
0.04,2.205575000000003e-06,1.004500000000003e-05,2.29614999999999e-06
0.06,1.3513249999999697e-06,9.233574999999964e-06,1.6260000000000146e-06
0.08,6.036749999999938e-07,8.422574999999988e-06,1.0589250000000061e-06
0.1,1.152499999999986e-07,7.625349999999993e-06,5.334249999999719e-07
0.12,7.986749999999471e-07,6.8482500000000305e-06,7.325000000004203e-09
0.14,1.303325e-06,6.153324999999955e-06,3.2725000000000267e-07
0.16,1.7415000000000171e-06,5.566999999999969e-06,5.733249999999984e-07
0.18,2.3944250000000004e-06,4.599499999999968e-06,1.1277499999999758e-06
0.2,2.988499999999973e-06,3.56092499999999e-06,1.6055000000000442e-06
0.22,3.328499999999987e-06,2.852075000000045e-06,1.8596750000000103e-06
0.24,3.6282500000000173e-06,2.1669250000000504e-06,2.0949999999999452e-06
0.26,3.898674999999995e-06,1.4559999999999942e-06,2.275825000000052e-06
