V,gm 150,gm 151,gm 152
-0.6,0.00023621000000000002,0.00026424649999999956,0.0001772549999999999
-0.58,0.00017115175000000007,0.00018103,0.00012965250000000024
-0.56,8.595674999999992e-05,7.634825000000004e-05,6.587424999999992e-05
-0.54,5.352324999999985e-05,4.380574999999988e-05,4.039424999999989e-05
-0.52,3.323675000000011e-05,2.6240000000000074e-05,2.5238999999999817e-05
-0.5,2.010500000000008e-05,1.5455750000000195e-05,1.536000000000007e-05
-0.48,1.1248250000000029e-05,8.22925000000009e-06,8.505000000000014e-06
-0.46,4.864249999999909e-06,3.256750000000131e-06,3.694999999999957e-06
-0.44,1.8499999999976868e-07,5.192499999999087e-07,8.499999999992888e-08
-0.42,3.515749999999764e-06,3.5332500000000936e-06,3.0867500000000565e-06
-0.4,6.4532500000000995e-06,6.028249999999805e-06,5.2775000000001e-06
-0.38,8.983499999999905e-06,8.041000000000081e-06,7.174249999999851e-06
-0.36,1.136599999999985e-05,9.699999999999856e-06,8.696499999999831e-06
-0.34,1.3349999999999864e-05,1.1193999999999744e-05,1.000400000000009e-05
-0.32,1.5084999999999968e-05,1.2779250000000174e-05,1.1231000000000001e-05
-0.3,1.673324999999998e-05,1.4237500000000231e-05,1.23749999999998e-05
-0.28,1.8251499999999898e-05,1.5477499999999806e-05,1.3519000000000031e-05
-0.26,1.9732500000000123e-05,1.703999999999985e-05,1.4257499999999895e-05
-0.24,2.098425000000002e-05,1.834249999999992e-05,1.5154999999999986e-05
-0.22,2.1910750000000024e-05,1.952250000000007e-05,1.612000000000011e-05
-0.2,2.2554249999999802e-05,2.0812499999999998e-05,1.663350000000001e-05
-0.18,2.2904249999999892e-05,2.1830999999999934e-05,1.7205999999999862e-05
-0.16,2.343750000000002e-05,2.2782500000000224e-05,1.7604000000000057e-05
-0.14,2.383825000000007e-05,2.387075000000031e-05,1.7784000000000072e-05
-0.12,2.487075000000001e-05,2.4518249999999717e-05,1.7906749999999864e-05
-0.1,2.486600000000034e-05,2.4999250000000027e-05,1.780675000000024e-05
-0.08,2.3308249999999964e-05,2.5459250000000114e-05,1.758925000000023e-05
-0.06,2.279150000000004e-05,2.5666500000000097e-05,1.7484250000000204e-05
-0.04,2.2467500000000144e-05,2.5731500000000145e-05,1.7229000000000116e-05
-0.02,2.1910999999999892e-05,2.5875000000000073e-05,1.6588999999999797e-05
0.0,2.1237500000000076e-05,2.5732500000000052e-05,1.6009250000000074e-05
0.02,2.0295750000000074e-05,2.514599999999998e-05,1.5397500000000064e-05
0.04,1.926599999999977e-05,2.4521749999999827e-05,1.443249999999994e-05
0.06,1.804174999999993e-05,2.3910749999999856e-05,1.346924999999998e-05
0.08,1.6578250000000034e-05,2.336424999999998e-05,1.2524999999999776e-05
0.1,1.5046500000000067e-05,2.235174999999992e-05,1.1479250000000088e-05
0.12,1.3547500000000209e-05,2.1149000000000038e-05,1.0345000000000146e-05
0.14,1.2600999999999888e-05,2.0645749999999947e-05,9.40899999999972e-06
0.16,1.1722499999999988e-05,2.1205000000000052e-05,9.097499999999965e-06
0.18,9.240000000000203e-06,1.8696749999999943e-05,7.671000000000327e-06
0.2,6.794999999999761e-06,1.5238500000000054e-05,5.651749999999785e-06
0.22,5.556499999999831e-06,1.4061500000000062e-05,4.707499999999799e-06
0.24,4.334250000000237e-06,1.2753249999999982e-05,3.996500000000205e-06
0.26,3.146750000000134e-06,1.1439249999999892e-05,3.149999999999941e-06
0.28,2.2125000000000877e-06,1.0186749999999958e-05,2.5334999999998293e-06
0.3,1.1742499999999219e-06,8.965749999999923e-06,2.0164999999998205e-06
0.32,1.0074999999987871e-07,7.639999999999947e-06,1.32400000000003e-06
0.34,6.200000000000042e-07,6.456750000000209e-06,8.500000000001562e-07
0.36,1.3117499999999727e-06,5.26400000000005e-06,5.224999999997159e-07
0.38,2.2100000000001025e-06,4.160750000000053e-06,3.424999999997007e-08
0.4,3.296500000000025e-06,3.1410000000001246e-06,4.5649999999997776e-07
0.42,4.0509999999999245e-06,2.1167499999997456e-06,8.600000000000968e-07
0.44,4.504999999999917e-06,1.2182499999999642e-06,1.3259999999998447e-06
0.46,5.257500000000219e-06,3.292500000001697e-07,1.6599999999998994e-06
0.48,5.812499999999958e-06,5.867500000001583e-07,1.938250000000242e-06
0.5,6.163250000000087e-06,1.439999999999905e-06,2.27000000000018e-06
0.52,6.680999999999918e-06,2.117500000000218e-06,2.588249999999851e-06
0.54,7.086749999999937e-06,2.780000000000187e-06,2.9099999999998485e-06
0.56,7.433250000000134e-06,3.539000000000103e-06,3.222500000000378e-06
0.58,7.732499999999832e-06,4.169999999999738e-06,3.4807499999999717e-06
0.6,7.978095480225582e-06,4.525097033898147e-06,3.649955367231618e-06
-0.6,5.7950718079095506e-05,2.2220012288135232e-05,1.6972248022598634e-05
-0.58,1.6448500000000674e-05,8.825675000000057e-05,3.360650000000065e-05
-0.56,0.00010214174999999986,0.0001467542500000001,9.095175000000018e-05
-0.54,0.00010268824999999995,0.00011904499999999991,8.274099999999989e-05
-0.52,7.834249999999986e-05,8.385324999999992e-05,5.7816499999999984e-05
-0.5,5.538674999999997e-05,5.7380749999999927e-05,4.0587500000000085e-05
-0.48,3.7595750000000115e-05,3.832750000000006e-05,2.7864249999999926e-05
-0.46,2.5283249999999945e-05,2.4793250000000036e-05,1.8666500000000252e-05
-0.44,1.6446750000000078e-05,1.5324250000000022e-05,1.1633249999999911e-05
-0.42,9.404249999999835e-06,8.407499999999943e-06,6.36499999999993e-06
-0.4,3.989000000000249e-06,3.197499999999876e-06,2.373499999999912e-06
-0.38,8.000000000017542e-08,7.400000000001589e-07,7.724999999999659e-07
-0.36,3.4865000000001978e-06,3.778500000000025e-06,3.2617499999998845e-06
-0.34,5.981749999999777e-06,6.268999999999936e-06,5.22250000000021e-06
-0.32,7.3824999999999585e-06,8.73999999999992e-06,7.3500000000001516e-06
-0.3,9.225750000000114e-06,1.0664250000000158e-05,8.435749999999818e-06
-0.28,1.1351750000000195e-05,1.121824999999999e-05,8.559999999999904e-06
-0.26,1.3128499999999791e-05,1.226074999999987e-05,9.529999999999999e-06
-0.24,1.4825750000000033e-05,1.4111750000000067e-05,1.0869250000000025e-05
-0.22,1.6325750000000232e-05,1.5770999999999927e-05,1.2165000000000179e-05
-0.2,1.7594249999999985e-05,1.72607500000001e-05,1.3169000000000158e-05
-0.18,1.8749249999999848e-05,1.8705749999999542e-05,1.3847499999999728e-05
-0.16,1.98217500000002e-05,1.9989999999999895e-05,1.4719999999999967e-05
-0.14,2.0571500000000215e-05,2.1025750000000292e-05,1.546325000000015e-05
-0.12,2.104074999999977e-05,2.1919249999999887e-05,1.574850000000006e-05
-0.1,2.130500000000011e-05,2.2542500000000132e-05,1.597600000000001e-05
-0.08,2.144424999999989e-05,2.324575000000012e-05,1.6368250000000197e-05
-0.06,2.1396000000000132e-05,2.3828499999999997e-05,1.6600750000000117e-05
-0.04,2.1108250000000236e-05,2.3826750000000268e-05,1.6315000000000253e-05
-0.02,2.07565000000002e-05,2.3875750000000064e-05,1.602674999999997e-05
0.0,2.0301749999999952e-05,2.3945749999999865e-05,1.5868249999999914e-05
0.02,1.9496749999999962e-05,2.3544249999999777e-05,1.5495750000000174e-05
0.04,1.840749999999997e-05,2.3226749999999928e-05,1.4831749999999911e-05
0.06,1.7317499999999937e-05,2.2700000000000064e-05,1.3918249999999785e-05
0.08,1.62064999999999e-05,2.185750000000008e-05,1.3116750000000121e-05
0.1,1.4922499999999849e-05,2.104899999999998e-05,1.2444999999999817e-05
0.12,1.3459250000000256e-05,2.0694000000000138e-05,1.1701499999999983e-05
0.14,1.2059999999999935e-05,1.945999999999979e-05,1.049249999999992e-05
0.16,1.0557499999999968e-05,1.746924999999986e-05,9.315999999999882e-06
0.18,9.028249999999986e-06,1.606099999999994e-05,8.470000000000439e-06
0.2,7.647499999999903e-06,1.4781749999999991e-05,7.427499999999908e-06
0.22,6.264249999999834e-06,1.3488249999999953e-05,6.354999999999772e-06
0.24,4.828249999999992e-06,1.2187500000000046e-05,5.440000000000002e-06
0.26,3.5417499999999564e-06,1.0807500000000218e-05,4.556750000000217e-06
0.28,2.4134999999998914e-06,9.443999999999945e-06,3.6157500000000373e-06
