V,gm 150,gm 151,gm 152
-0.6,0.00025536999999999966,0.00028014799999999965,0.00019775499999999976
-0.58,0.00017727650000000004,0.00018311575,0.00013672899999999971
-0.56,7.715400000000028e-05,6.583350000000012e-05,5.9840749999999845e-05
-0.54,4.340174999999981e-05,3.5842500000000076e-05,3.5354999999999935e-05
-0.52,2.4521000000000005e-05,1.984750000000009e-05,2.0128249999999985e-05
-0.5,1.2698250000000091e-05,9.969999999999988e-06,9.841000000000016e-06
-0.48,4.842499999999864e-06,3.6575000000001797e-06,3.5985000000000097e-06
-0.46,7.790000000000141e-07,1.0632500000000173e-06,8.867500000001114e-07
-0.44,4.9824999999999e-06,4.610999999999851e-06,4.260999999999978e-06
-0.42,8.10174999999998e-06,7.242499999999923e-06,6.781749999999797e-06
-0.4,1.059749999999973e-05,9.505000000000147e-06,8.728250000000033e-06
-0.38,1.2682500000000142e-05,1.141425000000004e-05,1.018575000000005e-05
-0.36,1.4462500000000196e-05,1.2988249999999887e-05,1.1377499999999869e-05
-0.34,1.5932499999999922e-05,1.4384249999999967e-05,1.2398250000000138e-05
-0.32,1.721675000000006e-05,1.5509250000000007e-05,1.3481750000000122e-05
-0.3,1.8560000000000148e-05,1.669900000000001e-05,1.4292499999999904e-05
-0.28,1.949675000000018e-05,1.768150000000003e-05,1.484749999999986e-05
-0.26,2.0194999999999762e-05,1.8691749999999972e-05,1.548424999999994e-05
-0.24,2.0839999999999834e-05,1.9826749999999954e-05,1.5947499999999833e-05
-0.22,2.132075000000006e-05,2.064675000000007e-05,1.646925000000016e-05
-0.2,2.1870000000000006e-05,2.132424999999995e-05,1.6874000000000056e-05
-0.18,2.243099999999984e-05,2.2075749999999695e-05,1.6973250000000073e-05
-0.16,2.284649999999993e-05,2.2925000000000246e-05,1.7121749999999972e-05
-0.14,2.285575000000005e-05,2.3541750000000226e-05,1.7227500000000038e-05
-0.12,2.252500000000002e-05,2.4034999999999942e-05,1.724749999999992e-05
-0.1,2.2068250000000173e-05,2.4423250000000065e-05,1.7164999999999975e-05
-0.08,2.180675000000012e-05,2.464749999999999e-05,1.6846750000000087e-05
-0.06,2.1552500000000373e-05,2.482500000000002e-05,1.651325000000042e-05
-0.04,2.076675000000001e-05,2.467150000000015e-05,1.6089999999999854e-05
-0.02,1.9837499999999933e-05,2.4565000000000047e-05,1.545499999999994e-05
0.0,1.8902500000000065e-05,2.4353499999999915e-05,1.4725750000000194e-05
0.02,1.7836000000000024e-05,2.3855000000000143e-05,1.4009250000000025e-05
0.04,1.6602499999999847e-05,2.3438999999999882e-05,1.3144249999999958e-05
0.06,1.5322500000000076e-05,2.2668249999999645e-05,1.2211750000000075e-05
0.08,1.3940750000000085e-05,2.1619999999999973e-05,1.1189999999999898e-05
0.1,1.238325000000001e-05,2.062924999999996e-05,1.0074000000000107e-05
0.12,1.0953250000000046e-05,1.959675000000002e-05,8.948250000000244e-06
0.14,9.679999999999975e-06,1.9435000000000155e-05,8.294249999999488e-06
0.16,8.948499999999896e-06,1.9386749999999965e-05,7.800000000000081e-06
0.18,7.199250000000136e-06,1.6656749999999915e-05,6.2592500000002976e-06
0.2,4.9214999999999155e-06,1.3925750000000174e-05,4.722499999999926e-06
0.22,3.7900000000000433e-06,1.2939000000000006e-05,3.970749999999881e-06
0.24,2.800000000000068e-06,1.1714249999999777e-05,3.3150000000000453e-06
0.26,1.8200000000000334e-06,1.046675000000003e-05,2.6525000000000767e-06
0.28,8.935000000002448e-07,9.30899999999988e-06,1.9967499999998077e-06
0.3,1.2324999999996193e-07,8.156750000000088e-06,1.4782500000001548e-06
