V,gm 150,gm 151,gm 152
-0.6,1.9614999999996576e-06,9.904999999999687e-06,2.0835000000000606e-06
-0.58,1.3924999999995365e-06,5.9874999999995696e-06,1.29924999999983e-06
-0.56,8.600000000005305e-07,1.817500000000265e-06,5.665000000001919e-07
-0.54,9.067499999999926e-07,1.5307500000000598e-06,7.207500000000998e-07
-0.52,9.517499999997254e-07,1.4482500000001161e-06,1.0075000000000882e-06
-0.5,1.0599999999999932e-06,1.4142500000000145e-06,1.074250000000082e-06
-0.48,1.1957500000000978e-06,1.3482499999996258e-06,1.0017499999998621e-06
-0.46,1.256500000000214e-06,1.3732500000003447e-06,1.0614999999998542e-06
-0.44,1.2717500000002102e-06,1.4860000000004123e-06,1.0132500000000974e-06
-0.42,1.2842499999999191e-06,1.5357500000000301e-06,9.584999999998588e-07
-0.4,1.2717499999997765e-06,1.5099999999999229e-06,1.0192500000001919e-06
-0.38,1.2832500000000118e-06,1.4409999999998122e-06,1.0532500000002935e-06
-0.36,1.1374999999999667e-06,1.5182499999997004e-06,1.0707499999999728e-06
-0.34,1.0610000000001174e-06,1.5307500000000598e-06,1.0257499999998063e-06
-0.32,1.165000000000237e-06,1.4707500000001993e-06,9.542499999999274e-07
-0.3,1.2582499999999434e-06,1.5492499999998632e-06,1.0175000000000288e-06
-0.28,1.213249999999777e-06,1.5317499999999672e-06,1.092500000000017e-06
-0.26,1.0932499999998391e-06,1.5215000000001581e-06,9.417500000002185e-07
-0.24,1.0999999999999725e-06,1.5342500000001692e-06,8.267499999996004e-07
-0.22,1.0975000000002042e-06,1.5059999999998599e-06,9.774999999998327e-07
-0.2,1.0157500000002994e-06,1.5382500000000153e-06,9.832500000002756e-07
-0.18,8.834999999996537e-07,1.529999999999804e-06,8.242499999998321e-07
-0.16,8.934999999998111e-07,1.5617500000002227e-06,8.049999999999898e-07
-0.14,8.815000000002727e-07,1.4090000000001757e-06,7.840000000002012e-07
-0.12,8.007500000000584e-07,1.356499999999837e-06,6.949999999997757e-07
-0.1,8.925000000001206e-07,1.5392499999999226e-06,6.424999999998706e-07
-0.08,8.782499999998149e-07,1.493500000000151e-06,5.767500000000009e-07
-0.06,6.600000000002004e-07,1.360750000000419e-06,6.210000000001284e-07
-0.04,4.967500000002591e-07,1.3182500000002376e-06,5.674999999998823e-07
-0.02,4.6924999999998877e-07,1.3924999999997533e-06,5.649999999996803e-07
0.0,4.907500000001647e-07,1.3357499999999169e-06,5.032500000003073e-07
0.02,3.6425000000017867e-07,1.1867500000000645e-06,4.207500000001467e-07
0.04,2.7099999999982173e-07,1.2309999999999752e-06,4.157499999997427e-07
0.06,2.307499999997572e-07,1.1817499999998773e-06,2.492500000002111e-07
0.08,2.0824999999989081e-07,1.043250000000136e-06,1.9925000000007437e-07
0.1,2.8324999999966224e-07,1.0007499999999548e-06,2.1999999999977767e-07
0.12,2.66750000000324e-07,9.925000000001773e-07,1.57499999999932e-07
