V,gm 150,gm 151,gm 152
-0.6,1.701500000000443e-06,9.206999999999648e-06,1.741999999999888e-06
-0.58,1.1107499999997352e-06,5.581749999999551e-06,1.0742499999996484e-06
-0.56,6.500000000000429e-07,1.7932500000004525e-06,5.957500000001916e-07
-0.54,8.782500000002486e-07,1.550749999999941e-06,7.617499999999864e-07
-0.52,1.0267500000001473e-06,1.5757500000002263e-06,7.617499999997696e-07
-0.5,1.122499999999839e-06,1.595999999999976e-06,8.5999999999988e-07
-0.48,1.205750000000472e-06,1.541749999999691e-06,9.70000000000094e-07
-0.46,1.1699999999997737e-06,1.4400000000001217e-06,9.689999999999699e-07
-0.44,1.1267499999997703e-06,1.4042500000000738e-06,1.010750000000329e-06
-0.42,1.2742500000001954e-06,1.460749999999825e-06,1.075000000000121e-06
-0.4,1.303999999999932e-06,1.480000000000101e-06,1.0817499999996039e-06
-0.38,1.2267500000000438e-06,1.5282500000000747e-06,1.1124999999998983e-06
-0.36,1.2725000000000323e-06,1.5539999999999651e-06,1.1040000000000355e-06
-0.34,1.3607499999999852e-06,1.5424999999997299e-06,1.053499999999945e-06
-0.32,1.2909999999998357e-06,1.4699999999999436e-06,1.0209999999999213e-06
-0.3,1.0667500000001266e-06,1.4575000000004515e-06,9.707499999999161e-07
-0.28,1.0189999999998898e-06,1.5417500000001246e-06,9.440000000001184e-07
-0.26,1.1440000000000148e-06,1.687499999999736e-06,9.667500000002868e-07
-0.24,1.2234999999998029e-06,1.6057499999998313e-06,9.742499999995918e-07
-0.22,1.1225000000000557e-06,1.5199999999998635e-06,9.139999999998628e-07
-0.2,1.0400000000003289e-06,1.5267499999999969e-06,8.175000000003492e-07
-0.18,1.0067499999998324e-06,1.4349999999999346e-06,7.067499999998793e-07
-0.16,9.449999999998088e-07,1.4992500000001602e-06,6.957499999998146e-07
-0.14,8.975000000000909e-07,1.5800000000001577e-06,6.932500000002631e-07
-0.12,9.407500000000943e-07,1.530000000000021e-06,7.774999999997194e-07
-0.1,8.792499999999391e-07,1.3860000000001389e-06,7.917499999998082e-07
-0.08,7.0500000000015e-07,1.4099999999998662e-06,5.867500000001583e-07
-0.06,7.100000000001203e-07,1.4832499999999083e-06,5.867500000001583e-07
-0.04,6.382499999999392e-07,1.4032499999999497e-06,5.457500000002717e-07
-0.02,5.850000000002121e-07,1.2907500000001841e-06,5.124999999997753e-07
0.0,5.134999999998995e-07,1.2832500000000118e-06,4.867499999998848e-07
0.02,4.4149999999985e-07,1.2917500000000914e-06,3.2750000000022345e-07
0.04,4.1499999999992064e-07,1.0934999999999244e-06,1.7175000000023768e-07
0.06,3.592499999997747e-07,1.106750000000106e-06,2.0074999999971851e-07
0.08,2.575000000002055e-07,1.2315000000001457e-06,2.889999999998883e-07
0.1,2.467500000000091e-07,1.1464999999997831e-06,3.8074999999995057e-07
0.12,3.18999999999927e-07,1.0850000000000616e-06,3.700000000001879e-07
0.14,2.100000000000539e-07,1.1267499999997703e-06,1.2849999999980065e-07
0.16,1.4424999999996732e-07,9.734999999999865e-07,2.9999999999821836e-08
0.18,9.999999999940612e-09,8.100000000001769e-07,1.4400000000031575e-07
0.2,1.2074999999997678e-07,8.11499999999821e-07,1.6499999999988746e-07
0.22,1.150000000023528e-08,8.025000000000046e-07,8.100000000008274e-08
0.24,2.0000000000098064e-08,7.975000000002511e-07,1.1750000000016955e-07
0.26,1.0649999999988793e-07,8.192500000000786e-07,1.2899999999997115e-07
0.28,4.9250000000097827e-08,6.484999999999651e-07,1.4750000000020823e-07
0.3,7.324999999982519e-08,5.100000000002238e-07,3.85000000001183e-08
0.32,1.4250000000088844e-08,5.907500000000045e-07,6.749999999916545e-09
0.34,2.0250000000009843e-07,5.874999999999804e-07,1.4250000000002108e-07
0.36,8.899999999977502e-08,5.45000000000016e-07,3.67500000003889e-08
0.38,3.9249999999940374e-08,4.539999999999926e-07,2.8499999999960848e-08
0.4,1.3000000000009532e-07,5.307499999999271e-07,8.249999999972689e-08
0.42,2.0824999999989081e-07,5.585000000002827e-07,1.2749999999989332e-07
0.44,2.710000000002554e-07,3.6599999999990807e-07,7.149999999987895e-08
