V,IDS 150,IDS 151,IDS 152
-0.6,9.235887e-05,9.741157e-05,9.132607e-05
-0.58,9.272063e-05,9.746847e-05,9.171813e-05
-0.56,9.272083e-05,9.731787e-05,9.169417e-05
-0.54,9.261167e-05,9.712857e-05,9.160543e-05
-0.52,9.148723e-05,9.691927e-05,9.147323e-05
-0.5,9.133033e-05,9.66923e-05,9.13127e-05
-0.48,9.11169e-05,9.644757e-05,9.11343e-05
-0.46,9.089547e-05,9.620067e-05,9.094937e-05
-0.44,9.065383e-05,9.594657e-05,9.07591e-05
-0.42,9.041297e-05,9.56874e-05,9.055843e-05
-0.4,9.016647e-05,9.542417e-05,9.034827e-05
-0.38,8.990813e-05,9.515257e-05,9.014043e-05
-0.36,8.964337e-05,9.488037e-05,8.99287e-05
-0.34,8.937823e-05,9.460927e-05,8.97125e-05
-0.32,8.910863e-05,9.43253e-05,8.94939e-05
-0.3,8.88388e-05,9.404463e-05,8.927797e-05
-0.28,8.85677e-05,9.376127e-05,8.90631e-05
-0.26,8.829327e-05,9.346963e-05,8.884727e-05
-0.24,8.802297e-05,9.318527e-05,8.863037e-05
-0.22,8.774793e-05,9.289217e-05,8.84112e-05
-0.2,8.748283e-05,9.260453e-05,8.819443e-05
-0.18,8.721487e-05,9.23096e-05,8.79854e-05
-0.16,8.695543e-05,9.2008e-05,8.777397e-05
-0.14,8.670223e-05,9.171147e-05,8.75698e-05
-0.12,8.645777e-05,9.140197e-05,8.73708e-05
-0.1,8.62148e-05,9.11022e-05,8.717343e-05
-0.08,8.597603e-05,9.080337e-05,8.698503e-05
-0.06,8.5758e-05,9.050453e-05,8.679893e-05
-0.04,8.554833e-05,9.020253e-05,8.662583e-05
-0.02,8.534953e-05,8.990733e-05,8.64629e-05
0.0,8.51665e-05,8.96131e-05,8.630917e-05
0.02,8.499857e-05,8.932333e-05,8.61628e-05
0.04,8.484587e-05,8.90384e-05,8.602607e-05
0.06,8.470637e-05,8.875263e-05,8.58983e-05
0.08,8.458537e-05,8.847667e-05,8.578613e-05
0.1,8.44744e-05,8.820773e-05,8.568297e-05
0.12,8.437957e-05,8.79456e-05,8.55915e-05
0.14,8.43017e-05,8.769e-05,8.55035e-05
0.16,8.4212e-05,8.74102e-05,8.54099e-05
0.18,8.41652e-05,8.718027e-05,8.532067e-05
0.2,8.41238e-05,8.695853e-05,8.526117e-05
0.22,8.409073e-05,8.67436e-05,8.52016e-05
0.24,8.406763e-05,8.65448e-05,8.51501e-05
0.26,8.405257e-05,8.63527e-05,8.509867e-05
0.28,8.404363e-05,8.616783e-05,8.505393e-05
0.3,8.40423e-05,8.599737e-05,8.50148e-05
0.32,8.40501e-05,8.583647e-05,8.497527e-05
0.34,8.40624e-05,8.568407e-05,8.493883e-05
0.36,8.408663e-05,8.5546e-05,8.490773e-05
0.38,8.41102e-05,8.54175e-05,8.48771e-05
0.4,8.41444e-05,8.530233e-05,8.48553e-05
0.42,8.41826e-05,8.51944e-05,8.483423e-05
0.44,8.42265e-05,8.50987e-05,8.48126e-05
0.46,8.42797e-05,8.50143e-05,8.479753e-05
0.48,8.43417e-05,8.49425e-05,8.47867e-05
0.5,8.440623e-05,8.48754e-05,8.478357e-05
0.52,8.447523e-05,8.482467e-05,8.477903e-05
0.54,8.454817e-05,8.47789e-05,8.477543e-05
0.56,8.463277e-05,8.47465e-05,8.47823e-05
0.58,8.472113e-05,8.47225e-05,8.47954e-05
0.6,8.481103e-05,8.470987e-05,8.4813e-05
-0.6,9.002023e-05,9.448353e-05,9.021127e-05
-0.58,9.095223e-05,9.55414e-05,9.097127e-05
-0.56,9.113343e-05,9.572903e-05,9.114743e-05
-0.54,9.113683e-05,9.571967e-05,9.116237e-05
-0.52,9.105187e-05,9.563003e-05,9.110513e-05
-0.5,9.091517e-05,9.549833e-05,9.099983e-05
-0.48,9.075137e-05,9.532543e-05,9.087133e-05
-0.46,9.056817e-05,9.51295e-05,9.07226e-05
-0.44,9.036403e-05,9.492153e-05,9.056047e-05
-0.42,9.01481e-05,9.469013e-05,9.037837e-05
-0.4,8.99159e-05,9.445793e-05,9.019027e-05
-0.38,8.968183e-05,9.421413e-05,8.999713e-05
-0.36,8.944133e-05,9.395833e-05,8.980417e-05
-0.34,8.91993e-05,9.370637e-05,8.96083e-05
-0.32,8.89453e-05,9.344023e-05,8.940137e-05
-0.3,8.869597e-05,9.31879e-05,8.919597e-05
-0.28,8.844607e-05,9.292863e-05,8.899493e-05
-0.26,8.819533e-05,9.266213e-05,8.878863e-05
-0.24,8.794413e-05,9.238937e-05,8.858093e-05
-0.22,8.769057e-05,9.21224e-05,8.837353e-05
-0.2,8.743633e-05,9.185087e-05,8.816527e-05
-0.18,8.71827e-05,9.156757e-05,8.79575e-05
-0.16,8.693527e-05,9.12862e-05,8.77522e-05
-0.14,8.66948e-05,9.100307e-05,8.755337e-05
-0.12,8.64549e-05,9.0719e-05,8.73551e-05
-0.1,8.622177e-05,9.043157e-05,8.715503e-05
-0.08,8.599717e-05,9.014893e-05,8.695763e-05
-0.06,8.57774e-05,8.98706e-05,8.67675e-05
-0.04,8.556867e-05,8.959053e-05,8.658333e-05
-0.02,8.536753e-05,8.93063e-05,8.640633e-05
0.0,8.518193e-05,8.902107e-05,8.623263e-05
0.02,8.500863e-05,8.874427e-05,8.60673e-05
0.04,8.48455e-05,8.84805e-05,8.59102e-05
0.06,8.47008e-05,8.821463e-05,8.576447e-05
0.08,8.456783e-05,8.79585e-05,8.562247e-05
0.1,8.445033e-05,8.77087e-05,8.548997e-05
0.12,8.434343e-05,8.745993e-05,8.536983e-05
0.14,8.424637e-05,8.72167e-05,8.525677e-05
0.16,8.41649e-05,8.69852e-05,8.514867e-05
0.18,8.409583e-05,8.676453e-05,8.504933e-05
0.2,8.40383e-05,8.655187e-05,8.495593e-05
0.22,8.39894e-05,8.635027e-05,8.487213e-05
0.24,8.395267e-05,8.616167e-05,8.479847e-05
0.26,8.392533e-05,8.59862e-05,8.472087e-05
0.28,8.390437e-05,8.581507e-05,8.466093e-05
0.3,8.389753e-05,8.565847e-05,8.460973e-05
0.32,8.389553e-05,8.551133e-05,8.45646e-05
0.34,8.390737e-05,8.537517e-05,8.452313e-05
0.36,8.39262e-05,8.52519e-05,8.448963e-05
0.38,8.395217e-05,8.514173e-05,8.446483e-05
0.4,8.398433e-05,8.504237e-05,8.443983e-05
0.42,8.402187e-05,8.493987e-05,8.441717e-05
0.44,8.406167e-05,8.48434e-05,8.440047e-05
0.46,8.411777e-05,8.478157e-05,8.440773e-05
0.48,8.418183e-05,8.472787e-05,8.4421e-05
0.5,8.425397e-05,8.468387e-05,8.444037e-05
0.52,8.433137e-05,8.465213e-05,8.446377e-05
0.54,8.44123e-05,8.463193e-05,8.44917e-05
0.56,8.450573e-05,8.461957e-05,8.452887e-05
0.58,8.460243e-05,8.46144e-05,8.456607e-05
0.6,8.46993e-05,8.46236e-05,8.4608e-05
-0.6,9.004383e-05,9.386147e-05,9.009017e-05
-0.58,9.102297e-05,9.500507e-05,9.093593e-05
-0.56,9.12185e-05,9.52256e-05,9.112707e-05
-0.54,9.12352e-05,9.524603e-05,9.115423e-05
-0.52,9.11576e-05,9.517127e-05,9.110227e-05
-0.5,9.10419e-05,9.50419e-05,9.100923e-05
-0.48,9.087833e-05,9.487417e-05,9.087823e-05
-0.46,9.069117e-05,9.468727e-05,9.072873e-05
-0.44,9.048467e-05,9.44767e-05,9.056337e-05
-0.42,9.026293e-05,9.425787e-05,9.03831e-05
-0.4,9.003557e-05,9.402457e-05,9.01948e-05
-0.38,8.979697e-05,9.378297e-05,9.000073e-05
-0.36,8.95594e-05,9.353853e-05,8.980627e-05
-0.34,8.931443e-05,9.329477e-05,8.960653e-05
-0.32,8.906903e-05,9.30405e-05,8.939637e-05
-0.3,8.88171e-05,9.27797e-05,8.919053e-05
-0.28,8.85679e-05,9.251693e-05,8.898403e-05
-0.26,8.831423e-05,9.225347e-05,8.87755e-05
-0.24,8.80556e-05,9.198247e-05,8.856613e-05
-0.22,8.78011e-05,9.17135e-05,8.83555e-05
-0.2,8.754793e-05,9.143583e-05,8.814697e-05
-0.18,8.72993e-05,9.116553e-05,8.793823e-05
-0.16,8.705297e-05,9.089507e-05,8.772907e-05
-0.14,8.680797e-05,9.06197e-05,8.752053e-05
-0.12,8.656653e-05,9.034377e-05,8.732093e-05
-0.1,8.634063e-05,9.00699e-05,8.712123e-05
-0.08,8.611093e-05,8.97901e-05,8.692333e-05
-0.06,8.588697e-05,8.95105e-05,8.67207e-05
-0.04,8.566297e-05,8.921987e-05,8.652127e-05
-0.02,8.546083e-05,8.8958e-05,8.63426e-05
0.0,8.526927e-05,8.869003e-05,8.616743e-05
0.02,8.509127e-05,8.842663e-05,8.599877e-05
0.04,8.492683e-05,8.816703e-05,8.584003e-05
0.06,8.477087e-05,8.791293e-05,8.568243e-05
0.08,8.463167e-05,8.76667e-05,8.553407e-05
0.1,8.450243e-05,8.742137e-05,8.53976e-05
0.12,8.43885e-05,8.7188e-05,8.526467e-05
