V,IDS 150,IDS 151,IDS 152
-0.6,6.1874e-05,6.216757e-05,6.188353e-05
-0.58,6.18042e-05,6.197603e-05,6.180817e-05
-0.56,6.179703e-05,6.19647e-05,6.180267e-05
-0.54,6.17919e-05,6.19498e-05,6.179463e-05
-0.52,6.178407e-05,6.19358e-05,6.17885e-05
-0.5,6.177963e-05,6.192697e-05,6.1785e-05
-0.48,6.177307e-05,6.19197e-05,6.178167e-05
-0.46,6.176707e-05,6.191153e-05,6.177557e-05
-0.44,6.176243e-05,6.190473e-05,6.176923e-05
-0.42,6.175453e-05,6.189303e-05,6.176353e-05
-0.4,6.174747e-05,6.188813e-05,6.1757e-05
-0.38,6.1744e-05,6.18798e-05,6.175293e-05
-0.36,6.173473e-05,6.18714e-05,6.174413e-05
-0.34,6.172917e-05,6.186323e-05,6.17436e-05
-0.32,6.172697e-05,6.185533e-05,6.17374e-05
-0.3,6.172087e-05,6.18496e-05,6.173343e-05
-0.28,6.171183e-05,6.184157e-05,6.172887e-05
-0.26,6.170977e-05,6.18352e-05,6.172293e-05
-0.24,6.17059e-05,6.182507e-05,6.17212e-05
-0.22,6.169857e-05,6.182127e-05,6.171433e-05
-0.2,6.169687e-05,6.181597e-05,6.17109e-05
-0.18,6.168857e-05,6.18086e-05,6.170587e-05
-0.16,6.168567e-05,6.180097e-05,6.170253e-05
-0.14,6.16809e-05,6.179593e-05,6.169843e-05
-0.12,6.16749e-05,6.17877e-05,6.169487e-05
-0.1,6.166873e-05,6.17768e-05,6.16896e-05
-0.08,6.166837e-05,6.176863e-05,6.168767e-05
-0.06,6.16684e-05,6.17624e-05,6.16838e-05
-0.04,6.166383e-05,6.175603e-05,6.168127e-05
-0.02,6.166153e-05,6.175067e-05,6.16839e-05
0.0,6.16573e-05,6.174437e-05,6.168307e-05
0.02,6.16553e-05,6.173897e-05,6.16832e-05
0.04,6.165047e-05,6.172993e-05,6.167493e-05
0.06,6.1651e-05,6.172443e-05,6.16784e-05
0.08,6.16498e-05,6.172067e-05,6.16774e-05
0.1,6.164947e-05,6.171583e-05,6.167673e-05
0.12,6.16514e-05,6.171273e-05,6.167923e-05
0.14,6.165083e-05,6.17063e-05,6.167987e-05
