V,IDS 150,IDS 151,IDS 152
-0.6,1.77073e-05,2.422057e-05,1.664177e-05
-0.58,1.679383e-05,2.29207e-05,1.56486e-05
-0.56,1.63592e-05,2.226163e-05,1.524867e-05
-0.54,1.594617e-05,2.164977e-05,1.488047e-05
-0.52,1.554277e-05,2.10669e-05,1.45267e-05
-0.5,1.515243e-05,2.05048e-05,1.418497e-05
-0.48,1.476487e-05,1.99624e-05,1.38543e-05
-0.46,1.438547e-05,1.94383e-05,1.353163e-05
-0.44,1.401583e-05,1.892607e-05,1.322077e-05
-0.42,1.365483e-05,1.842933e-05,1.291993e-05
-0.4,1.330257e-05,1.79479e-05,1.262983e-05
-0.38,1.29583e-05,1.7478e-05,1.23462e-05
-0.36,1.262613e-05,1.702123e-05,1.207217e-05
-0.34,1.230383e-05,1.657713e-05,1.181023e-05
-0.32,1.199023e-05,1.61444e-05,1.155527e-05
-0.3,1.168847e-05,1.572297e-05,1.13092e-05
-0.28,1.139617e-05,1.53143e-05,1.10723e-05
-0.26,1.111473e-05,1.491487e-05,1.084557e-05
-0.24,1.084603e-05,1.452703e-05,1.062633e-05
-0.22,1.05881e-05,1.414827e-05,1.041707e-05
-0.2,1.03429e-05,1.378213e-05,1.021943e-05
-0.18,1.010937e-05,1.342537e-05,1.003047e-05
-0.16,9.88971e-06,1.308217e-05,9.851703e-06
-0.14,9.684647e-06,1.274927e-05,9.682693e-06
-0.12,9.49332e-06,1.242787e-05,9.525757e-06
-0.1,9.316703e-06,1.211947e-05,9.38216e-06
-0.08,9.157317e-06,1.182367e-05,9.248123e-06
-0.06,9.01411e-06,1.154017e-05,9.12832e-06
-0.04,8.88865e-06,1.127043e-05,9.022257e-06
-0.02,8.780703e-06,1.101653e-05,8.9279e-06
0.0,8.691927e-06,1.077547e-05,8.84826e-06
0.02,8.621e-06,1.05533e-05,8.781963e-06
0.04,8.567753e-06,1.03441e-05,8.72866e-06
0.06,8.532777e-06,1.01515e-05,8.690117e-06
0.08,8.5137e-06,9.974757e-06,8.66362e-06
0.1,8.50863e-06,9.814597e-06,8.64776e-06
0.12,8.51831e-06,9.669743e-06,8.642283e-06
0.14,8.540577e-06,9.540667e-06,8.647467e-06
0.16,8.570443e-06,9.42361e-06,8.655373e-06
0.18,8.610237e-06,9.317987e-06,8.6704e-06
0.2,8.66622e-06,9.23963e-06,8.700483e-06
0.22,8.729777e-06,9.17555e-06,8.73462e-06
0.24,8.79936e-06,9.125547e-06,8.77487e-06
0.26,8.874907e-06,9.088873e-06,8.81842e-06
0.28,8.955307e-06,9.067307e-06,8.865903e-06
0.3,9.043217e-06,9.057697e-06,8.91747e-06
0.32,9.13593e-06,9.058983e-06,8.97271e-06
0.34,9.232547e-06,9.072903e-06,9.030817e-06
0.36,9.33542e-06,9.094807e-06,9.093087e-06
0.38,9.440633e-06,9.13044e-06,9.156383e-06
0.4,9.551207e-06,9.17674e-06,9.226827e-06
0.42,9.667657e-06,9.231533e-06,9.30049e-06
0.44,9.789467e-06,9.295557e-06,9.37618e-06
0.46,9.91565e-06,9.36719e-06,9.457853e-06
0.48,1.004673e-05,9.44668e-06,9.543017e-06
0.5,1.018453e-05,9.532703e-06,9.630013e-06
0.52,1.032787e-05,9.62844e-06,9.72312e-06
0.54,1.04765e-05,9.73053e-06,9.819647e-06
0.56,1.063197e-05,9.841107e-06,9.922403e-06
0.58,1.07923e-05,9.958673e-06,1.002977e-05
0.6,1.09589e-05,1.008443e-05,1.014157e-05
-0.6,1.790213e-05,2.228943e-05,1.71924e-05
-0.58,1.645703e-05,2.090583e-05,1.552873e-05
-0.56,1.60589e-05,2.042953e-05,1.512737e-05
-0.54,1.567223e-05,1.99535e-05,1.476607e-05
-0.52,1.52893e-05,1.94739e-05,1.441847e-05
-0.5,1.491063e-05,1.899633e-05,1.408323e-05
-0.48,1.453713e-05,1.852323e-05,1.375857e-05
-0.46,1.417367e-05,1.80575e-05,1.344363e-05
-0.44,1.381687e-05,1.75975e-05,1.313803e-05
-0.42,1.34702e-05,1.714833e-05,1.284433e-05
-0.4,1.313287e-05,1.671147e-05,1.256037e-05
-0.38,1.280283e-05,1.62827e-05,1.228467e-05
-0.36,1.248507e-05,1.586613e-05,1.201873e-05
-0.34,1.217607e-05,1.546053e-05,1.176367e-05
-0.32,1.187777e-05,1.506693e-05,1.1516e-05
-0.3,1.159277e-05,1.468573e-05,1.12795e-05
-0.28,1.132017e-05,1.431827e-05,1.105313e-05
-0.26,1.105463e-05,1.395733e-05,1.08337e-05
-0.24,1.080073e-05,1.360843e-05,1.06247e-05
-0.22,1.05578e-05,1.327097e-05,1.042333e-05
-0.2,1.032817e-05,1.294347e-05,1.023247e-05
-0.18,1.010997e-05,1.262897e-05,1.005237e-05
-0.16,9.905003e-06,1.232653e-05,9.880693e-06
-0.14,9.713237e-06,1.20362e-05,9.719137e-06
-0.12,9.53437e-06,1.175633e-05,9.566897e-06
-0.1,9.36856e-06,1.148963e-05,9.425707e-06
-0.08,9.2183e-06,1.123373e-05,9.293237e-06
-0.06,9.082003e-06,1.0992e-05,9.17325e-06
-0.04,8.96125e-06,1.076163e-05,9.06431e-06
-0.02,8.855823e-06,1.054563e-05,8.96398e-06
0.0,8.766623e-06,1.03419e-05,8.87562e-06
0.02,8.691913e-06,1.015293e-05,8.800197e-06
0.04,8.633083e-06,9.977287e-06,8.734963e-06
0.06,8.59028e-06,9.815387e-06,8.681137e-06
0.08,8.561323e-06,9.668663e-06,8.63707e-06
0.1,8.545893e-06,9.53536e-06,8.603827e-06
0.12,8.54426e-06,9.417637e-06,8.580503e-06
0.14,8.553177e-06,9.31422e-06,8.566877e-06
0.16,8.57415e-06,9.224383e-06,8.56241e-06
0.18,8.60559e-06,9.150407e-06,8.565433e-06
0.2,8.647087e-06,9.090563e-06,8.57819e-06
0.22,8.694813e-06,9.04378e-06,8.597473e-06
0.24,8.752097e-06,9.010687e-06,8.62273e-06
0.26,8.81781e-06,8.991243e-06,8.657227e-06
0.28,8.891387e-06,8.982203e-06,8.69728e-06
0.3,8.97133e-06,8.98612e-06,8.744867e-06
0.32,9.058113e-06,9.00067e-06,8.79721e-06
0.34,9.149207e-06,9.026653e-06,8.8557e-06
0.36,9.249253e-06,9.061567e-06,8.92073e-06
0.38,9.35428e-06,9.106707e-06,8.990167e-06
0.4,9.46654e-06,9.161293e-06,9.066253e-06
0.42,9.58465e-06,9.22547e-06,9.14662e-06
0.44,9.704167e-06,9.296433e-06,9.23376e-06
0.46,9.832033e-06,9.37164e-06,9.321893e-06
0.48,9.966567e-06,9.45523e-06,9.415717e-06
0.5,1.011373e-05,9.553713e-06,9.52096e-06
0.52,1.026507e-05,9.658747e-06,9.630957e-06
0.54,1.042287e-05,9.76984e-06,9.745117e-06
0.56,1.05854e-05,9.888397e-06,9.86394e-06
