V,IDS 150,IDS 151,IDS 152
-0.6,9.76258e-05,0.0001024983,9.771643e-05
-0.58,9.81731e-05,0.0001029863,9.817443e-05
-0.56,9.819457e-05,0.0001029637,9.82003e-05
-0.54,9.812717e-05,0.0001028643,9.81531e-05
-0.52,9.800613e-05,0.000102724,9.80636e-05
-0.5,9.785537e-05,0.0001025583,9.79476e-05
-0.48,9.768393e-05,0.0001023693,9.781703e-05
-0.46,9.749993e-05,0.000102174,9.767e-05
-0.44,9.730563e-05,0.0001019633,9.75139e-05
-0.42,9.71021e-05,0.0001017483,9.735657e-05
-0.4,9.688713e-05,0.0001015267,9.718443e-05
-0.38,9.66702e-05,0.000101303,9.700947e-05
-0.36,9.64562e-05,0.000101069,9.683133e-05
-0.34,9.623527e-05,0.0001008343,9.66525e-05
-0.32,9.60122e-05,0.0001006017,9.647423e-05
-0.3,9.57895e-05,0.0001003637,9.62936e-05
-0.28,9.556403e-05,0.000100128,9.610927e-05
-0.26,9.53353e-05,9.988747e-05,9.592913e-05
-0.24,9.5115e-05,9.963783e-05,9.574233e-05
-0.22,9.488843e-05,9.94004e-05,9.556147e-05
-0.2,9.466547e-05,9.915967e-05,9.537517e-05
-0.18,9.444553e-05,9.891893e-05,9.5205e-05
-0.16,9.423783e-05,9.866637e-05,9.503187e-05
-0.14,9.402663e-05,9.841927e-05,9.485247e-05
-0.12,9.381867e-05,9.817447e-05,9.46844e-05
-0.1,9.361983e-05,9.792793e-05,9.451273e-05
-0.08,9.342903e-05,9.768377e-05,9.435013e-05
-0.06,9.323953e-05,9.74439e-05,9.419647e-05
-0.04,9.306547e-05,9.720867e-05,9.404817e-05
-0.02,9.2901e-05,9.69702e-05,9.390407e-05
0.0,9.274933e-05,9.6729e-05,9.376417e-05
0.02,9.260287e-05,9.649847e-05,9.36354e-05
0.04,9.246993e-05,9.62722e-05,9.351473e-05
0.06,9.235307e-05,9.604773e-05,9.340017e-05
0.08,9.224233e-05,9.58248e-05,9.32969e-05
0.1,9.21453e-05,9.561217e-05,9.320133e-05
0.12,9.205763e-05,9.54078e-05,9.31106e-05
0.14,9.198077e-05,9.52042e-05,9.302533e-05
0.16,9.190657e-05,9.49892e-05,9.2942e-05
0.18,9.18381e-05,9.477497e-05,9.285603e-05
0.2,9.179403e-05,9.459653e-05,9.279253e-05
0.22,9.176497e-05,9.44223e-05,9.27308e-05
0.24,9.173167e-05,9.425247e-05,9.267433e-05
0.26,9.170633e-05,9.40861e-05,9.262307e-05
0.28,9.169047e-05,9.39319e-05,9.256983e-05
0.3,9.16812e-05,9.378197e-05,9.252463e-05
0.32,9.167343e-05,9.363617e-05,9.248163e-05
0.34,9.16741e-05,9.350333e-05,9.24361e-05
0.36,9.1674e-05,9.33708e-05,9.239937e-05
0.38,9.16832e-05,9.323853e-05,9.236427e-05
0.4,9.169783e-05,9.311803e-05,9.234047e-05
0.42,9.171783e-05,9.30032e-05,9.231237e-05
0.44,9.17491e-05,9.289843e-05,9.228303e-05
0.46,9.178567e-05,9.279977e-05,9.22644e-05
0.48,9.182413e-05,9.2707e-05,9.223727e-05
0.5,9.187367e-05,9.262793e-05,9.222963e-05
0.52,9.192087e-05,9.25559e-05,9.221857e-05
0.54,9.197867e-05,9.249007e-05,9.221343e-05
0.56,9.204223e-05,9.243833e-05,9.22165e-05
0.58,9.21103e-05,9.23922e-05,9.222213e-05
0.6,9.217887e-05,9.235897e-05,9.22372e-05
-0.6,9.650953e-05,9.99591e-05,9.6598e-05
-0.58,9.733457e-05,0.0001010677,9.738e-05
-0.56,9.752423e-05,0.000101332,9.759573e-05
-0.54,9.756203e-05,0.0001013997,9.764863e-05
-0.52,9.751727e-05,0.0001013727,9.7632e-05
-0.5,9.74226e-05,0.00010129,9.757277e-05
-0.48,9.729167e-05,0.0001011743,9.748133e-05
-0.46,9.713963e-05,0.0001010337,9.73693e-05
-0.44,9.697623e-05,0.0001008663,9.72452e-05
-0.42,9.68051e-05,0.0001006897,9.71056e-05
-0.4,9.661787e-05,0.0001005023,9.69546e-05
-0.38,9.642893e-05,0.000100307,9.679813e-05
-0.36,9.623313e-05,0.000100104,9.66373e-05
-0.34,9.603293e-05,9.989277e-05,9.647343e-05
-0.32,9.582817e-05,9.968153e-05,9.630483e-05
-0.3,9.562037e-05,9.94599e-05,9.61389e-05
-0.28,9.541287e-05,9.924707e-05,9.597117e-05
-0.26,9.520173e-05,9.902697e-05,9.57992e-05
-0.24,9.500373e-05,9.880497e-05,9.56218e-05
-0.22,9.479777e-05,9.85746e-05,9.5448e-05
-0.2,9.45874e-05,9.835403e-05,9.526997e-05
-0.18,9.438327e-05,9.812583e-05,9.509553e-05
-0.16,9.417663e-05,9.790077e-05,9.49195e-05
-0.14,9.39748e-05,9.767067e-05,9.47498e-05
-0.12,9.378063e-05,9.74408e-05,9.45829e-05
-0.1,9.35883e-05,9.72082e-05,9.441397e-05
-0.08,9.339953e-05,9.698557e-05,9.424987e-05
-0.06,9.321757e-05,9.675637e-05,9.408433e-05
-0.04,9.304123e-05,9.651873e-05,9.392523e-05
-0.02,9.28762e-05,9.62954e-05,9.377247e-05
0.0,9.271903e-05,9.60823e-05,9.362447e-05
0.02,9.257423e-05,9.586187e-05,9.347537e-05
0.04,9.243757e-05,9.564487e-05,9.333633e-05
0.06,9.23079e-05,9.542777e-05,9.32041e-05
0.08,9.21862e-05,9.522097e-05,9.3082e-05
0.1,9.208087e-05,9.501097e-05,9.296667e-05
0.12,9.198483e-05,9.48113e-05,9.28545e-05
0.14,9.18971e-05,9.461867e-05,9.275223e-05
0.16,9.18252e-05,9.442813e-05,9.265223e-05
0.18,9.175387e-05,9.42459e-05,9.255493e-05
0.2,9.16926e-05,9.406773e-05,9.246163e-05
0.22,9.163797e-05,9.389557e-05,9.238287e-05
0.24,9.158993e-05,9.37305e-05,9.230453e-05
0.26,9.155343e-05,9.35771e-05,9.223797e-05
0.28,9.153447e-05,9.342757e-05,9.21751e-05
0.3,9.151077e-05,9.328337e-05,9.21203e-05
0.32,9.14972e-05,9.31516e-05,9.206443e-05
0.34,9.149233e-05,9.302017e-05,9.202297e-05
0.36,9.14972e-05,9.29013e-05,9.19824e-05
0.38,9.15079e-05,9.279253e-05,9.19463e-05
0.4,9.152077e-05,9.26862e-05,9.19173e-05
0.42,9.154283e-05,9.26034e-05,9.189703e-05
0.44,9.15608e-05,9.252217e-05,9.18688e-05
0.46,9.160257e-05,9.241187e-05,9.186593e-05
0.48,9.165297e-05,9.234917e-05,9.187423e-05
0.5,9.170773e-05,9.229787e-05,9.188323e-05
0.52,9.17706e-05,9.22581e-05,9.18983e-05
0.54,9.18359e-05,9.221897e-05,9.192133e-05
0.56,9.190893e-05,9.219497e-05,9.195027e-05
