V,IDS 150,IDS 151,IDS 152
-0.6,9.500817e-05,0.0001014697,9.44718e-05
-0.58,9.552773e-05,0.0001014347,9.49711e-05
-0.56,9.54926e-05,0.0001012293,9.495817e-05
-0.54,9.535357e-05,0.0001010017,9.486353e-05
-0.52,9.516587e-05,0.0001007573,9.4723e-05
-0.5,9.49559e-05,0.0001005047,9.45582e-05
-0.48,9.473017e-05,0.0001002453,9.438003e-05
-0.46,9.44942e-05,9.99797e-05,9.419053e-05
-0.44,9.425087e-05,9.97099e-05,9.3999e-05
-0.42,9.39999e-05,9.94329e-05,9.380443e-05
-0.4,9.374347e-05,9.915307e-05,9.36026e-05
-0.38,9.348923e-05,9.887983e-05,9.34046e-05
-0.36,9.323563e-05,9.85993e-05,9.320137e-05
-0.34,9.29858e-05,9.831837e-05,9.300087e-05
-0.32,9.273437e-05,9.80341e-05,9.280003e-05
-0.3,9.248077e-05,9.775353e-05,9.259623e-05
-0.28,9.222823e-05,9.747263e-05,9.240043e-05
-0.26,9.19848e-05,9.718613e-05,9.220533e-05
-0.24,9.17362e-05,9.690473e-05,9.201307e-05
-0.22,9.149667e-05,9.662853e-05,9.18221e-05
-0.2,9.12594e-05,9.634873e-05,9.163597e-05
-0.18,9.10337e-05,9.606717e-05,9.145233e-05
-0.16,9.081143e-05,9.579127e-05,9.126647e-05
-0.14,9.058923e-05,9.55188e-05,9.108843e-05
-0.12,9.03724e-05,9.52496e-05,9.092107e-05
-0.1,9.0169e-05,9.49866e-05,9.075673e-05
-0.08,8.996333e-05,9.472363e-05,9.058967e-05
-0.06,8.97627e-05,9.4464e-05,9.04367e-05
-0.04,8.957383e-05,9.42074e-05,9.0288e-05
-0.02,8.939813e-05,9.395713e-05,9.0144e-05
0.0,8.92304e-05,9.37094e-05,9.00156e-05
0.02,8.90808e-05,9.346593e-05,8.988883e-05
0.04,8.894147e-05,9.322963e-05,8.977617e-05
0.06,8.881337e-05,9.299133e-05,8.9667e-05
0.08,8.869393e-05,9.275827e-05,8.956847e-05
0.1,8.858373e-05,9.252853e-05,8.947423e-05
0.12,8.848153e-05,9.230513e-05,8.93883e-05
0.14,8.838597e-05,9.208687e-05,8.930703e-05
0.16,8.829203e-05,9.18327e-05,8.92157e-05
0.18,8.819413e-05,9.162563e-05,8.911623e-05
0.2,8.812903e-05,9.142313e-05,8.904463e-05
0.22,8.807093e-05,9.122827e-05,8.897737e-05
0.24,8.801593e-05,9.103983e-05,8.891577e-05
0.26,8.796463e-05,9.085537e-05,8.88492e-05
0.28,8.79188e-05,9.06812e-05,8.878617e-05
0.3,8.788023e-05,9.050213e-05,8.87258e-05
0.32,8.784883e-05,9.03265e-05,8.865863e-05
0.34,8.781583e-05,9.01671e-05,8.859727e-05
0.36,8.779173e-05,9.001153e-05,8.854077e-05
0.38,8.777497e-05,8.98656e-05,8.848543e-05
0.4,8.776197e-05,8.971907e-05,8.8433e-05
0.42,8.775677e-05,8.95789e-05,8.837913e-05
0.44,8.775097e-05,8.944347e-05,8.833937e-05
0.46,8.775677e-05,8.93123e-05,8.829493e-05
0.48,8.776463e-05,8.919273e-05,8.82531e-05
0.5,8.777907e-05,8.907917e-05,8.822017e-05
0.52,8.78038e-05,8.897593e-05,8.818743e-05
0.54,8.783313e-05,8.887853e-05,8.81592e-05
0.56,8.786317e-05,8.87922e-05,8.813503e-05
0.58,8.789583e-05,8.871177e-05,8.81104e-05
0.6,8.792873e-05,8.864537e-05,8.808663e-05
-0.6,9.411393e-05,9.84535e-05,9.381023e-05
-0.58,9.522773e-05,9.966227e-05,9.48192e-05
-0.56,9.540137e-05,9.983443e-05,9.502003e-05
-0.54,9.5371e-05,9.979653e-05,9.501683e-05
-0.52,9.524883e-05,9.967223e-05,9.493153e-05
-0.5,9.50828e-05,9.950107e-05,9.481193e-05
-0.48,9.4892e-05,9.930047e-05,9.46552e-05
-0.46,9.467643e-05,9.90806e-05,9.44767e-05
-0.44,9.445277e-05,9.884253e-05,9.42927e-05
-0.42,9.421733e-05,9.85987e-05,9.41013e-05
-0.4,9.397813e-05,9.83483e-05,9.390587e-05
-0.38,9.37331e-05,9.80982e-05,9.37044e-05
-0.36,9.349127e-05,9.783513e-05,9.350553e-05
-0.34,9.324917e-05,9.757357e-05,9.330667e-05
-0.32,9.300203e-05,9.73013e-05,9.309643e-05
-0.3,9.275757e-05,9.703513e-05,9.28918e-05
-0.28,9.251843e-05,9.677173e-05,9.268993e-05
-0.26,9.227533e-05,9.651e-05,9.249147e-05
-0.24,9.203737e-05,9.624643e-05,9.229427e-05
-0.22,9.180203e-05,9.598663e-05,9.209133e-05
-0.2,9.156717e-05,9.57257e-05,9.189647e-05
-0.18,9.13365e-05,9.54641e-05,9.170317e-05
-0.16,9.11073e-05,9.52067e-05,9.15116e-05
-0.14,9.08882e-05,9.495483e-05,9.131697e-05
-0.12,9.066977e-05,9.47058e-05,9.11341e-05
-0.1,9.046173e-05,9.445243e-05,9.095467e-05
-0.08,9.025653e-05,9.42011e-05,9.077607e-05
-0.06,9.00542e-05,9.39583e-05,9.060013e-05
-0.04,8.985807e-05,9.371763e-05,9.043107e-05
-0.02,8.96714e-05,9.34785e-05,9.0267e-05
0.0,8.949377e-05,9.323783e-05,9.010943e-05
0.02,8.932267e-05,9.300827e-05,8.995747e-05
0.04,8.916143e-05,9.277207e-05,8.980163e-05
0.06,8.901013e-05,9.25453e-05,8.965777e-05
0.08,8.8864e-05,9.232127e-05,8.951857e-05
0.1,8.87312e-05,9.20974e-05,8.938787e-05
0.12,8.86082e-05,9.188733e-05,8.926193e-05
0.14,8.849263e-05,9.167523e-05,8.913803e-05
0.16,8.838557e-05,9.14714e-05,8.901977e-05
0.18,8.82816e-05,9.127687e-05,8.891e-05
0.2,8.81902e-05,9.108123e-05,8.880587e-05
0.22,8.810037e-05,9.089617e-05,8.870277e-05
0.24,8.802397e-05,9.071833e-05,8.86093e-05
0.26,8.79553e-05,9.053993e-05,8.852393e-05
0.28,8.789007e-05,9.037073e-05,8.8444e-05
0.3,8.783557e-05,9.02092e-05,8.836743e-05
0.32,8.778933e-05,9.00552e-05,8.829533e-05
0.34,8.774047e-05,8.989957e-05,8.822757e-05
0.36,8.770517e-05,8.975643e-05,8.81661e-05
0.38,8.767813e-05,8.961683e-05,8.810813e-05
0.4,8.765903e-05,8.94821e-05,8.806127e-05
0.42,8.764353e-05,8.93519e-05,8.80069e-05
0.44,8.762637e-05,8.920607e-05,8.79584e-05
0.46,8.763707e-05,8.91037e-05,8.79349e-05
0.48,8.76563e-05,8.90045e-05,8.791443e-05
0.5,8.768093e-05,8.89138e-05,8.78988e-05
0.52,8.770907e-05,8.883163e-05,8.789237e-05
0.54,8.774383e-05,8.87503e-05,8.7889e-05
0.56,8.778097e-05,8.868037e-05,8.78923e-05
0.58,8.782023e-05,8.86193e-05,8.78901e-05
0.6,8.78578e-05,8.85637e-05,8.789007e-05
-0.6,9.426853e-05,9.765177e-05,9.38375e-05
-0.58,9.542643e-05,9.900993e-05,9.491717e-05
-0.56,9.560603e-05,9.92396e-05,9.513433e-05
-0.54,9.55784e-05,9.92266e-05,9.513563e-05
-0.52,9.546077e-05,9.911947e-05,9.505627e-05
-0.5,9.529953e-05,9.89623e-05,9.493263e-05
-0.48,9.510673e-05,9.877253e-05,9.47767e-05
-0.46,9.489817e-05,9.856283e-05,9.460227e-05
-0.44,9.467307e-05,9.8341e-05,9.4417e-05
-0.42,9.443913e-05,9.810107e-05,9.422497e-05
-0.4,9.420503e-05,9.78568e-05,9.402013e-05
-0.38,9.39589e-05,9.76035e-05,9.3813e-05
-0.36,9.371073e-05,9.73525e-05,9.360553e-05
-0.34,9.34649e-05,9.709487e-05,9.34027e-05
-0.32,9.32202e-05,9.68396e-05,9.32008e-05
-0.3,9.29784e-05,9.658163e-05,9.299557e-05
-0.28,9.273623e-05,9.633493e-05,9.278843e-05
-0.26,9.249157e-05,9.607443e-05,9.25826e-05
-0.24,9.225547e-05,9.58161e-05,9.237763e-05
-0.22,9.20156e-05,9.555783e-05,9.21771e-05
-0.2,9.178067e-05,9.53054e-05,9.197563e-05
-0.18,9.154577e-05,9.505223e-05,9.17797e-05
-0.16,9.13189e-05,9.480343e-05,9.158757e-05
-0.14,9.109423e-05,9.455613e-05,9.13945e-05
-0.12,9.087817e-05,9.43083e-05,9.119843e-05
-0.1,9.066193e-05,9.406843e-05,9.100813e-05
-0.08,9.045247e-05,9.38267e-05,9.082627e-05
-0.06,9.024133e-05,9.358923e-05,9.06395e-05
-0.04,9.002133e-05,9.332793e-05,9.04547e-05
-0.02,8.983117e-05,9.31033e-05,9.02901e-05
0.0,8.96539e-05,9.287923e-05,9.01263e-05
0.02,8.9484e-05,9.265797e-05,8.996653e-05
0.04,8.931783e-05,9.243543e-05,8.981263e-05
0.06,8.91591e-05,9.221987e-05,8.96663e-05
0.08,8.900593e-05,9.200683e-05,8.951867e-05
0.1,8.886503e-05,9.17962e-05,8.937633e-05
0.12,8.873053e-05,9.158757e-05,8.9239e-05
0.14,8.86056e-05,9.139053e-05,8.911327e-05
0.16,8.8488e-05,9.11938e-05,8.89875e-05
0.18,8.838103e-05,9.100417e-05,8.886897e-05
0.2,8.828117e-05,9.081527e-05,8.875607e-05
0.22,8.818313e-05,9.063797e-05,8.86474e-05
