V,IDS 150,IDS 151,IDS 152
-0.6,1.809383e-05,2.554923e-05,1.775573e-05
-0.58,1.93098e-05,2.655817e-05,1.859213e-05
-0.56,1.930787e-05,2.635703e-05,1.85301e-05
-0.54,1.912417e-05,2.602483e-05,1.8329e-05
-0.52,1.884877e-05,2.564e-05,1.8069e-05
-0.5,1.852543e-05,2.522517e-05,1.77809e-05
-0.48,1.817153e-05,2.478917e-05,1.74753e-05
-0.46,1.780293e-05,2.43386e-05,1.715957e-05
-0.44,1.742757e-05,2.388113e-05,1.684107e-05
-0.42,1.704853e-05,2.341927e-05,1.652417e-05
-0.4,1.666883e-05,2.29549e-05,1.620757e-05
-0.38,1.62925e-05,2.24902e-05,1.589533e-05
-0.36,1.592207e-05,2.20279e-05,1.558747e-05
-0.34,1.555623e-05,2.15683e-05,1.52862e-05
-0.32,1.520087e-05,2.111343e-05,1.4989e-05
-0.3,1.485253e-05,2.06632e-05,1.470023e-05
-0.28,1.451523e-05,2.02163e-05,1.441893e-05
-0.26,1.418783e-05,1.977117e-05,1.414533e-05
-0.24,1.387167e-05,1.933817e-05,1.387987e-05
-0.22,1.356657e-05,1.890907e-05,1.3623e-05
-0.2,1.327413e-05,1.8485e-05,1.33777e-05
-0.18,1.299477e-05,1.806613e-05,1.314247e-05
-0.16,1.27309e-05,1.765327e-05,1.291867e-05
-0.14,1.2481e-05,1.724827e-05,1.27055e-05
-0.12,1.224793e-05,1.684903e-05,1.25071e-05
-0.1,1.203117e-05,1.64591e-05,1.23206e-05
-0.08,1.183227e-05,1.607533e-05,1.21487e-05
-0.06,1.16499e-05,1.570417e-05,1.199247e-05
-0.04,1.14868e-05,1.534147e-05,1.185157e-05
-0.02,1.133467e-05,1.49911e-05,1.172683e-05
0.0,1.121463e-05,1.465277e-05,1.16171e-05
0.02,1.11126e-05,1.43289e-05,1.152567e-05
0.04,1.103147e-05,1.402127e-05,1.144983e-05
0.06,1.096773e-05,1.373067e-05,1.139047e-05
0.08,1.09226e-05,1.345833e-05,1.134527e-05
0.1,1.089373e-05,1.320277e-05,1.131563e-05
0.12,1.08809e-05,1.296497e-05,1.129757e-05
0.14,1.088383e-05,1.27461e-05,1.129317e-05
0.16,1.089613e-05,1.253133e-05,1.12929e-05
0.18,1.09171e-05,1.233417e-05,1.129853e-05
0.2,1.095967e-05,1.21823e-05,1.13234e-05
0.22,1.10129e-05,1.20475e-05,1.135483e-05
0.24,1.10749e-05,1.193187e-05,1.139023e-05
0.26,1.114673e-05,1.183403e-05,1.14309e-05
0.28,1.122537e-05,1.175523e-05,1.147747e-05
0.3,1.131363e-05,1.169503e-05,1.152893e-05
0.32,1.140953e-05,1.165003e-05,1.15833e-05
0.34,1.151023e-05,1.16221e-05,1.16424e-05
0.36,1.16203e-05,1.16099e-05,1.1705e-05
0.38,1.173753e-05,1.16132e-05,1.177177e-05
0.4,1.18601e-05,1.16304e-05,1.184277e-05
0.42,1.199127e-05,1.166047e-05,1.19166e-05
0.44,1.213e-05,1.17053e-05,1.19952e-05
0.46,1.22745e-05,1.17608e-05,1.207737e-05
0.48,1.2428e-05,1.182643e-05,1.2164e-05
0.5,1.258703e-05,1.190267e-05,1.225397e-05
0.52,1.275297e-05,1.199077e-05,1.23486e-05
0.54,1.292403e-05,1.208843e-05,1.24464e-05
0.56,1.30982e-05,1.21952e-05,1.254923e-05
0.58,1.32752e-05,1.231173e-05,1.265567e-05
0.6,1.345237e-05,1.243647e-05,1.276517e-05
-0.6,1.6089e-05,2.111143e-05,1.652343e-05
-0.58,1.795283e-05,2.378827e-05,1.816313e-05
-0.56,1.844173e-05,2.425917e-05,1.847783e-05
-0.54,1.850877e-05,2.42653e-05,1.84487e-05
-0.52,1.838753e-05,2.407967e-05,1.827797e-05
-0.5,1.81705e-05,2.379363e-05,1.80427e-05
-0.48,1.789437e-05,2.345093e-05,1.777417e-05
-0.46,1.758533e-05,2.307203e-05,1.74941e-05
-0.44,1.725663e-05,2.266883e-05,1.71887e-05
-0.42,1.691453e-05,2.225387e-05,1.688093e-05
-0.4,1.656523e-05,2.18296e-05,1.657217e-05
-0.38,1.62167e-05,2.140007e-05,1.626337e-05
-0.36,1.58661e-05,2.09698e-05,1.595553e-05
-0.34,1.55197e-05,2.053977e-05,1.565253e-05
-0.32,1.51791e-05,2.011373e-05,1.535483e-05
-0.3,1.483003e-05,1.967513e-05,1.50491e-05
-0.28,1.450947e-05,1.92537e-05,1.476867e-05
-0.26,1.419347e-05,1.884403e-05,1.449413e-05
-0.24,1.388647e-05,1.843793e-05,1.42246e-05
-0.22,1.35893e-05,1.8037e-05,1.39655e-05
-0.2,1.33043e-05,1.7642e-05,1.371107e-05
-0.18,1.303037e-05,1.725177e-05,1.34669e-05
-0.16,1.27698e-05,1.686793e-05,1.323427e-05
-0.14,1.252433e-05,1.64901e-05,1.30099e-05
-0.12,1.229383e-05,1.61258e-05,1.279667e-05
-0.1,1.207787e-05,1.57667e-05,1.259557e-05
-0.08,1.18803e-05,1.541843e-05,1.240753e-05
-0.06,1.1697e-05,1.508047e-05,1.22305e-05
-0.04,1.153377e-05,1.4751e-05,1.20655e-05
-0.02,1.138753e-05,1.443327e-05,1.19155e-05
0.0,1.126063e-05,1.412977e-05,1.177907e-05
0.02,1.115227e-05,1.384183e-05,1.165603e-05
0.04,1.10613e-05,1.356583e-05,1.154697e-05
0.06,1.09896e-05,1.33075e-05,1.145117e-05
0.08,1.093507e-05,1.306477e-05,1.136987e-05
0.1,1.08981e-05,1.283567e-05,1.13029e-05
0.12,1.087683e-05,1.262497e-05,1.124913e-05
0.14,1.08705e-05,1.243123e-05,1.120887e-05
0.16,1.087743e-05,1.225747e-05,1.1181e-05
