V,IDS 150,IDS 151,IDS 152
-0.6,1.776213e-05,1.772997e-05,1.87772e-05
-0.58,1.627263e-05,1.644023e-05,1.70566e-05
-0.56,1.57951e-05,1.601317e-05,1.646803e-05
-0.54,1.545963e-05,1.570433e-05,1.605387e-05
-0.52,1.519153e-05,1.54524e-05,1.572617e-05
-0.5,1.496357e-05,1.523657e-05,1.544647e-05
-0.48,1.476297e-05,1.504207e-05,1.520253e-05
-0.46,1.458087e-05,1.48649e-05,1.498393e-05
-0.44,1.441503e-05,1.470123e-05,1.478467e-05
-0.42,1.426167e-05,1.45492e-05,1.460293e-05
-0.4,1.41191e-05,1.44e-05,1.443567e-05
-0.38,1.398683e-05,1.42715e-05,1.428087e-05
-0.36,1.386243e-05,1.414427e-05,1.41353e-05
-0.34,1.374627e-05,1.40247e-05,1.40002e-05
-0.32,1.363747e-05,1.39112e-05,1.387553e-05
-0.3,1.353627e-05,1.380567e-05,1.375883e-05
-0.28,1.34422e-05,1.370647e-05,1.36517e-05
-0.26,1.335693e-05,1.361423e-05,1.35521e-05
-0.24,1.32786e-05,1.35301e-05,1.34613e-05
-0.22,1.320673e-05,1.345457e-05,1.337907e-05
-0.2,1.314517e-05,1.338707e-05,1.33043e-05
-0.18,1.309137e-05,1.332717e-05,1.323773e-05
-0.16,1.304613e-05,1.32781e-05,1.317853e-05
-0.14,1.30102e-05,1.32399e-05,1.31281e-05
-0.12,1.29832e-05,1.32105e-05,1.30834e-05
-0.1,1.296553e-05,1.319157e-05,1.304663e-05
-0.08,1.29571e-05,1.318403e-05,1.30162e-05
-0.06,1.295707e-05,1.31861e-05,1.29918e-05
-0.04,1.2965e-05,1.31971e-05,1.297453e-05
-0.02,1.298013e-05,1.321797e-05,1.296223e-05
0.0,1.300177e-05,1.32463e-05,1.295503e-05
0.02,1.30302e-05,1.328217e-05,1.295263e-05
0.04,1.30647e-05,1.332507e-05,1.295513e-05
0.06,1.310433e-05,1.337423e-05,1.296353e-05
0.08,1.314937e-05,1.34295e-05,1.29765e-05
0.1,1.319897e-05,1.348837e-05,1.299403e-05
0.12,1.325387e-05,1.35531e-05,1.301693e-05
0.14,1.33137e-05,1.362347e-05,1.304623e-05
0.16,1.33729e-05,1.368063e-05,1.307523e-05
0.18,1.343077e-05,1.376e-05,1.31067e-05
0.2,1.35095e-05,1.384453e-05,1.315863e-05
0.22,1.35926e-05,1.393127e-05,1.321503e-05
0.24,1.368267e-05,1.40226e-05,1.327913e-05
0.26,1.37782e-05,1.411883e-05,1.334987e-05
0.28,1.38755e-05,1.421783e-05,1.342767e-05
0.3,1.397827e-05,1.432233e-05,1.35137e-05
0.32,1.4092e-05,1.44298e-05,1.36081e-05
0.34,1.421017e-05,1.454303e-05,1.370993e-05
0.36,1.43346e-05,1.46579e-05,1.381873e-05
0.38,1.446497e-05,1.47774e-05,1.393553e-05
0.4,1.46015e-05,1.490073e-05,1.406023e-05
0.42,1.47434e-05,1.50282e-05,1.419047e-05
0.44,1.489133e-05,1.51602e-05,1.432743e-05
0.46,1.504523e-05,1.52959e-05,1.44713e-05
0.48,1.520517e-05,1.543543e-05,1.46213e-05
0.5,1.537073e-05,1.557967e-05,1.477703e-05
0.52,1.554223e-05,1.572717e-05,1.493813e-05
0.54,1.572147e-05,1.587943e-05,1.510543e-05
0.56,1.590467e-05,1.603607e-05,1.52765e-05
0.58,1.60941e-05,1.619667e-05,1.545113e-05
0.6,1.62881e-05,1.636233e-05,1.563137e-05
-0.6,1.85275e-05,1.864293e-05,1.967337e-05
-0.58,1.64131e-05,1.659203e-05,1.725253e-05
-0.56,1.57834e-05,1.5994e-05,1.647567e-05
-0.54,1.539917e-05,1.563077e-05,1.599937e-05
-0.52,1.51156e-05,1.536127e-05,1.565033e-05
-0.5,1.488443e-05,1.513837e-05,1.536487e-05
-0.48,1.46851e-05,1.49453e-05,1.512033e-05
-0.46,1.45092e-05,1.47731e-05,1.490767e-05
-0.44,1.434827e-05,1.461613e-05,1.471587e-05
-0.42,1.420257e-05,1.447013e-05,1.45428e-05
-0.4,1.40678e-05,1.43367e-05,1.438303e-05
-0.38,1.394163e-05,1.421127e-05,1.4237e-05
-0.36,1.382493e-05,1.40934e-05,1.41009e-05
-0.34,1.371587e-05,1.398347e-05,1.397573e-05
-0.32,1.361553e-05,1.388323e-05,1.38603e-05
-0.3,1.35224e-05,1.378733e-05,1.37541e-05
-0.28,1.343417e-05,1.36962e-05,1.36544e-05
-0.26,1.335363e-05,1.3612e-05,1.356177e-05
-0.24,1.32808e-05,1.353713e-05,1.34767e-05
-0.22,1.32159e-05,1.347047e-05,1.34002e-05
-0.2,1.31589e-05,1.341033e-05,1.332987e-05
-0.18,1.31087e-05,1.335753e-05,1.326707e-05
-0.16,1.30689e-05,1.33147e-05,1.321187e-05
-0.14,1.30369e-05,1.327947e-05,1.316243e-05
-0.12,1.301173e-05,1.325467e-05,1.31207e-05
-0.1,1.2995e-05,1.323893e-05,1.30837e-05
-0.08,1.29875e-05,1.32307e-05,1.30541e-05
-0.06,1.298757e-05,1.3232e-05,1.30304e-05
-0.04,1.299463e-05,1.324083e-05,1.301243e-05
-0.02,1.30091e-05,1.325793e-05,1.29988e-05
0.0,1.303087e-05,1.32822e-05,1.29911e-05
0.02,1.305887e-05,1.331397e-05,1.298803e-05
0.04,1.30914e-05,1.335137e-05,1.299137e-05
0.06,1.31303e-05,1.339473e-05,1.299823e-05
0.08,1.31739e-05,1.344433e-05,1.300973e-05
0.1,1.322107e-05,1.349657e-05,1.30278e-05
0.12,1.327463e-05,1.355463e-05,1.305157e-05
0.14,1.333337e-05,1.361893e-05,1.307983e-05
0.16,1.339603e-05,1.36861e-05,1.311383e-05
0.18,1.34644e-05,1.375773e-05,1.315553e-05
0.2,1.35376e-05,1.383447e-05,1.320353e-05
0.22,1.361653e-05,1.391593e-05,1.32566e-05
0.24,1.370127e-05,1.40008e-05,1.331647e-05
0.26,1.37929e-05,1.40915e-05,1.338403e-05
0.28,1.389003e-05,1.418567e-05,1.345627e-05
0.3,1.39928e-05,1.428553e-05,1.35353e-05
0.32,1.41037e-05,1.43893e-05,1.362527e-05
0.34,1.42185e-05,1.44968e-05,1.372383e-05
0.36,1.434097e-05,1.461077e-05,1.382917e-05
0.38,1.44676e-05,1.472693e-05,1.394163e-05
0.4,1.460203e-05,1.484953e-05,1.406223e-05
0.42,1.473933e-05,1.49695e-05,1.418577e-05
0.44,1.487443e-05,1.50931e-05,1.430977e-05
0.46,1.50303e-05,1.523103e-05,1.445343e-05
0.48,1.519153e-05,1.53733e-05,1.460303e-05
0.5,1.535787e-05,1.55208e-05,1.475877e-05
0.52,1.552963e-05,1.56721e-05,1.492043e-05
0.54,1.570777e-05,1.582443e-05,1.50892e-05
0.56,1.589233e-05,1.59851e-05,1.526273e-05
0.58,1.608183e-05,1.615087e-05,1.54412e-05
0.6,1.627647e-05,1.632277e-05,1.562527e-05
-0.6,1.853683e-05,1.866633e-05,1.966207e-05
-0.58,1.64221e-05,1.661427e-05,1.72321e-05
-0.56,1.57882e-05,1.599917e-05,1.645217e-05
-0.54,1.540147e-05,1.562627e-05,1.597383e-05
-0.52,1.51166e-05,1.535103e-05,1.56209e-05
-0.5,1.488357e-05,1.51261e-05,1.533643e-05
-0.48,1.468447e-05,1.493087e-05,1.509477e-05
-0.46,1.450897e-05,1.475727e-05,1.488233e-05
-0.44,1.434937e-05,1.45994e-05,1.469237e-05
-0.42,1.42037e-05,1.44552e-05,1.45211e-05
-0.4,1.406957e-05,1.432233e-05,1.436193e-05
-0.38,1.394437e-05,1.419763e-05,1.42171e-05
-0.36,1.38286e-05,1.40815e-05,1.408263e-05
-0.34,1.37207e-05,1.39728e-05,1.395913e-05
-0.32,1.362067e-05,1.387177e-05,1.384537e-05
-0.3,1.352667e-05,1.377797e-05,1.37397e-05
-0.28,1.344027e-05,1.36914e-05,1.36421e-05
-0.26,1.33619e-05,1.361143e-05,1.355223e-05
-0.24,1.329077e-05,1.353803e-05,1.346903e-05
-0.22,1.322673e-05,1.34719e-05,1.3394e-05
-0.2,1.31713e-05,1.341403e-05,1.332547e-05
-0.18,1.312077e-05,1.3364e-05,1.326373e-05
-0.16,1.30807e-05,1.332217e-05,1.320803e-05
-0.14,1.304717e-05,1.328813e-05,1.316003e-05
-0.12,1.302253e-05,1.32622e-05,1.31183e-05
-0.1,1.300597e-05,1.324507e-05,1.30836e-05
-0.08,1.299693e-05,1.323607e-05,1.30549e-05
-0.06,1.299577e-05,1.3233e-05,1.303033e-05
-0.04,1.299493e-05,1.323503e-05,1.3009e-05
-0.02,1.301013e-05,1.325063e-05,1.29985e-05
0.0,1.302933e-05,1.327303e-05,1.299227e-05
0.02,1.305537e-05,1.330253e-05,1.299157e-05
0.04,1.30884e-05,1.333713e-05,1.299547e-05
0.06,1.312817e-05,1.337893e-05,1.300473e-05
0.08,1.31721e-05,1.342373e-05,1.301867e-05
0.1,1.321877e-05,1.34749e-05,1.303767e-05
0.12,1.327157e-05,1.352933e-05,1.30623e-05
0.14,1.332893e-05,1.35896e-05,1.30902e-05
0.16,1.33902e-05,1.365547e-05,1.312637e-05
0.18,1.345803e-05,1.372417e-05,1.316697e-05
0.2,1.352963e-05,1.37983e-05,1.321417e-05
0.22,1.360803e-05,1.38771e-05,1.326773e-05
0.24,1.3694e-05,1.396037e-05,1.332863e-05
0.26,1.37833e-05,1.404887e-05,1.339563e-05
0.28,1.38787e-05,1.41425e-05,1.346887e-05
0.3,1.39815e-05,1.424087e-05,1.354993e-05
0.32,1.408973e-05,1.43439e-05,1.363837e-05
0.34,1.420453e-05,1.445063e-05,1.373297e-05
0.36,1.432437e-05,1.456273e-05,1.383513e-05
0.38,1.445327e-05,1.46802e-05,1.394543e-05
0.4,1.458607e-05,1.480197e-05,1.40634e-05
0.42,1.47241e-05,1.49276e-05,1.418847e-05
0.44,1.487023e-05,1.50574e-05,1.43206e-05
0.46,1.502187e-05,1.519453e-05,1.44594e-05
0.48,1.51797e-05,1.533463e-05,1.460647e-05
0.5,1.534347e-05,1.54812e-05,1.476097e-05
0.52,1.55153e-05,1.563257e-05,1.49214e-05
0.54,1.56931e-05,1.579003e-05,1.50889e-05
0.56,1.587783e-05,1.59514e-05,1.52622e-05
0.58,1.606763e-05,1.611793e-05,1.544077e-05
0.6,1.626183e-05,1.628997e-05,1.562423e-05
-0.6,1.85918e-05,1.875723e-05,1.963943e-05
-0.58,1.645177e-05,1.663743e-05,1.722893e-05
-0.56,1.580613e-05,1.6012e-05,1.644507e-05
-0.54,1.541527e-05,1.563013e-05,1.59682e-05
-0.52,1.510587e-05,1.533607e-05,1.560907e-05
-0.5,1.487657e-05,1.5112e-05,1.531487e-05
-0.48,1.468047e-05,1.491807e-05,1.50754e-05
-0.46,1.45061e-05,1.474603e-05,1.486537e-05
-0.44,1.43469e-05,1.459e-05,1.46782e-05
-0.42,1.420253e-05,1.44461e-05,1.4506e-05
-0.4,1.406883e-05,1.431327e-05,1.434923e-05
-0.38,1.394467e-05,1.41898e-05,1.42042e-05
-0.36,1.38291e-05,1.407513e-05,1.407117e-05
-0.34,1.372223e-05,1.396827e-05,1.394873e-05
-0.32,1.36221e-05,1.386787e-05,1.383507e-05
-0.3,1.35304e-05,1.377427e-05,1.37295e-05
-0.28,1.344533e-05,1.3689e-05,1.363277e-05
-0.26,1.33662e-05,1.360963e-05,1.354313e-05
-0.24,1.32956e-05,1.353817e-05,1.34617e-05
-0.22,1.32334e-05,1.347387e-05,1.338657e-05
-0.2,1.31761e-05,1.341517e-05,1.331797e-05
-0.18,1.31282e-05,1.336563e-05,1.325803e-05
-0.16,1.30872e-05,1.332327e-05,1.320377e-05
-0.14,1.30556e-05,1.32896e-05,1.315593e-05
-0.12,1.302927e-05,1.326323e-05,1.311537e-05
-0.1,1.30121e-05,1.324493e-05,1.308113e-05
-0.08,1.300263e-05,1.323507e-05,1.30536e-05
-0.06,1.30016e-05,1.323217e-05,1.30306e-05
-0.04,1.300697e-05,1.323757e-05,1.3014e-05
-0.02,1.301943e-05,1.325023e-05,1.30039e-05
0.0,1.30382e-05,1.326897e-05,1.299903e-05
0.02,1.30631e-05,1.32946e-05,1.299677e-05
0.04,1.309353e-05,1.332683e-05,1.300083e-05
0.06,1.31301e-05,1.336407e-05,1.301137e-05
0.08,1.317107e-05,1.34067e-05,1.302643e-05
0.1,1.321693e-05,1.345437e-05,1.30453e-05
0.12,1.32666e-05,1.35073e-05,1.307157e-05
0.14,1.332327e-05,1.35647e-05,1.310197e-05
0.16,1.33842e-05,1.362693e-05,1.313737e-05
0.18,1.344963e-05,1.369427e-05,1.317793e-05
0.2,1.352193e-05,1.376313e-05,1.322533e-05
