V,IDS 150,IDS 151,IDS 152
-0.6,6.26405e-05,6.308663e-05,6.264933e-05
-0.58,6.258037e-05,6.28921e-05,6.25846e-05
-0.56,6.257523e-05,6.28653e-05,6.257717e-05
-0.54,6.2569e-05,6.284427e-05,6.256627e-05
-0.52,6.25598e-05,6.28271e-05,6.255757e-05
-0.5,6.254473e-05,6.28096e-05,6.254827e-05
-0.48,6.25348e-05,6.27916e-05,6.253953e-05
-0.46,6.252577e-05,6.277493e-05,6.253053e-05
-0.44,6.251633e-05,6.27676e-05,6.25194e-05
-0.42,6.250423e-05,6.275277e-05,6.250943e-05
-0.4,6.2492e-05,6.273967e-05,6.250123e-05
-0.38,6.248007e-05,6.27265e-05,6.249447e-05
-0.36,6.246657e-05,6.271233e-05,6.248337e-05
-0.34,6.245643e-05,6.269787e-05,6.24789e-05
-0.32,6.24461e-05,6.26833e-05,6.247423e-05
-0.3,6.24383e-05,6.267113e-05,6.246547e-05
-0.28,6.242927e-05,6.2655e-05,6.245403e-05
-0.26,6.242217e-05,6.264193e-05,6.24433e-05
-0.24,6.24102e-05,6.262993e-05,6.244043e-05
-0.22,6.24017e-05,6.261657e-05,6.243463e-05
-0.2,6.239453e-05,6.260697e-05,6.24258e-05
-0.18,6.238697e-05,6.259317e-05,6.24202e-05
-0.16,6.237807e-05,6.257953e-05,6.24125e-05
-0.14,6.23717e-05,6.256637e-05,6.24052e-05
-0.12,6.236133e-05,6.255487e-05,6.240137e-05
-0.1,6.23563e-05,6.253877e-05,6.239637e-05
-0.08,6.234797e-05,6.252487e-05,6.239153e-05
-0.06,6.234383e-05,6.25154e-05,6.2385e-05
-0.04,6.23393e-05,6.25014e-05,6.23814e-05
-0.02,6.233227e-05,6.24909e-05,6.23796e-05
0.0,6.232817e-05,6.248003e-05,6.237673e-05
0.02,6.23238e-05,6.247143e-05,6.237357e-05
0.04,6.232e-05,6.24617e-05,6.23717e-05
0.06,6.231807e-05,6.245103e-05,6.236953e-05
0.08,6.231503e-05,6.244067e-05,6.2369e-05
0.1,6.23143e-05,6.243147e-05,6.23668e-05
0.12,6.231333e-05,6.24254e-05,6.236917e-05
0.14,6.231247e-05,6.2421e-05,6.236577e-05
0.16,6.231677e-05,6.241477e-05,6.236477e-05
0.18,6.230717e-05,6.24041e-05,6.23613e-05
0.2,6.231283e-05,6.23976e-05,6.236253e-05
0.22,6.23136e-05,6.238733e-05,6.236097e-05
0.24,6.23142e-05,6.238233e-05,6.236233e-05
0.26,6.231327e-05,6.237667e-05,6.23637e-05
0.28,6.231e-05,6.236843e-05,6.236487e-05
0.3,6.23108e-05,6.23648e-05,6.2362e-05
0.32,6.231223e-05,6.235963e-05,6.23632e-05
0.34,6.231293e-05,6.23546e-05,6.23651e-05
0.36,6.231937e-05,6.234907e-05,6.236823e-05
0.38,6.232097e-05,6.23454e-05,6.23681e-05
0.4,6.23226e-05,6.234497e-05,6.236787e-05
0.42,6.232517e-05,6.234173e-05,6.236813e-05
0.44,6.232717e-05,6.23404e-05,6.237203e-05
0.46,6.23309e-05,6.234053e-05,6.237283e-05
0.48,6.23318e-05,6.23371e-05,6.237517e-05
0.5,6.233443e-05,6.23391e-05,6.23723e-05
0.52,6.233647e-05,6.233913e-05,6.237423e-05
0.54,6.233923e-05,6.23381e-05,6.237333e-05
0.56,6.23394e-05,6.233383e-05,6.23792e-05
0.58,6.234033e-05,6.23345e-05,6.237587e-05
0.6,6.234247e-05,6.233537e-05,6.237437e-05
-0.6,6.267487e-05,6.298923e-05,6.271677e-05
-0.58,6.255383e-05,6.281803e-05,6.258073e-05
-0.56,6.254823e-05,6.280053e-05,6.257153e-05
-0.54,6.254083e-05,6.279027e-05,6.256173e-05
-0.52,6.253313e-05,6.277723e-05,6.255327e-05
-0.5,6.252617e-05,6.276753e-05,6.254583e-05
-0.48,6.251577e-05,6.27558e-05,6.253513e-05
-0.46,6.2506e-05,6.274637e-05,6.252863e-05
-0.44,6.24972e-05,6.273083e-05,6.252197e-05
-0.42,6.248827e-05,6.27189e-05,6.251283e-05
-0.4,6.247683e-05,6.270457e-05,6.25055e-05
-0.38,6.246817e-05,6.269073e-05,6.249793e-05
-0.36,6.245873e-05,6.267603e-05,6.248997e-05
-0.34,6.244677e-05,6.266393e-05,6.247977e-05
-0.32,6.24395e-05,6.265593e-05,6.24689e-05
-0.3,6.243093e-05,6.264463e-05,6.246017e-05
-0.28,6.242333e-05,6.263173e-05,6.24545e-05
-0.26,6.241783e-05,6.261997e-05,6.24469e-05
-0.24,6.240667e-05,6.2606e-05,6.244023e-05
-0.22,6.239747e-05,6.25955e-05,6.243607e-05
-0.2,6.23884e-05,6.25843e-05,6.243063e-05
-0.18,6.23829e-05,6.257087e-05,6.24214e-05
-0.16,6.237497e-05,6.255897e-05,6.241547e-05
-0.14,6.236847e-05,6.254447e-05,6.240967e-05
-0.12,6.236457e-05,6.253103e-05,6.240203e-05
-0.1,6.235403e-05,6.251797e-05,6.24004e-05
-0.08,6.234557e-05,6.250867e-05,6.23976e-05
-0.06,6.23415e-05,6.250037e-05,6.238903e-05
-0.04,6.233443e-05,6.24917e-05,6.238417e-05
-0.02,6.232893e-05,6.247753e-05,6.238007e-05
0.0,6.232547e-05,6.247007e-05,6.237773e-05
0.02,6.232397e-05,6.24618e-05,6.236947e-05
0.04,6.232137e-05,6.245207e-05,6.23681e-05
0.06,6.231767e-05,6.244243e-05,6.23644e-05
0.08,6.23135e-05,6.243253e-05,6.23631e-05
0.1,6.231457e-05,6.24235e-05,6.236003e-05
0.12,6.231137e-05,6.24148e-05,6.235753e-05
0.14,6.23119e-05,6.24073e-05,6.23525e-05
0.16,6.231183e-05,6.240327e-05,6.23518e-05
0.18,6.231143e-05,6.239287e-05,6.234953e-05
0.2,6.230887e-05,6.23883e-05,6.23504e-05
0.22,6.2309e-05,6.238167e-05,6.234813e-05
0.24,6.230573e-05,6.237893e-05,6.234787e-05
0.26,6.230813e-05,6.237467e-05,6.23518e-05
0.28,6.23089e-05,6.236917e-05,6.235263e-05
0.3,6.231177e-05,6.236463e-05,6.23531e-05
0.32,6.231287e-05,6.2362e-05,6.235133e-05
0.34,6.231367e-05,6.235893e-05,6.235173e-05
0.36,6.231293e-05,6.235317e-05,6.23529e-05
0.38,6.23128e-05,6.235223e-05,6.235717e-05
0.4,6.231497e-05,6.23502e-05,6.236047e-05
0.42,6.23164e-05,6.235033e-05,6.23573e-05
0.44,6.231627e-05,6.234783e-05,6.235707e-05
0.46,6.231893e-05,6.234223e-05,6.235987e-05
0.48,6.232357e-05,6.2344e-05,6.236263e-05
0.5,6.23293e-05,6.234343e-05,6.23676e-05
0.52,6.2331e-05,6.23429e-05,6.23697e-05
0.54,6.233247e-05,6.234077e-05,6.23691e-05
0.56,6.23328e-05,6.23415e-05,6.23694e-05
0.58,6.23366e-05,6.23418e-05,6.237057e-05
0.6,6.23411e-05,6.234253e-05,6.237177e-05
-0.6,6.26729e-05,6.295783e-05,6.271737e-05
-0.58,6.256247e-05,6.280063e-05,6.25763e-05
-0.56,6.255347e-05,6.27901e-05,6.256707e-05
-0.54,6.25469e-05,6.277597e-05,6.255653e-05
-0.52,6.254177e-05,6.27627e-05,6.254957e-05
-0.5,6.25304e-05,6.2751e-05,6.254517e-05
-0.48,6.251917e-05,6.274177e-05,6.25389e-05
-0.46,6.25093e-05,6.27295e-05,6.25319e-05
-0.44,6.249983e-05,6.272133e-05,6.252427e-05
-0.42,6.248897e-05,6.271003e-05,6.251427e-05
-0.4,6.248057e-05,6.26983e-05,6.25049e-05
-0.38,6.247123e-05,6.268243e-05,6.249653e-05
-0.36,6.246247e-05,6.266343e-05,6.249087e-05
-0.34,6.2453e-05,6.265267e-05,6.24821e-05
-0.32,6.244483e-05,6.264357e-05,6.247527e-05
-0.3,6.243697e-05,6.263077e-05,6.246503e-05
-0.28,6.24255e-05,6.26205e-05,6.245863e-05
-0.26,6.241603e-05,6.26094e-05,6.24515e-05
-0.24,6.24075e-05,6.259647e-05,6.24434e-05
-0.22,6.239853e-05,6.258503e-05,6.243547e-05
-0.2,6.23931e-05,6.257217e-05,6.24274e-05
-0.18,6.238267e-05,6.256307e-05,6.241993e-05
-0.16,6.237567e-05,6.254947e-05,6.241357e-05
-0.14,6.237013e-05,6.253963e-05,6.240993e-05
-0.12,6.23632e-05,6.252897e-05,6.24027e-05
-0.1,6.235637e-05,6.251693e-05,6.239353e-05
-0.08,6.235247e-05,6.250807e-05,6.238833e-05
-0.06,6.2344e-05,6.25001e-05,6.23806e-05
-0.04,6.233643e-05,6.248567e-05,6.237817e-05
-0.02,6.23311e-05,6.24765e-05,6.237713e-05
0.0,6.233037e-05,6.24669e-05,6.236997e-05
0.02,6.232587e-05,6.24548e-05,6.236773e-05
0.04,6.232127e-05,6.244493e-05,6.236543e-05
0.06,6.232343e-05,6.2439e-05,6.236283e-05
0.08,6.231813e-05,6.243207e-05,6.236113e-05
0.1,6.231387e-05,6.24181e-05,6.23601e-05
0.12,6.231323e-05,6.24118e-05,6.23568e-05
0.14,6.231193e-05,6.240397e-05,6.23538e-05
0.16,6.231477e-05,6.239613e-05,6.235413e-05
0.18,6.231357e-05,6.239583e-05,6.235263e-05
0.2,6.231313e-05,6.239277e-05,6.23507e-05
0.22,6.231163e-05,6.238363e-05,6.234993e-05
0.24,6.230913e-05,6.237713e-05,6.234873e-05
0.26,6.231003e-05,6.237433e-05,6.234987e-05
0.28,6.231023e-05,6.236977e-05,6.235103e-05
0.3,6.23125e-05,6.236213e-05,6.235183e-05
0.32,6.231343e-05,6.235753e-05,6.234703e-05
0.34,6.23158e-05,6.235857e-05,6.234557e-05
0.36,6.231523e-05,6.235563e-05,6.23484e-05
0.38,6.231827e-05,6.23515e-05,6.23506e-05
0.4,6.232027e-05,6.235147e-05,6.235483e-05
0.42,6.232123e-05,6.23497e-05,6.235517e-05
0.44,6.2324e-05,6.23486e-05,6.235627e-05
0.46,6.232357e-05,6.23465e-05,6.235537e-05
0.48,6.23261e-05,6.23456e-05,6.235583e-05
0.5,6.233073e-05,6.234587e-05,6.23588e-05
0.52,6.232977e-05,6.23442e-05,6.23605e-05
0.54,6.233113e-05,6.23428e-05,6.23637e-05
0.56,6.233153e-05,6.234323e-05,6.236477e-05
0.58,6.233557e-05,6.234773e-05,6.236457e-05
0.6,6.233997e-05,6.234647e-05,6.23698e-05
-0.6,6.26801e-05,6.29321e-05,6.272143e-05
-0.58,6.256243e-05,6.278327e-05,6.258393e-05
-0.56,6.255597e-05,6.276943e-05,6.25785e-05
-0.54,6.25485e-05,6.275553e-05,6.25737e-05
-0.52,6.254133e-05,6.274987e-05,6.256353e-05
-0.5,6.253443e-05,6.274013e-05,6.256067e-05
-0.48,6.252323e-05,6.272937e-05,6.255043e-05
-0.46,6.251293e-05,6.271613e-05,6.25416e-05
-0.44,6.25056e-05,6.27043e-05,6.25336e-05
-0.42,6.249737e-05,6.269517e-05,6.252387e-05
-0.4,6.248923e-05,6.26839e-05,6.251683e-05
-0.38,6.247787e-05,6.26725e-05,6.250803e-05
-0.36,6.246697e-05,6.266063e-05,6.249753e-05
-0.34,6.245997e-05,6.264897e-05,6.248757e-05
-0.32,6.244907e-05,6.263637e-05,6.24768e-05
-0.3,6.243937e-05,6.262227e-05,6.24696e-05
-0.28,6.242983e-05,6.261227e-05,6.245957e-05
-0.26,6.24206e-05,6.260027e-05,6.24531e-05
-0.24,6.240873e-05,6.25864e-05,6.24466e-05
-0.22,6.240313e-05,6.257293e-05,6.244e-05
-0.2,6.239567e-05,6.25622e-05,6.24344e-05
-0.18,6.238763e-05,6.255153e-05,6.24288e-05
-0.16,6.238317e-05,6.25413e-05,6.242357e-05
-0.14,6.23761e-05,6.2532e-05,6.241853e-05
-0.12,6.237113e-05,6.251787e-05,6.240797e-05
