V,IDS 150,IDS 151,IDS 152
-0.6,4.819183e-05,5.215117e-05,4.88341e-05
-0.58,5.291603e-05,5.74361e-05,5.23792e-05
-0.56,5.50379e-05,5.939237e-05,5.40202e-05
-0.54,5.63543e-05,6.049003e-05,5.501417e-05
-0.52,5.717883e-05,6.11446e-05,5.563597e-05
-0.5,5.768377e-05,6.153963e-05,5.602373e-05
-0.48,5.798303e-05,6.176283e-05,5.625037e-05
-0.46,5.81337e-05,6.18688e-05,5.636393e-05
-0.44,5.81776e-05,6.18931e-05,5.639817e-05
-0.42,5.81411e-05,6.184803e-05,5.636053e-05
-0.4,5.803697e-05,6.175177e-05,5.62747e-05
-0.38,5.788297e-05,6.16069e-05,5.614943e-05
-0.36,5.767763e-05,6.143013e-05,5.598773e-05
-0.34,5.742833e-05,6.12189e-05,5.580157e-05
-0.32,5.714363e-05,6.098237e-05,5.558757e-05
-0.3,5.682493e-05,6.070773e-05,5.535233e-05
-0.28,5.64743e-05,6.041287e-05,5.509257e-05
-0.26,5.609487e-05,6.008863e-05,5.481157e-05
-0.24,5.5685e-05,5.973127e-05,5.452227e-05
-0.22,5.52555e-05,5.935493e-05,5.420537e-05
-0.2,5.480857e-05,5.895037e-05,5.387747e-05
-0.18,5.435333e-05,5.852243e-05,5.354003e-05
-0.16,5.38924e-05,5.807713e-05,5.318923e-05
-0.14,5.341583e-05,5.761113e-05,5.283587e-05
-0.12,5.293887e-05,5.71223e-05,5.247787e-05
-0.1,5.2421e-05,5.66304e-05,5.21196e-05
-0.08,5.194423e-05,5.612233e-05,5.17656e-05
-0.06,5.148867e-05,5.561203e-05,5.141603e-05
-0.04,5.103257e-05,5.509567e-05,5.106623e-05
-0.02,5.058997e-05,5.458277e-05,5.072687e-05
0.0,5.015613e-05,5.406067e-05,5.040267e-05
0.02,4.974047e-05,5.355347e-05,5.00865e-05
0.04,4.93443e-05,5.305483e-05,4.978677e-05
0.06,4.896983e-05,5.25726e-05,4.95092e-05
0.08,4.862263e-05,5.20984e-05,4.9248e-05
0.1,4.83067e-05,5.163803e-05,4.90082e-05
0.12,4.802077e-05,5.120433e-05,4.878883e-05
0.14,4.77648e-05,5.079207e-05,4.85944e-05
0.16,4.751673e-05,5.03785e-05,4.841247e-05
0.18,4.72959e-05,4.994387e-05,4.82305e-05
0.2,4.714713e-05,4.963063e-05,4.810563e-05
0.22,4.70241e-05,4.933433e-05,4.800443e-05
0.24,4.692487e-05,4.906817e-05,4.791733e-05
0.26,4.685073e-05,4.88242e-05,4.784457e-05
0.28,4.6799e-05,4.86106e-05,4.779133e-05
0.3,4.676223e-05,4.841673e-05,4.774323e-05
0.32,4.675203e-05,4.825197e-05,4.771067e-05
0.34,4.67582e-05,4.811113e-05,4.769027e-05
0.36,4.677683e-05,4.79937e-05,4.767667e-05
0.38,4.681067e-05,4.790057e-05,4.766937e-05
0.4,4.686523e-05,4.782727e-05,4.76753e-05
0.42,4.694253e-05,4.777493e-05,4.768763e-05
0.44,4.702727e-05,4.77426e-05,4.77097e-05
0.46,4.712273e-05,4.77262e-05,4.774067e-05
0.48,4.723757e-05,4.772943e-05,4.77761e-05
0.5,4.735523e-05,4.774967e-05,4.78182e-05
0.52,4.74841e-05,4.778703e-05,4.78669e-05
0.54,4.762247e-05,4.783437e-05,4.792173e-05
0.56,4.776757e-05,4.789823e-05,4.79833e-05
0.58,4.79198e-05,4.797593e-05,4.805063e-05
0.6,4.807687e-05,4.806503e-05,4.812253e-05
-0.6,4.747403e-05,4.76819e-05,4.769937e-05
-0.58,4.63345e-05,4.8119e-05,4.73657e-05
-0.56,4.813197e-05,5.121217e-05,4.904363e-05
-0.54,5.042017e-05,5.398917e-05,5.100377e-05
-0.52,5.22395e-05,5.597397e-05,5.235327e-05
-0.5,5.355387e-05,5.73433e-05,5.331643e-05
-0.48,5.445497e-05,5.82692e-05,5.397677e-05
-0.46,5.50577e-05,5.88764e-05,5.4431e-05
