V,IDS 150,IDS 151,IDS 152
-0.6,4.187267e-05,4.628977e-05,4.255627e-05
-0.58,4.698007e-05,5.189273e-05,4.651137e-05
-0.56,4.896373e-05,5.36144e-05,4.802543e-05
-0.54,5.006623e-05,5.452607e-05,4.8905e-05
-0.52,5.06998e-05,5.50481e-05,4.943963e-05
-0.5,5.104707e-05,5.531997e-05,4.971013e-05
-0.48,5.120773e-05,5.54469e-05,4.983327e-05
-0.46,5.124077e-05,5.546627e-05,4.985407e-05
-0.44,5.117657e-05,5.540437e-05,4.97978e-05
-0.42,5.104147e-05,5.528183e-05,4.968363e-05
-0.4,5.08525e-05,5.511467e-05,4.952653e-05
-0.38,5.061757e-05,5.490163e-05,4.93345e-05
-0.36,5.03452e-05,5.46581e-05,4.91191e-05
-0.34,5.003907e-05,5.43821e-05,4.88794e-05
-0.32,4.97079e-05,5.408273e-05,4.862317e-05
-0.3,4.93504e-05,5.376173e-05,4.834013e-05
-0.28,4.89655e-05,5.341477e-05,4.805147e-05
-0.26,4.857053e-05,5.305447e-05,4.774623e-05
-0.24,4.81577e-05,5.26671e-05,4.74321e-05
-0.22,4.773693e-05,5.22614e-05,4.710833e-05
-0.2,4.730487e-05,5.184123e-05,4.677333e-05
-0.18,4.686213e-05,5.140843e-05,4.643337e-05
-0.16,4.640763e-05,5.09582e-05,4.60944e-05
-0.14,4.594827e-05,5.049143e-05,4.57485e-05
-0.12,4.54934e-05,5.001653e-05,4.54053e-05
-0.1,4.504727e-05,4.953003e-05,4.50586e-05
-0.08,4.461067e-05,4.90396e-05,4.47187e-05
-0.06,4.4175e-05,4.854413e-05,4.438473e-05
-0.04,4.374857e-05,4.80466e-05,4.405817e-05
-0.02,4.334433e-05,4.755727e-05,4.374113e-05
0.0,4.295507e-05,4.7064e-05,4.343997e-05
0.02,4.258823e-05,4.658313e-05,4.31521e-05
0.04,4.224163e-05,4.61098e-05,4.28796e-05
0.06,4.192413e-05,4.564557e-05,4.262633e-05
0.08,4.162873e-05,4.520307e-05,4.239113e-05
0.1,4.13665e-05,4.478077e-05,4.217873e-05
0.12,4.11334e-05,4.43779e-05,4.198817e-05
0.14,4.092837e-05,4.39969e-05,4.18208e-05
0.16,4.07462e-05,4.36005e-05,4.16564e-05
0.18,4.057043e-05,4.322143e-05,4.15088e-05
0.2,4.045823e-05,4.293423e-05,4.140603e-05
0.22,4.037357e-05,4.26644e-05,4.13199e-05
0.24,4.030663e-05,4.241667e-05,4.12472e-05
0.26,4.026157e-05,4.219583e-05,4.11873e-05
0.28,4.023383e-05,4.1998e-05,4.11411e-05
0.3,4.022583e-05,4.182347e-05,4.110743e-05
0.32,4.02289e-05,4.167173e-05,4.108197e-05
0.34,4.025113e-05,4.15427e-05,4.10695e-05
0.36,4.029013e-05,4.14334e-05,4.10666e-05
0.38,4.03389e-05,4.134737e-05,4.10696e-05
0.4,4.040027e-05,4.128107e-05,4.108147e-05
0.42,4.047193e-05,4.123637e-05,4.110153e-05
0.44,4.055803e-05,4.120687e-05,4.112767e-05
0.46,4.06426e-05,4.119517e-05,4.11604e-05
0.48,4.074723e-05,4.120153e-05,4.119897e-05
0.5,4.085933e-05,4.122137e-05,4.12464e-05
0.52,4.09819e-05,4.1257e-05,4.129853e-05
0.54,4.111327e-05,4.130497e-05,4.13579e-05
0.56,4.12546e-05,4.136633e-05,4.142213e-05
0.58,4.14019e-05,4.144093e-05,4.149043e-05
0.6,4.155223e-05,4.152737e-05,4.156557e-05
-0.6,4.081423e-05,4.105853e-05,4.105093e-05
-0.58,4.020773e-05,4.26363e-05,4.126727e-05
-0.56,4.294517e-05,4.646123e-05,4.353823e-05
-0.54,4.535097e-05,4.916623e-05,4.535657e-05
-0.52,4.696907e-05,5.088437e-05,4.659123e-05
-0.5,4.79992e-05,5.195837e-05,4.740917e-05
-0.48,4.865457e-05,5.26241e-05,4.794613e-05
-0.46,4.90498e-05,5.302153e-05,4.827273e-05
-0.44,4.926403e-05,5.323233e-05,4.844803e-05
-0.42,4.93402e-05,5.331223e-05,4.85201e-05
-0.4,4.931793e-05,5.32947e-05,4.851427e-05
-0.38,4.92225e-05,5.32064e-05,4.844557e-05
-0.36,4.906803e-05,5.305473e-05,4.832393e-05
-0.34,4.887793e-05,5.2859e-05,4.816967e-05
-0.32,4.86457e-05,5.262377e-05,4.798603e-05
-0.3,4.83423e-05,5.232467e-05,4.777553e-05
-0.28,4.8049e-05,5.203523e-05,4.75228e-05
-0.26,4.776497e-05,5.175123e-05,4.73034e-05
-0.24,4.744617e-05,5.142363e-05,4.705777e-05
-0.22,4.71065e-05,5.10778e-05,4.678987e-05
-0.2,4.674577e-05,5.07113e-05,4.651343e-05
-0.18,4.63708e-05,5.032773e-05,4.622543e-05
-0.16,4.59833e-05,4.992617e-05,4.592827e-05
-0.14,4.55831e-05,4.950997e-05,4.562567e-05
-0.12,4.51782e-05,4.908317e-05,4.531807e-05
-0.1,4.477277e-05,4.864207e-05,4.500657e-05
-0.08,4.43678e-05,4.81936e-05,4.468633e-05
-0.06,4.39699e-05,4.77328e-05,4.43707e-05
-0.04,4.35708e-05,4.727703e-05,4.405613e-05
-0.02,4.318173e-05,4.681693e-05,4.3749e-05
0.0,4.28072e-05,4.63596e-05,4.345043e-05
0.02,4.24485e-05,4.591253e-05,4.316197e-05
0.04,4.211097e-05,4.5469e-05,4.288423e-05
0.06,4.17945e-05,4.504087e-05,4.26189e-05
0.08,4.150137e-05,4.46255e-05,4.237097e-05
0.1,4.123513e-05,4.422747e-05,4.214047e-05
0.12,4.099497e-05,4.384963e-05,4.192747e-05
0.14,4.078523e-05,4.349353e-05,4.173097e-05
0.16,4.06029e-05,4.316427e-05,4.15548e-05
0.18,4.044317e-05,4.285303e-05,4.139783e-05
0.2,4.031067e-05,4.256927e-05,4.126343e-05
0.22,4.02047e-05,4.230853e-05,4.11487e-05
0.24,4.012313e-05,4.207163e-05,4.1049e-05
0.26,4.00594e-05,4.186403e-05,4.096387e-05
0.28,4.002213e-05,4.16797e-05,4.09003e-05
0.3,4.000307e-05,4.152403e-05,4.08497e-05
0.32,4.000323e-05,4.138867e-05,4.081393e-05
0.34,4.00241e-05,4.128027e-05,4.079477e-05
0.36,4.005977e-05,4.11921e-05,4.078987e-05
0.38,4.011127e-05,4.112297e-05,4.079753e-05
0.4,4.017397e-05,4.10757e-05,4.081997e-05
0.42,4.02546e-05,4.104777e-05,4.084703e-05
