V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,1.3530749999999484e-05,
-0.56,1.3795999999999947e-05,
-0.54,1.4067500000000156e-05,
-0.52,1.4305000000000047e-05,
-0.5,1.5384999999999704e-05,
-0.48,1.598825000000007e-05,
-0.46,1.646749999999978e-05,
-0.44,1.713250000000017e-05,
-0.42,1.7025000000000373e-05,
-0.4,1.7291750000000047e-05,
-0.38,1.7955000000000054e-05,
-0.36,1.8495749999999922e-05,
-0.34,1.7791000000000074e-05,
-0.32,1.830175000000012e-05,
-0.3,1.929074999999997e-05,
-0.28,1.913900000000005e-05,
-0.26,1.750325000000018e-05,
-0.24,1.5892499999999726e-05,
-0.22,1.6415000000000093e-05,
-0.2,1.6326000000000535e-05,
-0.18,1.5826750000000073e-05,
-0.16,1.5955749999999828e-05,
-0.14,1.5515000000000233e-05,
-0.12,1.5848250000000032e-05,
-0.1,1.5554999999999562e-05,
-0.08,1.2190999999999938e-05,
-0.06,1.0582500000000036e-05,
-0.04,1.150149999999987e-05,
-0.02,1.0351750000000062e-05,
0.0,7.576750000000063e-06,
0.02,6.11499999999968e-06,
0.04,4.999999999999796e-06,
0.06,3.434999999999983e-06,
0.08,2.9675000000001575e-06,
0.1,2.6650000000002193e-06,
0.12,2.4567500000001116e-06,
0.14,3.0299999999997863e-06,
0.16,2.168250000000177e-06,
0.18,1.5025000000001842e-06,
0.2,1.4307499999997864e-06,
0.22,4.5649999999997776e-07,
0.24,6.592500000003783e-07,
0.26,4.210000000000151e-07,
0.28,2.499999999985153e-09,
0.3,6.56500000000091e-07,
0.32,6.575000000008657e-08,
0.34,5.640000000002067e-07,
0.36,4.4749999999994447e-07,
0.38,1.339250000000243e-06,
0.4,2.0850000000001943e-06,
0.42,2.532500000000139e-06,
0.44,3.271000000000003e-06,
0.46,2.8392500000000084e-06,
0.48,2.182500000000049e-06,
0.5,2.5082499999998925e-06,
0.52,2.8482500000000417e-06,
0.54,3.1007499999998432e-06,
0.56,3.5799999999999894e-06,
0.58,4.207500000000166e-06,
0.6,,
0.58,,6.811499999999967e-06
0.56,,6.7992499999999095e-06
0.54,,7.389249999999875e-06
0.52,,7.82650000000001e-06
0.5,,6.905000000000192e-06
0.48,,5.788500000000231e-06
0.46,,4.220750000000131e-06
0.44,,3.6689999999999813e-06
0.42,,4.160999999999922e-06
0.4,,5.06674999999979e-06
0.38,,6.626500000000198e-06
0.36,,5.680000000000095e-06
