V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,4.7174999999954025e-07,
-0.56,4.38500000000128e-07,
-0.54,4.732499999998349e-07,
-0.52,4.6250000000007223e-07,
-0.5,4.850000000001554e-07,
-0.48,5.090000000000997e-07,
-0.46,4.942500000000571e-07,
-0.44,5.967500000000989e-07,
-0.42,5.532500000000103e-07,
-0.4,5.332499999999123e-07,
-0.38,4.784999999998905e-07,
-0.36,3.9349999999974475e-07,
-0.34,4.832499999997755e-07,
-0.32,4.1825000000016155e-07,
-0.3,3.2825000000026236e-07,
-0.28,3.9925000000018765e-07,
-0.26,4.600000000000871e-07,
-0.24,3.207499999996564e-07,
-0.22,2.8174999999980126e-07,
-0.2,3.7825000000018226e-07,
-0.18,3.6075000000006935e-07,
-0.16,3.092500000000716e-07,
-0.14,2.059999999999909e-07,
-0.12,8.824999999995295e-08,
-0.1,1.6325000000015806e-07,
-0.08,2.625000000001758e-07,
-0.06,2.4000000000009257e-07,
-0.04,2.360000000000296e-07,
-0.02,2.050000000000836e-07,
0.0,1.4899999999985238e-07,
0.02,8.174999999990482e-08,
0.04,1.5749999999949832e-08,
0.06,2.9250000000216603e-08,
0.08,1.242500000000861e-07,
0.1,3.500000000000898e-08,
0.12,9.174999999984543e-08,
0.14,9.32500000001401e-08,
0.16,1.2924999999983956e-07,
0.18,1.0000000001241655e-09,
0.2,1.71749999999804e-07,
0.22,1.0349999999994912e-07,
0.24,1.925000000005915e-08,
0.26,3.600000000013315e-08,
0.28,3.999999999997929e-08,
0.3,9.750000000007149e-08,
0.32,1.8499999999803396e-08,
0.34,1.0500000000002695e-07,
0.36,3.499999999892478e-09,
0.38,8.674999999987512e-08,
0.4,5.174999999986614e-08,
0.42,8.499999999971204e-08,
0.44,1.0325000000008071e-07,
0.46,1.8425000000016345e-07,
0.48,6.599999999995498e-08,
0.5,3.0000000000038676e-08,
0.52,9.250000000010118e-08,
0.54,1.1900000000024738e-07,
0.56,1.825000000002172e-07,
0.58,1.2999999999966164e-07,
0.6,,
0.58,,9.250000000031802e-08
0.56,,2.650000000036304e-08
0.54,,1.1150000000007508e-07
0.52,,2.7500000000053523e-08
0.5,,4.649999999981058e-08
0.48,,1.167499999999138e-07
0.46,,1.7324999999988183e-07
0.44,,1.2924999999983956e-07
0.42,,7.825000000022918e-08
0.4,,9.900000000014932e-08
0.38,,2.292499999998962e-07
0.36,,4.9250000000097827e-08
0.34,,1.4249999999872004e-08
0.32,,1.2574999999994708e-07
0.3,,1.0500000000024379e-07
0.28,,1.167499999999138e-07
0.26,,1.3249999999964679e-08
0.24,,3.5749999999614215e-08
0.22,,2.4249999999812616e-08
0.2,,1.3899999999969492e-07
0.18,,1.6000000000251924e-08
0.16,,1.9074999999999474e-07
0.14,,1.4000000000003593e-07
0.12,,9.174999999984543e-08
0.1,,1.89999999999739e-08
0.08,,8.35000000000679e-08
0.06,,3.3499999999714314e-08
0.04,,1.0074999999966187e-07
0.02,,5.400000000019972e-08
0.0,,3.500000000000898e-08
-0.02,,8.849999999960452e-08
-0.04,,1.325000000002973e-07
-0.06,,2.3250000000555812e-08
-0.08,,1.500000000012776e-08
-0.1,,1.4424999999996732e-07
-0.12,,1.9674999999987237e-07
-0.14,,2.132500000002948e-07
-0.16,,3.1150000000018836e-07
-0.18,,3.217499999995637e-07
-0.2,,3.1249999999987885e-07
-0.22,,3.525000000002918e-07
-0.24,,3.567500000002232e-07
-0.26,,3.639999999998766e-07
-0.28,,4.56750000000063e-07
-0.3,,4.392500000003838e-07
-0.32,,4.3649999999966285e-07
-0.34,,3.9424999999978366e-07
-0.36,,4.517500000000927e-07
-0.38,,5.524999999999714e-07
-0.4,,6.217500000001673e-07
-0.42,,7.43250000000183e-07
-0.44,,7.05749999999972e-07
-0.46,,5.775000000000398e-07
-0.48,,5.032499999998736e-07
-0.5,,5.357499999998974e-07
-0.52,,6.325000000003637e-07
-0.54,,5.817499999999712e-07
-0.56,,4.910000000000331e-07
-0.58,,5.532499999997935e-07
-0.6,,5.580000000004099e-07
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
