V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,2.917149999999999e-05,
-0.56,2.900175000000011e-05,
-0.54,2.8867499999999974e-05,
-0.52,2.8748249999999967e-05,
-0.5,2.881424999999992e-05,
-0.48,2.8871750000000014e-05,
-0.46,2.8858249999999964e-05,
-0.44,2.8883999999999963e-05,
-0.42,2.8792500000000094e-05,
-0.4,2.86625e-05,
-0.38,2.8540999999999983e-05,
-0.36,2.8279999999999994e-05,
-0.34,2.7998999999999906e-05,
-0.32,2.767349999999993e-05,
-0.3,2.721750000000007e-05,
-0.28,2.6745000000000056e-05,
-0.26,2.61324999999999e-05,
-0.24,2.543899999999993e-05,
-0.22,2.476925000000009e-05,
-0.2,2.403425000000001e-05,
-0.18,2.3240749999999877e-05,
-0.16,2.2385000000000037e-05,
-0.14,2.11150000000001e-05,
-0.12,1.9676749999999977e-05,
-0.1,1.8459999999999982e-05,
-0.08,1.719575e-05,
-0.06,1.5778500000000046e-05,
-0.04,1.4347500000000011e-05,
-0.02,1.2873250000000082e-05,
0.0,1.1323249999999963e-05,
0.02,9.819999999999957e-06,
0.04,8.326000000000015e-06,
0.06,6.887500000000025e-06,
0.08,5.493999999999985e-06,
0.1,4.204249999999979e-06,
0.12,2.97425000000002e-06,
0.14,1.788999999999979e-06,
0.16,7.307499999999862e-07,
0.18,2.5899999999995805e-07,
0.2,1.163250000000074e-06,
0.22,1.9734999999999566e-06,
0.24,2.767499999999936e-06,
0.26,3.4415000000000313e-06,
0.28,4.049249999999978e-06,
0.3,4.641749999999983e-06,
0.32,5.160749999999969e-06,
0.34,5.640749999999992e-06,
0.36,6.087500000000006e-06,
0.38,6.494999999999971e-06,
0.4,6.848249999999976e-06,
0.42,7.174999999999998e-06,
0.44,7.537500000000014e-06,
0.46,7.864249999999981e-06,
0.48,8.094250000000025e-06,
0.5,8.316750000000005e-06,
0.52,8.493249999999965e-06,
0.54,8.65750000000003e-06,
0.56,8.768500000000097e-06,
