V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,8.914999999997796e-07,
-0.56,7.082500000003909e-07,
-0.54,6.834999999999741e-07,
-0.52,7.834999999998139e-07,
-0.5,7.439999999997882e-07,
-0.48,7.532500000001236e-07,
-0.46,8.842500000001263e-07,
-0.44,8.342499999995558e-07,
-0.42,7.917500000000251e-07,
-0.4,6.789999999999574e-07,
-0.38,6.690000000000168e-07,
-0.36,7.100000000003371e-07,
-0.34,5.749999999998378e-07,
-0.32,5.459999999999233e-07,
-0.3,5.899999999999656e-07,
-0.28,6.739999999999871e-07,
-0.26,7.217500000000071e-07,
-0.24,5.72499999999419e-07,
-0.22,4.3425000000019663e-07,
-0.2,4.535000000004726e-07,
-0.18,5.657499999999361e-07,
-0.16,5.775000000002566e-07,
-0.14,4.1999999999989095e-07,
-0.12,3.824999999998968e-07,
-0.1,3.3675000000012514e-07,
-0.08,2.8000000000007186e-07,
-0.06,3.482500000001436e-07,
-0.04,2.0900000000014657e-07,
-0.02,1.38249999999656e-07,
0.0,2.5674999999994973e-07,
0.02,1.0500000000024379e-07,
0.04,2.9249999999999762e-08,
0.06,8.424999999967313e-08,
0.08,1.267499999998544e-07,
0.1,8.000000000017542e-08,
0.12,3.7500000000427816e-08,
0.14,4.425000000012752e-08,
0.16,2.9249999999999762e-08,
0.18,3.250000000002383e-08,
0.2,6.074999999968259e-08,
0.22,3.9249999999940374e-08,
0.24,3.250000000024067e-09,
0.26,3.1749999999768075e-08,
0.28,1.5399999999982268e-07,
0.3,1.007500000003124e-07,
0.32,4.4999999999732754e-08,
0.34,4.074999999980136e-08,
0.36,1.7175000000045453e-07,
0.38,7.17499999999642e-08,
0.4,8.250000000016057e-08,
0.42,1.650000000001043e-07,
0.44,2.357499999997275e-07,
0.46,1.2749999999989332e-07,
0.48,1.710000000004156e-07,
0.5,1.3924999999999702e-07,
0.52,1.0325000000008071e-07,
0.54,6.500000000004766e-08,
0.56,1.8999999999995583e-07,
0.58,2.4899999999947534e-07,
0.6,,
0.58,,2.0574999999968882e-07
0.56,,2.675000000001461e-08
0.54,,6.425000000022558e-08
0.52,,9.500000000030318e-08
0.5,,2.485000000001722e-07
0.48,,2.7249999999989956e-07
0.46,,1.4399999999988207e-07
0.44,,9.32500000001401e-08
0.42,,1.1850000000007688e-07
0.4,,1.2574999999973024e-07
0.38,,3.999999999997929e-08
0.36,,9.850000000019565e-08
0.34,,2.1324999999986112e-07
0.32,,1.750000000000449e-07
0.3,,8.175000000012166e-08
0.28,,3.1499999999682823e-08
0.26,,8.399999999980472e-08
0.24,,2.3499999999773702e-08
0.22,,3.600000000034999e-08
0.2,,1.2150000000023253e-07
0.18,,1.232499999997451e-07
0.16,,6.675000000021074e-08
0.14,,3.5749999999614215e-08
0.12,,1.6749999999640316e-08
0.1,,1.4249999999872004e-08
0.08,,7.350000000012728e-08
0.06,,4.4999999999949594e-08
0.04,,2.7499999999836683e-08
0.02,,1.0574999999984902e-07
0.0,,2.675000000001461e-07
-0.02,,2.9849999999987525e-07
-0.04,,1.999999999996796e-07
-0.06,,2.54000000000313e-07
-0.08,,3.657500000002565e-07
-0.1,,2.849999999998253e-07
-0.12,,1.9674999999965553e-07
-0.14,,2.7925000000003294e-07
-0.16,,4.5074999999996854e-07
-0.18,,5.325000000000902e-07
-0.2,,4.850000000001554e-07
-0.22,,5.374999999998437e-07
-0.24,,6.474999999996241e-07
-0.26,,6.107499999996688e-07
-0.28,,6.675000000001558e-07
-0.3,,7.500000000005332e-07
-0.32,,7.957499999998712e-07
-0.34,,7.259999999997217e-07
