V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,2.193925000000004e-05,
-0.56,1.9987500000000072e-05,
-0.54,1.8870749999999918e-05,
-0.52,1.8093500000000012e-05,
-0.5,1.7461750000000013e-05,
-0.48,1.7033250000000042e-05,
-0.46,1.671400000000003e-05,
-0.44,1.625674999999996e-05,
-0.42,1.583600000000003e-05,
-0.4,1.5450750000000008e-05,
-0.38,1.5022500000000014e-05,
-0.36,1.4544999999999977e-05,
-0.34,1.4061500000000008e-05,
-0.32,1.363407499999997e-05,
-0.3,1.3128175000000006e-05,
-0.28,1.2608175000000031e-05,
-0.26,1.2035250000000006e-05,
-0.24,1.1353424999999953e-05,
-0.22,1.0793249999999994e-05,
-0.2,1.0177250000000052e-05,
-0.18,9.451324999999977e-06,
-0.16,8.823900000000016e-06,
-0.14,8.088500000000016e-06,
-0.12,7.309249999999998e-06,
-0.1,6.546500000000023e-06,
-0.08,5.808600000000011e-06,
-0.06,5.095250000000022e-06,
-0.04,4.297400000000004e-06,
-0.02,3.509574999999989e-06,
0.0,2.782425000000011e-06,
0.02,2.0619249999999964e-06,
0.04,1.372574999999979e-06,
0.06,7.334249999999768e-07,
0.08,4.967499999999881e-08,
0.1,5.570000000000152e-07,
0.12,1.197500000000017e-06,
0.14,1.7423499999999817e-06,
0.16,2.185000000000007e-06,
0.18,2.6513999999999997e-06,
0.2,3.0374250000000144e-06,
0.22,3.4754999999999975e-06,
0.24,3.8266499999999645e-06,
0.26,4.174500000000026e-06,
0.28,4.440674999999991e-06,
0.3,4.6896749999999815e-06,
0.32,4.99792500000001e-06,
0.34,5.273750000000014e-06,
0.36,5.486574999999974e-06,
0.38,5.7568249999999735e-06,
0.4,6.109324999999994e-06,
0.42,6.288174999999997e-06,
0.44,6.534675000000002e-06,
0.46,6.867674999999987e-06,
0.48,7.112075000000008e-06,
0.5,7.404900000000035e-06,
0.52,7.682924999999975e-06,
0.54,7.92192499999997e-06,
0.56,8.192675000000032e-06,
0.58,8.39175000000002e-06,
0.6,,
0.58,,9.929425000000002e-06
0.56,,9.253425000000065e-06
0.54,,8.752249999999977e-06
0.52,,8.339424999999985e-06
0.5,,7.948074999999998e-06
0.48,,7.547000000000001e-06
0.46,,7.201500000000009e-06
0.44,,6.863824999999948e-06
0.42,,6.537000000000009e-06
0.4,,6.241000000000037e-06
0.38,,5.933325000000015e-06
0.36,,5.634500000000002e-06
0.34,,5.382249999999987e-06
0.32,,5.104750000000009e-06
0.3,,4.785000000000016e-06
0.28,,4.539424999999974e-06
0.26,,4.278850000000021e-06
0.24,,3.944649999999979e-06
0.22,,3.591750000000012e-06
0.2,,3.2797500000000053e-06
0.18,,2.8851499999999668e-06
0.16,,2.4275000000000034e-06
0.14,,1.992350000000042e-06
0.12,,1.4609249999999931e-06
0.1,,8.553249999999934e-07
0.08,,2.3492499999998827e-07
0.06,,4.233249999999948e-07
0.04,,1.1898499999999832e-06
0.02,,1.995250000000001e-06
0.0,,2.7703250000000047e-06
-0.02,,3.5508499999999967e-06
-0.04,,4.408825000000026e-06
-0.06,,5.2934000000000195e-06
-0.08,,6.135175e-06
-0.1,,7.027249999999976e-06
-0.12,,7.869249999999979e-06
