V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,4.524999999999148e-07,
-0.56,4.635000000001964e-07,
-0.54,3.9924999999975397e-07,
-0.52,3.964999999999004e-07,
-0.5,5.000000000000664e-07,
-0.48,4.110000000000745e-07,
-0.46,4.3325000000007247e-07,
-0.44,4.2999999999983156e-07,
-0.42,3.8424999999984305e-07,
-0.4,4.3074999999987047e-07,
-0.38,3.665000000002954e-07,
-0.36,5.075000000002387e-07,
-0.34,6.25999999999665e-07,
-0.32,3.892499999995965e-07,
-0.3,2.56500000000515e-07,
-0.28,3.5075000000012874e-07,
-0.26,3.7924999999987274e-07,
-0.24,3.2749999999978976e-07,
-0.22,3.132500000001346e-07,
-0.2,3.3499999999996206e-07,
-0.18,2.0924999999979814e-07,
-0.16,9.49999999998695e-08,
-0.14,1.5675000000010993e-07,
-0.12,2.0175000000027636e-07,
-0.1,2.65749999999983e-07,
-0.08,2.5074999999985526e-07,
-0.06,2.0425000000026151e-07,
-0.04,2.4750000000026487e-07,
-0.02,1.7249999999984292e-07,
0.0,1.624999999999023e-07,
0.02,2.5400000000009616e-07,
0.04,1.3824999999987285e-07,
0.06,3.500000000022582e-08,
0.08,3.3500000000147995e-08,
0.1,4.1499999999840276e-08,
0.12,2.6000000000192536e-08,
0.14,9.750000000007149e-08,
0.16,1.7500000001630794e-09,
0.18,1.2249999999970618e-07,
0.2,1.0424999999977119e-07,
0.22,8.750000000013088e-08,
0.24,1.1349999999967289e-07,
0.26,6.499999999983082e-08,
0.28,1.150000000001844e-07,
0.3,1.334999999999878e-07,
0.32,1.0500000000024379e-07,
0.34,4.574999999998851e-08,
0.36,7.250000000000312e-08,
0.38,2.2075000000025026e-07,
0.4,1.5000000000019338e-07,
0.42,2.900000000013135e-08,
0.44,4.6750000000112674e-08,
0.46,7.65000000000661e-08,
0.48,9.250000000118538e-09,
0.5,2.500000000006837e-08,
0.52,7.499999996052331e-10,
0.54,1.41750000000199e-07,
0.56,3.0075000000020884e-07,
0.58,1.5174999999970594e-07,
0.6,,
0.58,,4.075000000023504e-08
0.56,,1.2500000000359446e-08
0.54,,2.557500000000424e-07
0.52,,2.074999999998519e-07
0.5,,1.2499999999925765e-08
0.48,,3.400000000010166e-08
0.46,,1.510000000001007e-07
0.44,,2.425000000000777e-07
0.42,,1.357499999998877e-07
0.4,,2.1499999999959052e-08
0.38,,6.175000000024043e-08
0.36,,5.350000000002922e-08
0.34,,1.6175000000029707e-07
0.32,,1.3750000000005078e-07
0.3,,2.9249999999999762e-08
0.28,,6.750000000003281e-08
0.26,,1.500000000012776e-08
0.24,,9.849999999997881e-08
0.22,,1.8000000000001522e-07
0.2,,2.6499999999929358e-08
0.18,,2.9249999999999762e-08
0.16,,1.5999999999991715e-07
0.14,,6.575000000008657e-08
0.12,,2.6499999999929358e-08
0.1,,1.4999999999694077e-08
0.08,,1.0824999999983417e-07
0.06,,4.9999999997534655e-09
0.04,,3.999999999954561e-08
0.02,,1.1099999999990458e-07
0.0,,4.3250000000220196e-08
-0.02,,8.399999999980472e-08
-0.04,,9.425000000004742e-08
-0.06,,2.850000000017769e-08
-0.08,,1.317500000002584e-07
-0.1,,1.4900000000028606e-07
-0.12,,9.824999999989356e-08
-0.14,,2.1849999999969984e-07
-0.16,,2.332499999995255e-07
-0.18,,1.390000000001286e-07
-0.2,,2.9175000000017555e-07
-0.22,,2.8675000000020524e-07
-0.24,,2.0925000000001498e-07
-0.26,,2.4499999999984604e-07
-0.28,,2.939999999998586e-07
-0.3,,3.582500000000842e-07
-0.32,,4.0000000000022656e-07
-0.34,,3.992499999999708e-07
-0.36,,4.935000000000182e-07
-0.38,,4.357500000000576e-07
-0.4,,4.449999999997425e-07
-0.42,,5.099999999997901e-07
-0.44,,4.0899999999982617e-07
-0.46,,5.925000000001675e-07
-0.48,,6.37500000000334e-07
-0.5,,4.6600000000018155e-07
-0.52,,4.6849999999994986e-07
-0.54,,6.414999999997464e-07
-0.56,,5.950000000001527e-07
-0.58,,4.334999999999409e-07
-0.6,,4.5000000000030867e-07
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
