V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,2.5651749999999946e-05,
-0.56,2.674650000000008e-05,
-0.54,2.7267499999999935e-05,
-0.52,2.7621000000000026e-05,
-0.5,2.7795749999999985e-05,
-0.48,2.788150000000006e-05,
-0.46,2.7928500000000043e-05,
-0.44,2.7901000000000043e-05,
-0.42,2.7790000000000085e-05,
-0.4,2.755899999999997e-05,
-0.38,2.7332499999999983e-05,
-0.36,2.7030999999999952e-05,
-0.34,2.655650000000007e-05,
-0.32,2.603499999999999e-05,
-0.3,2.546349999999999e-05,
-0.28,2.4837500000000055e-05,
-0.26,2.4181499999999917e-05,
-0.24,2.3566499999999938e-05,
-0.22,2.2801750000000013e-05,
-0.2,2.155750000000002e-05,
-0.18,2.029499999999998e-05,
-0.16,1.919175000000004e-05,
-0.14,1.792174999999999e-05,
-0.12,1.658924999999999e-05,
-0.1,1.52075e-05,
-0.08,1.3729999999999992e-05,
-0.06,1.2175000000000066e-05,
-0.04,1.066750000000002e-05,
-0.02,9.160749999999958e-06,
0.0,7.620000000000012e-06,
0.02,6.1200000000000295e-06,
0.04,4.629999999999988e-06,
0.06,3.259250000000008e-06,
0.08,2.0089999999999735e-06,
0.1,8.132499999999841e-07,
0.12,2.9899999999993734e-07,
0.14,1.3550000000000302e-06,
0.16,2.3259999999999774e-06,
0.18,3.0949999999999966e-06,
0.2,3.843999999999972e-06,
0.22,4.6250000000000176e-06,
0.24,5.249999999999992e-06,
0.26,5.810750000000012e-06,
0.28,6.336000000000015e-06,
0.3,6.781000000000029e-06,
0.32,7.193249999999987e-06,
0.34,7.558249999999988e-06,
0.36,7.888250000000034e-06,
0.38,8.179999999999993e-06,
0.4,8.492500000000034e-06,
0.42,8.767499999999973e-06,
0.44,9.019999999999992e-06,
0.46,9.298250000000009e-06,
0.48,9.49674999999999e-06,
0.5,9.732499999999989e-06,
0.52,9.940000000000057e-06,
0.54,1.006999999999999e-05,
0.56,1.0204250000000071e-05,
0.58,1.0293499999999985e-05,
0.6,,
0.58,,8.457499999999971e-06
0.56,,8.725000000000063e-06
0.54,,8.754999999999993e-06
0.52,,8.718249999999984e-06
0.5,,8.657499999999976e-06
0.48,,8.552500000000003e-06
0.46,,8.434999999999996e-06
0.44,,8.340000000000018e-06
0.42,,8.226750000000051e-06
0.4,,8.07750000000006e-06
0.38,,7.912499999999955e-06
0.36,,7.754999999999969e-06
0.34,,7.620749999999942e-06
0.32,,7.444249999999982e-06
0.3,,7.271000000000046e-06
0.28,,7.1574999999999395e-06
0.26,,6.945749999999994e-06
0.24,,6.635749999999937e-06
0.22,,6.335749999999984e-06
0.2,,6.008250000000032e-06
0.18,,5.662499999999982e-06
0.16,,5.275000000000006e-06
0.14,,4.843500000000043e-06
0.12,,4.296749999999972e-06
0.1,,3.6424999999999435e-06
0.08,,2.9307499999999855e-06
0.06,,2.0915000000000256e-06
0.04,,1.1549999999999712e-06
0.02,,7.499999999998827e-08
0.0,,1.129999999999957e-06
-0.02,,2.4457499999999926e-06
-0.04,,3.893250000000016e-06
-0.06,,5.4142500000000575e-06
-0.08,,7.029250000000007e-06
-0.1,,8.744000000000037e-06
-0.12,,1.0545750000000027e-05
-0.14,,1.2369249999999953e-05
-0.16,,1.4162500000000026e-05
-0.18,,1.5963250000000054e-05
-0.2,,1.779175000000006e-05
-0.22,,1.9602500000000028e-05
-0.24,,2.132999999999996e-05
-0.26,,2.295499999999996e-05
-0.28,,2.4536499999999978e-05
-0.3,,2.6134250000000008e-05
-0.32,,2.780174999999997e-05
-0.34,,2.9337500000000056e-05
-0.36,,3.0348250000000005e-05
-0.38,,3.1242499999999964e-05
-0.4,,3.223175000000001e-05
-0.42,,3.315175000000002e-05
-0.44,,3.400750000000002e-05
-0.46,,3.470400000000004e-05
-0.48,,3.5296749999999967e-05
-0.5,,3.567749999999997e-05
-0.52,,3.5809999999999943e-05
-0.54,,3.578674999999993e-05
-0.56,,3.548575000000007e-05
-0.58,,3.4777500000000004e-05
-0.6,,3.432500000000002e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
