V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,6.850000000000519e-07,
-0.56,5.990000000002157e-07,
-0.54,6.899999999998054e-07,
-0.52,7.917499999998082e-07,
-0.5,7.799999999999214e-07,
-0.48,6.817500000002447e-07,
-0.46,7.292499999997457e-07,
-0.44,7.789999999997972e-07,
-0.42,6.607500000002393e-07,
-0.4,5.709999999999917e-07,
-0.38,7.610000000001643e-07,
-0.36,7.040000000000258e-07,
-0.34,6.690000000000168e-07,
-0.32,7.259999999999385e-07,
-0.3,5.842499999999563e-07,
-0.28,5.999999999999062e-07,
-0.26,6.707500000001799e-07,
-0.24,5.190000000000403e-07,
-0.22,4.984999999999885e-07,
-0.2,5.717500000000306e-07,
-0.18,5.182499999997845e-07,
-0.16,4.924999999998941e-07,
-0.14,4.5925000000004816e-07,
-0.12,3.382499999997693e-07,
-0.1,3.4500000000033636e-07,
-0.08,3.5674999999978953e-07,
-0.06,2.775000000000867e-07,
-0.04,3.1325000000035144e-07,
-0.02,1.307499999999174e-07,
0.0,2.399999999996589e-07,
0.02,3.400000000001492e-07,
0.04,1.5424999999990793e-07,
0.06,2.325000000012213e-08,
0.08,5.174999999986614e-08,
0.1,1.1074999999981933e-07,
0.12,7.600000000011244e-08,
0.14,7.424999999994936e-08,
0.16,2.6500000000146198e-08,
0.18,1.1250000000019925e-07,
0.2,9.174999999984543e-08,
0.22,4.750000000015159e-08,
0.24,1.25000000000125e-07,
0.26,8.499999999971204e-08,
0.28,2.007500000001522e-07,
0.3,5.824999999991427e-08,
0.32,1.4424999999996732e-07,
0.34,1.6749999999965577e-07,
0.36,2.5749999999890444e-08,
0.38,5.824999999991427e-08,
0.4,2.500000000006837e-08,
0.42,3.500000000326159e-09,
0.44,1.0000000000157452e-08,
0.46,2.2499999999649536e-08,
0.48,9.149999999997702e-08,
0.5,1.215000000000157e-07,
0.52,1.5924999999987824e-07,
0.54,1.784999999999374e-07,
0.56,1.7925000000040998e-07,
0.58,2.0999999999983705e-07,
0.6,,
0.58,,4.599999999985692e-08
0.56,,1.2499999999492084e-08
0.54,,2.7499999999836683e-08
0.52,,2.0350000000000576e-07
0.5,,1.9899999999998912e-07
0.48,,6.074999999989943e-08
0.46,,1.3100000000000264e-07
0.44,,2.82500000000057e-07
0.42,,3.3824999999998613e-07
0.4,,8.574999999975096e-08
0.38,,9.674999999981573e-08
