V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,2.5554999999999968e-05,
-0.56,2.3545000000000087e-05,
-0.54,2.225075000000001e-05,
-0.52,2.1285999999999972e-05,
-0.5,2.056174999999998e-05,
-0.48,1.9857499999999977e-05,
-0.46,1.927325000000002e-05,
-0.44,1.8638249999999997e-05,
-0.42,1.792425000000003e-05,
-0.4,1.735825000000001e-05,
-0.38,1.6771500000000014e-05,
-0.36,1.615500000000001e-05,
-0.34,1.5526750000000012e-05,
-0.32,1.4911749999999978e-05,
-0.3,1.4327500000000076e-05,
-0.28,1.3729999999999992e-05,
-0.26,1.3037174999999982e-05,
-0.24,1.2381075e-05,
-0.22,1.1729325000000012e-05,
-0.2,1.0980425000000016e-05,
-0.18,1.0366499999999996e-05,
-0.16,9.698000000000015e-06,
-0.14,8.957075000000001e-06,
-0.12,8.259675000000003e-06,
-0.1,7.5604999999999965e-06,
-0.08,6.87275000000001e-06,
-0.06,6.147750000000006e-06,
-0.04,5.460149999999989e-06,
-0.02,4.7805000000000265e-06,
0.0,4.087599999999991e-06,
0.02,3.477249999999971e-06,
0.04,3.0169000000000083e-06,
0.06,2.5322499999999722e-06,
0.08,1.804599999999986e-06,
0.1,1.1190000000000006e-06,
0.12,6.419000000000184e-07,
0.14,1.9300000000000306e-07,
0.16,2.3882500000001715e-07,
0.18,6.503249999999911e-07,
0.2,1.0335750000000081e-06,
0.22,1.3727499999999844e-06,
0.24,1.7269999999999786e-06,
0.26,2.1077500000000104e-06,
0.28,2.424175000000008e-06,
0.3,2.746250000000035e-06,
0.32,3.0569999999999946e-06,
0.34,3.354574999999988e-06,
0.36,3.6609250000000195e-06,
0.38,3.949849999999991e-06,
0.4,4.238324999999998e-06,
0.42,4.5294999999999776e-06,
0.44,4.823500000000026e-06,
0.46,5.054900000000005e-06,
0.48,5.25849999999999e-06,
0.5,5.433250000000031e-06,
0.52,5.5510749999999865e-06,
0.54,5.526499999999955e-06,
0.56,5.38042500000007e-06,
