V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,1.358250000000217e-06,
-0.56,4.44500000000049e-06,
-0.54,7.901749999999867e-06,
-0.52,1.0484249999999926e-05,
-0.5,1.2647500000000133e-05,
-0.48,1.4677500000000003e-05,
-0.46,1.6268999999999962e-05,
-0.44,1.7842500000000072e-05,
-0.42,1.9574249999999935e-05,
-0.4,2.109250000000007e-05,
-0.38,2.227325000000004e-05,
-0.36,2.3199000000000006e-05,
-0.34,2.4259250000000085e-05,
-0.32,2.488499999999988e-05,
-0.3,2.5256750000000015e-05,
-0.28,2.5834250000000055e-05,
-0.26,2.594575000000013e-05,
-0.24,2.608174999999967e-05,
-0.22,2.6220749999999798e-05,
-0.2,2.5970750000000415e-05,
-0.18,2.5752499999999933e-05,
-0.16,2.5351749999999885e-05,
-0.14,2.509674999999988e-05,
-0.12,2.4862500000000015e-05,
-0.1,2.4135750000000037e-05,
-0.08,2.3315000000000098e-05,
-0.06,2.2987500000000308e-05,
-0.04,2.2656499999999975e-05,
-0.02,2.1112500000000168e-05,
0.0,1.9371000000000015e-05,
0.02,1.8362499999999803e-05,
0.04,1.726575000000007e-05,
0.06,1.593924999999984e-05,
0.08,1.4669249999999792e-05,
0.1,1.3385750000000128e-05,
0.12,1.207500000000028e-05,
0.14,1.0670999999999858e-05,
0.16,9.349999999999983e-06,
0.18,8.032500000000218e-06,
0.2,6.60249999999982e-06,
0.22,5.356499999999934e-06,
0.24,4.228250000000086e-06,
0.26,2.9459999999999816e-06,
0.28,1.7857500000000633e-06,
0.3,8.11499999999821e-07,
0.32,3.649999999986997e-08,
0.34,9.47499999999794e-07,
0.36,1.9584999999999915e-06,
0.38,2.7265000000001576e-06,
0.4,3.5190000000000048e-06,
0.42,4.381749999999955e-06,
0.44,5.078500000000111e-06,
0.46,5.650000000000056e-06,
0.48,6.345749999999871e-06,
0.5,6.860750000000065e-06,
0.52,7.199250000000136e-06,
0.54,7.92924999999992e-06,
0.56,8.43150000000032e-06,
0.58,8.458249999999902e-06,
0.6,,
0.58,,2.625000000000023e-06
0.56,,7.460000000000366e-07
0.54,,2.870750000000125e-06
0.52,,4.316500000000039e-06
0.5,,5.245749999999898e-06
0.48,,5.86500000000008e-06
0.46,,6.357499999999974e-06
0.44,,6.758499999999891e-06
0.42,,7.061750000000085e-06
0.4,,7.323250000000137e-06
0.38,,7.45925000000011e-06
0.36,,7.483249999999837e-06
0.34,,7.555750000000057e-06
0.32,,7.527499999999748e-06
0.3,,7.254250000000026e-06
0.28,,7.038499999999963e-06
0.26,,6.864000000000089e-06
0.24,,6.463249999999823e-06
0.22,,5.6917499999999815e-06
0.2,,4.868250000000188e-06
0.18,,4.120000000000035e-06
0.16,,3.303500000000027e-06
0.14,,2.2792500000000816e-06
0.12,,9.732500000001181e-07
0.1,,3.2749999999978976e-07
0.08,,1.915749999999942e-06
0.06,,3.764999999999758e-06
0.04,,5.644250000000047e-06
0.02,,7.449250000000169e-06
0.0,,9.314999999999974e-06
-0.02,,1.1278249999999851e-05
-0.04,,1.3096750000000023e-05
-0.06,,1.4908500000000062e-05
-0.08,,1.6815749999999925e-05
-0.1,,1.857149999999995e-05
-0.12,,2.025074999999969e-05
-0.14,,2.190250000000003e-05
-0.16,,2.3167500000000106e-05
-0.18,,2.4233499999999977e-05
-0.2,,2.533675000000019e-05
-0.22,,2.633249999999996e-05
-0.24,,2.7215749999999744e-05
-0.26,,2.8116500000000075e-05
-0.28,,2.863850000000027e-05
-0.3,,2.9079249999999866e-05
-0.32,,2.940749999999991e-05
-0.34,,2.9625000000000137e-05
-0.36,,3.0071499999999958e-05
-0.38,,3.020174999999992e-05
-0.4,,3.0506000000000023e-05
-0.42,,3.061150000000022e-05
-0.44,,3.2842499999999894e-05
-0.46,,3.236499999999991e-05
-0.48,,2.9204000000000122e-05
-0.5,,2.8711000000000058e-05
-0.52,,2.7929999999999795e-05
-0.54,,2.7520749999999884e-05
-0.56,,2.694100000000016e-05
-0.58,,2.48742499999999e-05
-0.6,,2.3445000000000227e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
