V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,3.448249999999948e-06,
-0.56,8.975000000000042e-06,
-0.54,1.1916749999999875e-05,
-0.52,1.3984249999999957e-05,
-0.5,1.571150000000002e-05,
-0.48,1.727575000000001e-05,
-0.46,1.933849999999999e-05,
-0.44,2.0729250000000015e-05,
-0.42,2.108824999999992e-05,
-0.4,2.185250000000011e-05,
-0.38,2.2701749999999793e-05,
-0.36,2.340574999999982e-05,
-0.34,2.3997499999999948e-05,
-0.32,2.459999999999984e-05,
-0.3,2.4907499999999964e-05,
-0.28,2.513850000000024e-05,
-0.26,2.527499999999995e-05,
-0.24,2.515399999999967e-05,
-0.22,2.5167499999999938e-05,
-0.2,2.4984250000000116e-05,
-0.18,2.4650750000000015e-05,
-0.16,2.423325000000011e-05,
-0.14,2.3745749999999968e-05,
-0.12,2.3145000000000023e-05,
-0.1,2.2446750000000007e-05,
-0.08,2.1646749999999987e-05,
-0.06,2.0571750000000083e-05,
-0.04,1.9661750000000066e-05,
-0.02,1.8725749999999857e-05,
0.0,1.7504999999999908e-05,
0.02,1.6009250000000074e-05,
0.04,1.4928250000000075e-05,
0.06,1.429999999999986e-05,
0.08,1.2481749999999773e-05,
0.1,1.0310750000000176e-05,
0.12,9.22250000000009e-06,
0.14,8.137500000000028e-06,
0.16,6.870750000000005e-06,
0.18,5.672500000000139e-06,
0.2,4.552499999999852e-06,
0.22,3.58999999999993e-06,
0.24,2.293250000000085e-06,
0.26,1.1907500000001275e-06,
0.28,3.4250000000013436e-07,
0.3,6.999999999999628e-07,
0.32,1.480749999999923e-06,
0.34,2.1090000000001385e-06,
0.36,2.9875000000000387e-06,
0.38,3.8049999999999543e-06,
0.4,4.3925000000001515e-06,
0.42,5.031750000000215e-06,
0.44,5.836749999999771e-06,
0.46,6.400749999999761e-06,
0.48,6.819000000000139e-06,
0.5,7.36599999999997e-06,
0.52,7.83174999999985e-06,
0.54,8.568249999999899e-06,
0.56,9.08500000000004e-06,
0.58,8.842499999999962e-06,
0.6,,
0.58,,1.0875000000002636e-06
0.56,,2.855750000000214e-06
0.54,,4.734999999999852e-06
0.52,,5.774250000000142e-06
0.5,,6.49250000000004e-06
0.48,,6.837499999999726e-06
0.46,,7.0267499999998595e-06
0.44,,7.326499999999944e-06
0.42,,7.512500000000054e-06
0.4,,7.60349999999986e-06
0.38,,7.614999999999879e-06
0.36,,7.468250000000143e-06
0.34,,7.349999999999935e-06
0.32,,7.152500000000023e-06
0.3,,6.871500000000044e-06
0.28,,6.455750000000085e-06
0.26,,5.935000000000098e-06
0.24,,5.3250000000000346e-06
0.22,,4.537499999999941e-06
0.2,,3.8099999999999246e-06
0.18,,2.9650000000001724e-06
0.16,,1.9085000000000716e-06
0.14,,7.217499999997903e-07
0.12,,6.359999999998225e-07
0.1,,2.0099999999999892e-06
0.08,,3.5600000000001082e-06
0.06,,5.295750000000035e-06
0.04,,7.113250000000083e-06
0.02,,8.904249999999985e-06
0.0,,1.0757499999999864e-05
-0.02,,1.2549250000000022e-05
-0.04,,1.4550750000000149e-05
-0.06,,1.658574999999999e-05
-0.08,,1.8302499999999942e-05
-0.1,,1.9956749999999832e-05
-0.12,,2.1390999999999728e-05
-0.14,,2.2828999999999818e-05
-0.16,,2.4036500000000236e-05
-0.18,,2.5166750000000116e-05
-0.2,,2.6233500000000026e-05
-0.22,,2.6950750000000016e-05
-0.24,,2.753399999999985e-05
-0.26,,2.8132499999999894e-05
-0.28,,2.86625e-05
-0.3,,2.9019250000000005e-05
-0.32,,2.9250999999999886e-05
-0.34,,3.038575e-05
-0.36,,3.135399999999993e-05
-0.38,,3.0066749999999856e-05
-0.4,,2.8933500000000037e-05
-0.42,,2.868824999999989e-05
-0.44,,2.827500000000013e-05
-0.46,,2.7815000000000045e-05
-0.48,,2.7085750000000082e-05
-0.5,,2.647499999999998e-05
-0.52,,2.5707499999999984e-05
-0.54,,2.467750000000003e-05
-0.56,,2.3682500000000084e-05
-0.58,,2.24324999999997e-05
-0.6,,2.16865000000002e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
