V,IGS Indo,IGS Voltando
-0.6,-1.942197e-05,
-0.58,-1.288377e-05,
-0.56,-9.07143e-06,
-0.54,-6.75082e-06,
-0.52,-5.086263e-06,
-0.5,-3.823043e-06,
-0.48,-2.6996929999999998e-06,
-0.46,-1.8843000000000001e-06,
-0.44,-1.4475969999999998e-06,
-0.42,-6.206813e-07,
-0.4,4.371013e-08,
-0.38,2.729893e-07,
-0.36,4.7326099999999997e-07,
-0.34,8.18173e-07,
-0.32,8.88108e-07,
-0.3,1.3426929999999999e-06,
-0.28,1.413427e-06,
-0.26,1.575547e-06,
-0.24,1.851717e-06,
-0.22,2.034107e-06,
-0.2,2.27054e-06,
-0.18,2.3631230000000003e-06,
-0.16,2.1942430000000002e-06,
-0.14,2.302723e-06,
-0.12,2.824863e-06,
-0.1,2.6480370000000003e-06,
-0.08,3.075997e-06,
-0.06,3.196003e-06,
-0.04,3.19441e-06,
-0.02,3.269913e-06,
0.0,3.4523e-06,
0.02,3.648993e-06,
0.04,3.8063530000000003e-06,
0.06,3.691517e-06,
0.08,4.04636e-06,
0.1,4.23471e-06,
0.12,4.64638e-06,
0.14,4.785857e-06,
0.16,5.133947e-06,
0.18,5.165737e-06,
0.2,5.66721e-06,
0.22,5.8527799999999996e-06,
0.24,6.3844499999999995e-06,
0.26,6.53823e-06,
0.28,6.934007e-06,
0.3,7.092553e-06,
0.32,7.394157e-06,
0.34,8.21948e-06,
0.36,8.757513e-06,
0.38,9.449322999999999e-06,
0.4,1.0466170000000001e-05,
0.42,1.14417e-05,
0.44,1.251857e-05,
0.46,1.42789e-05,
0.48,1.657723e-05,
0.5,1.87131e-05,
0.52,2.177157e-05,
0.54,2.5318829999999998e-05,
0.56,2.866427e-05,
0.58,3.3743e-05,
0.6,3.919243e-05,
0.58,,2.330503e-05
0.56,,1.4443e-05
0.54,,8.55128e-06
0.52,,4.45088e-06
0.5,,1.223486e-06
0.48,,-5.46376e-07
0.46,,-1.8914569999999999e-06
0.44,,-2.985797e-06
0.42,,-3.7268799999999997e-06
0.4,,-4.53194e-06
0.38,,-4.97381e-06
0.36,,-5.6091930000000005e-06
0.34,,-5.90642e-06
0.32,,-6.2918669999999996e-06
0.3,,-6.597837e-06
0.28,,-6.430943e-06
0.26,,-6.6673769999999995e-06
0.24,,-6.790557e-06
0.22,,-7.065933000000001e-06
0.2,,-6.95904e-06
0.18,,-7.026993e-06
0.16,,-7.150967e-06
0.14,,-6.66658e-06
0.12,,-7.084607e-06
0.1,,-7.247926999999999e-06
0.08,,-7.223687e-06
0.06,,-7.39773e-06
0.04,,-7.404483e-06
0.02,,-7.4835599999999995e-06
0.0,,-7.670719999999999e-06
-0.02,,-7.797877e-06
-0.04,,-7.911523e-06
-0.06,,-8.069673000000001e-06
-0.08,,-8.271137e-06
-0.1,,-8.460679999999999e-06
-0.12,,-8.498030000000001e-06
-0.14,,-8.720157e-06
-0.16,,-8.767447e-06
-0.18,,-9.364683e-06
-0.2,,-9.578863e-06
-0.22,,-9.903893e-06
-0.24,,-1.0059700000000001e-05
-0.26,,-1.05508e-05
-0.28,,-1.087703e-05
-0.3,,-1.137853e-05
-0.32,,-1.19269e-05
-0.34,,-1.241647e-05
-0.36,,-1.233733e-05
-0.38,,-1.318213e-05
-0.4,,-1.3943129999999999e-05
-0.42,,-1.456103e-05
-0.44,,-1.5076e-05
-0.46,,-1.590927e-05
-0.48,,-1.677633e-05
-0.5,,-1.7706130000000002e-05
-0.52,,-1.868287e-05
-0.54,,-1.970253e-05
-0.56,,-2.085447e-05
-0.58,,-2.190193e-05
-0.6,,-2.31854e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
