V,IGS Indo,IGS Voltando
-0.6,-1.43576e-05,
-0.58,-9.311837e-06,
-0.56,-6.401937e-06,
-0.54,-4.4023999999999996e-06,
-0.52,-2.93255e-06,
-0.5,-1.835427e-06,
-0.48,-8.420163e-07,
-0.46,-6.556517e-08,
-0.44,1.235804e-07,
-0.42,7.041293e-07,
-0.4,1.128912e-06,
-0.38,1.46151e-06,
-0.36,1.740057e-06,
-0.34,1.974903e-06,
-0.32,2.119143e-06,
-0.3,2.3162370000000003e-06,
-0.28,2.43942e-06,
-0.26,2.57373e-06,
-0.24,2.721153e-06,
-0.22,2.8224769999999997e-06,
-0.2,2.8959930000000003e-06,
-0.18,2.9953329999999998e-06,
-0.16,3.0779829999999997e-06,
-0.14,3.189247e-06,
-0.12,3.28064e-06,
-0.1,3.387133e-06,
-0.08,3.509917e-06,
-0.06,3.6037e-06,
-0.04,3.759467e-06,
-0.02,3.885827000000001e-06,
0.0,4.049143e-06,
0.02,4.213253e-06,
0.04,4.389687e-06,
0.06,4.21643e-06,
0.08,4.559753e-06,
0.1,4.82599e-06,
0.12,5.05487e-06,
0.14,5.34773e-06,
0.16,5.56946e-06,
0.18,5.8043e-06,
0.2,6.06815e-06,
0.22,6.337163e-06,
0.24,6.5755870000000005e-06,
0.26,6.84619e-06,
0.28,7.129113e-06,
0.3,7.432303e-06,
0.32,7.764897000000001e-06,
0.34,8.095107e-06,
0.36,8.405843000000001e-06,
0.38,8.833407e-06,
0.4,9.26654e-06,
0.42,9.764817e-06,
0.44,1.0262730000000001e-05,
0.46,1.085403e-05,
0.48,1.157287e-05,
0.5,1.2364e-05,
0.52,1.3266399999999999e-05,
0.54,1.438737e-05,
0.56,1.4847899999999999e-05,
0.58,1.668417e-05,
0.6,1.856567e-05,
0.58,,1.094897e-05
0.56,,6.911357e-06
0.54,,4.159607e-06
0.52,,2.07543e-06
0.5,,1.863638e-07
0.48,,-8.45194e-07
0.46,,-1.854503e-06
0.44,,-2.7036669999999998e-06
0.42,,-3.393887e-06
0.4,,-3.976027e-06
0.38,,-4.503727e-06
0.36,,-4.90308e-06
0.34,,-5.24322e-06
0.32,,-5.563497e-06
0.3,,-5.797547e-06
0.28,,-5.9322530000000005e-06
0.26,,-6.14365e-06
0.24,,-6.242193e-06
0.22,,-6.314517e-06
0.2,,-6.383657e-06
0.18,,-6.405513e-06
0.16,,-6.4154500000000006e-06
0.14,,-6.026427e-06
0.12,,-6.211997e-06
0.1,,-6.3069629999999995e-06
0.08,,-6.3355769999999995e-06
0.06,,-6.329617e-06
0.04,,-6.328023000000001e-06
0.02,,-6.310143e-06
0.0,,-6.305377e-06
-0.02,,-6.3173000000000005e-06
-0.04,,-6.317297e-06
-0.06,,-6.275577e-06
-0.08,,-6.285907e-06
-0.1,,-6.29107e-06
-0.12,,-6.32167e-06
-0.14,,-6.3618030000000005e-06
-0.16,,-6.4539900000000005e-06
-0.18,,-6.549753e-06
-0.2,,-6.635983e-06
-0.22,,-6.73572e-06
-0.24,,-6.91096e-06
-0.26,,-7.053612999999999e-06
-0.28,,-7.212957e-06
-0.3,,-7.455743e-06
-0.32,,-7.72476e-06
-0.34,,-7.996557e-06
-0.36,,-7.886887e-06
-0.38,,-8.544126999999999e-06
-0.4,,-8.911689999999999e-06
-0.42,,-9.37104e-06
-0.44,,-9.869747e-06
-0.46,,-1.04177e-05
-0.48,,-1.09581e-05
-0.5,,-1.1675769999999999e-05
-0.52,,-1.242993e-05
-0.54,,-1.3332e-05
-0.56,,-1.42642e-05
-0.58,,-1.5336299999999997e-05
-0.6,,-1.657007e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
