V,IGS Indo,IGS Voltando
-0.6,-2.5438470000000002e-05,
-0.58,-1.8008930000000002e-05,
-0.56,-1.344363e-05,
-0.54,-1.012088e-05,
-0.52,-7.521707e-06,
-0.5,-5.401773e-06,
-0.48,-3.740787e-06,
-0.46,-2.26617e-06,
-0.44,-6.19491e-07,
-0.42,1.597404e-07,
-0.4,1.054606e-06,
-0.38,1.9399370000000002e-06,
-0.36,2.71559e-06,
-0.34,3.410973e-06,
-0.32,4.045167e-06,
-0.3,4.683337e-06,
-0.28,5.136333e-06,
-0.26,5.675953e-06,
-0.24,6.1742469999999995e-06,
-0.22,6.5604829999999994e-06,
-0.2,6.96659e-06,
-0.18,7.0401030000000004e-06,
-0.16,7.528860000000001e-06,
-0.14,7.95563e-06,
-0.12,8.278687e-06,
-0.1,8.62638e-06,
-0.08,8.921223e-06,
-0.06,9.177523e-06,
-0.04,9.429456999999999e-06,
-0.02,9.650787e-06,
0.0,9.967892999999999e-06,
0.02,1.0173730000000001e-05,
0.04,1.039583e-05,
0.06,1.0639000000000001e-05,
0.08,1.09124e-05,
0.1,1.1137369999999999e-05,
0.12,1.1384870000000001e-05,
0.14,1.164317e-05,
0.16,1.193683e-05,
0.18,1.21963e-05,
0.2,1.24653e-05,
0.22,1.276173e-05,
0.24,1.3086800000000001e-05,
0.26,1.3375670000000001e-05,
0.28,1.3740030000000001e-05,
0.3,1.409967e-05,
0.32,1.451333e-05,
0.34,1.488723e-05,
0.36,1.534023e-05,
0.38,1.578213e-05,
0.4,1.6279629999999998e-05,
0.42,1.6341999999999997e-05,
0.44,1.709183e-05,
0.46,1.781703e-05,
0.48,1.85887e-05,
0.5,1.935123e-05,
0.52,2.027393e-05,
0.54,2.127887e-05,
0.56,2.244273e-05,
0.58,2.37159e-05,
0.6,2.529383e-05,
0.58,,1.6540270000000003e-05
0.56,,1.166303e-05
0.54,,8.54651e-06
0.52,,5.839267e-06
0.5,,3.784897e-06
0.48,,2.133847e-06
0.46,,2.896787e-07
0.44,,-5.61873e-07
0.42,,-1.5040230000000001e-06
0.4,,-2.379817e-06
0.38,,-3.128053e-06
0.36,,-3.7992e-06
0.34,,-4.41551e-06
0.32,,-4.9595e-06
0.3,,-5.519393e-06
0.28,,-5.96444e-06
0.26,,-6.385647e-06
0.24,,-6.796123e-06
0.22,,-7.170837e-06
0.2,,-7.506213e-06
0.18,,-7.480783e-06
0.16,,-7.961590000000001e-06
0.14,,-8.288223e-06
0.12,,-8.550087e-06
0.1,,-8.823477e-06
0.08,,-9.069047e-06
0.06,,-9.282033e-06
0.04,,-9.458463e-06
0.02,,-9.661912999999999e-06
0.0,,-9.863783e-06
-0.02,,-1.008948e-05
-0.04,,-1.02993e-05
-0.06,,-1.051387e-05
-0.08,,-1.07535e-05
-0.1,,-1.098353e-05
-0.12,,-1.123627e-05
-0.14,,-1.145007e-05
-0.16,,-1.173733e-05
-0.18,,-1.209893e-05
-0.2,,-1.242993e-05
-0.22,,-1.2772100000000001e-05
-0.24,,-1.3202829999999999e-05
-0.26,,-1.35807e-05
-0.28,,-1.407267e-05
-0.3,,-1.450977e-05
-0.32,,-1.5095099999999999e-05
-0.34,,-1.562277e-05
-0.36,,-1.619973e-05
-0.38,,-1.68387e-05
-0.4,,-1.758733e-05
-0.42,,-1.7808670000000002e-05
-0.44,,-1.8796529999999997e-05
-0.46,,-1.975257e-05
-0.48,,-2.074083e-05
-0.5,,-2.1725530000000003e-05
-0.52,,-2.287387e-05
-0.54,,-2.414823e-05
-0.56,,-2.5590299999999998e-05
-0.58,,-2.7141169999999998e-05
-0.6,,-2.89313e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
