V,IGS Indo,IGS Voltando
-0.6,-2.6091769999999998e-05,
-0.58,-1.8778669999999998e-05,
-0.56,-1.4146569999999999e-05,
-0.54,-1.073043e-05,
-0.52,-8.092323e-06,
-0.5,-5.939402999999999e-06,
-0.48,-4.178287e-06,
-0.46,-2.678237e-06,
-0.44,-1.85609e-06,
-0.42,-2.93255e-07,
-0.4,5.809467e-07,
-0.38,1.4340899999999999e-06,
-0.36,2.1747730000000002e-06,
-0.34,2.874133e-06,
-0.32,3.4705799999999997e-06,
-0.3,4.03722e-06,
-0.28,4.502533e-06,
-0.26,4.954337e-06,
-0.24,5.365213e-06,
-0.22,5.73198e-06,
-0.2,6.081663e-06,
-0.18,6.42141e-06,
-0.16,6.690023e-06,
-0.14,7.002753e-06,
-0.12,7.2515e-06,
-0.1,7.524093e-06,
-0.08,7.769267e-06,
-0.06,8.020003e-06,
-0.04,8.249683e-06,
-0.02,8.498823e-06,
0.0,8.753937e-06,
0.02,8.947453e-06,
0.04,9.171169999999999e-06,
0.06,8.93553e-06,
0.08,9.341637e-06,
0.1,9.677807e-06,
0.12,9.981803e-06,
0.14,1.023969e-05,
0.16,1.05222e-05,
0.18,1.08214e-05,
0.2,1.1115499999999999e-05,
0.22,1.14465e-05,
0.24,1.17588e-05,
0.26,1.210173e-05,
0.28,1.2471669999999999e-05,
0.3,1.28587e-05,
0.32,1.32378e-05,
0.34,1.3684e-05,
0.36,1.411593e-05,
0.38,1.4606729999999999e-05,
0.4,1.5127669999999999e-05,
0.42,1.573127e-05,
0.44,1.63941e-05,
0.46,1.71411e-05,
0.48,1.79716e-05,
0.5,1.894593e-05,
0.52,2.008237e-05,
0.54,2.140997e-05,
0.56,2.219913e-05,
0.58,2.4419600000000002e-05,
0.6,2.686383e-05,
0.58,,1.80495e-05
0.56,,1.2902000000000001e-05
0.54,,9.206132999999998e-06
0.52,,6.421807e-06
0.5,,4.189813e-06
0.48,,2.4668370000000002e-06
0.46,,8.78575e-07
0.44,,-3.7391969999999997e-07
0.42,,-1.27276e-06
0.4,,-2.1286800000000003e-06
0.38,,-2.897583e-06
0.36,,-3.5508469999999998e-06
0.34,,-4.16438e-06
0.32,,-4.6515429999999996e-06
0.3,,-5.1116930000000006e-06
0.28,,-5.5309129999999996e-06
0.26,,-5.883377e-06
0.24,,-6.240207e-06
0.22,,-6.5517400000000006e-06
0.2,,-6.830693e-06
0.18,,-7.095337e-06
0.16,,-7.33614e-06
0.14,,-7.102492999999999e-06
0.12,,-7.53681e-06
0.1,,-7.795493e-06
0.08,,-8.10067e-06
0.06,,-8.289416999999999e-06
0.04,,-8.455117e-06
0.02,,-8.67327e-06
0.0,,-8.86639e-06
-0.02,,-8.94467e-06
-0.04,,-9.246270000000001e-06
-0.06,,-9.498993000000001e-06
-0.08,,-9.776750000000001e-06
-0.1,,-1.004937e-05
-0.12,,-1.0341e-05
-0.14,,-1.062673e-05
-0.16,,-1.0952170000000001e-05
-0.18,,-1.1312970000000001e-05
-0.2,,-1.1691629999999999e-05
-0.22,,-1.208027e-05
-0.24,,-1.2491129999999998e-05
-0.26,,-1.293777e-05
-0.28,,-1.342213e-05
-0.3,,-1.39324e-05
-0.32,,-1.441877e-05
-0.34,,-1.5004069999999999e-05
-0.36,,-1.4958000000000001e-05
-0.38,,-1.585483e-05
-0.4,,-1.666503e-05
-0.42,,-1.74582e-05
-0.44,,-1.8295069999999998e-05
-0.46,,-1.92221e-05
-0.48,,-2.017933e-05
-0.5,,-2.1293969999999998e-05
-0.52,,-2.2495969999999997e-05
-0.54,,-2.387523e-05
-0.56,,-2.54174e-05
-0.58,,-2.717373e-05
-0.6,,-2.9182029999999998e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
