V,IGS Indo,IGS Voltando
-0.6,-0.0001517113,
-0.58,-0.0001097963,
-0.56,-8.29593e-05,
-0.54,-6.343487000000001e-05,
-0.52,-4.873037e-05,
-0.5,-3.6875800000000004e-05,
-0.48,-2.72131e-05,
-0.46,-1.89205e-05,
-0.44,-1.224593e-05,
-0.42,-6.241003000000001e-06,
-0.4,-6.794937e-07,
-0.38,3.158647e-06,
-0.36,6.9121499999999995e-06,
-0.34,1.043201e-05,
-0.32,1.3469870000000001e-05,
-0.3,1.609403e-05,
-0.28,1.851043e-05,
-0.26,2.059817e-05,
-0.24,2.263347e-05,
-0.22,2.4318670000000003e-05,
-0.2,2.6017429999999998e-05,
-0.18,2.746183e-05,
-0.16,2.869807e-05,
-0.14,2.979633e-05,
-0.12,3.091337e-05,
-0.1,3.20868e-05,
-0.08,3.165367e-05,
-0.06,3.323233e-05,
-0.04,3.453253e-05,
-0.02,3.54421e-05,
0.0,3.6395e-05,
0.02,3.723383e-05,
0.04,3.798883e-05,
0.06,3.8781129999999996e-05,
0.08,3.9623169999999995e-05,
0.1,4.050693e-05,
0.12,4.157347e-05,
0.14,4.267573e-05,
0.16,4.4022e-05,
0.18,4.5475170000000006e-05,
0.2,4.724503e-05,
0.22,4.94929e-05,
0.24,5.186957e-05,
0.26,5.455537e-05,
0.28,5.7677469999999996e-05,
0.3,6.098627e-05,
0.32,6.490867e-05,
0.34,6.930787000000001e-05,
0.36,7.401386999999999e-05,
0.38,7.89837e-05,
0.4,8.426783e-05,
0.42,8.976777e-05,
0.44,9.57787e-05,
0.46,0.0001018793,
0.48,0.0001082337,
0.5,0.00011509399999999999,
0.52,0.00011928399999999999,
0.54,0.00012738029999999998,
0.56,0.000134963,
0.58,0.0001428443,
0.6,0.0001510153,
0.58,,0.00010441029999999999
0.56,,7.692059999999999e-05
0.54,,5.76214e-05
0.52,,4.324437e-05
0.5,,3.187657e-05
0.48,,2.27348e-05
0.46,,1.538713e-05
0.44,,9.908673e-06
0.42,,3.856817e-06
0.4,,-9.66391e-07
0.38,,-4.637243e-06
0.36,,-7.91947e-06
