V,IGS Indo,IGS Voltando
-0.6,-0.00013220799999999998,
-0.58,-9.44654e-05,
-0.56,-7.100823e-05,
-0.54,-5.40328e-05,
-0.52,-4.101913e-05,
-0.5,-3.08609e-05,
-0.48,-2.241497e-05,
-0.46,-1.5261970000000002e-05,
-0.44,-1.036086e-05,
-0.42,-4.769167e-06,
-0.4,2.201397e-07,
-0.38,3.7860870000000003e-06,
-0.36,7.24395e-06,
-0.34,1.039663e-05,
-0.32,1.30109e-05,
-0.3,1.5491629999999998e-05,
-0.28,1.736917e-05,
-0.26,1.941403e-05,
-0.24,2.144257e-05,
-0.22,2.2879430000000002e-05,
-0.2,2.412597e-05,
-0.18,2.539037e-05,
-0.16,2.655267e-05,
-0.14,2.78318e-05,
-0.12,2.883357e-05,
-0.1,2.965093e-05,
-0.08,3.051717e-05,
-0.06,3.1465269999999996e-05,
-0.04,3.19028e-05,
-0.02,3.27559e-05,
0.0,3.33651e-05,
0.02,3.394363e-05,
0.04,3.448803e-05,
0.06,3.538927e-05,
0.08,3.6013900000000004e-05,
0.1,3.695727e-05,
0.12,3.782947e-05,
0.14,3.780087e-05,
0.16,3.81303e-05,
0.18,4.0407969999999995e-05,
0.2,4.25907e-05,
0.22,4.46836e-05,
0.24,4.7125e-05,
0.26,5.00238e-05,
0.28,5.302903e-05,
0.3,5.636373e-05,
0.32,6.000517e-05,
0.34,6.375749999999999e-05,
0.36,6.793297e-05,
0.38,7.228173e-05,
0.4,7.708787e-05,
0.42,8.1865e-05,
0.44,8.721113e-05,
0.46,9.275120000000001e-05,
0.48,9.878123e-05,
0.5,0.0001050063,
0.52,0.00011162470000000001,
0.54,0.0001188397,
0.56,0.0001259043,
0.58,0.00013345730000000001,
0.6,0.000141672,
0.58,,9.576083e-05
0.56,,6.986460000000001e-05
0.54,,5.20722e-05
0.52,,3.894603e-05
0.5,,2.84028e-05
0.48,,2.027947e-05
0.46,,1.3527070000000001e-05
0.44,,9.227182999999999e-06
0.42,,3.6684670000000003e-06
0.4,,-8.86519e-07
0.38,,-4.12782e-06
0.36,,-7.18355e-06
0.34,,-9.687353e-06
0.32,,-1.19702e-05
0.3,,-1.4046830000000001e-05
0.28,,-1.591363e-05
0.26,,-1.764853e-05
0.24,,-1.914617e-05
0.22,,-2.073523e-05
0.2,,-2.218523e-05
0.18,,-2.341667e-05
0.16,,-2.47598e-05
0.14,,-2.6166030000000002e-05
0.12,,-2.7377999999999998e-05
0.1,,-2.866907e-05
0.08,,-2.98826e-05
0.06,,-3.131267e-05
0.04,,-3.267247e-05
0.02,,-3.42087e-05
0.0,,-3.5552599999999996e-05
-0.02,,-3.71607e-05
-0.04,,-3.7881929999999996e-05
-0.06,,-4.0061499999999996e-05
-0.08,,-4.0980569999999996e-05
-0.1,,-4.201133e-05
-0.12,,-4.344663e-05
-0.14,,-4.417857e-05
-0.16,,-4.8229299999999996e-05
-0.18,,-5.010687e-05
-0.2,,-5.3171300000000004e-05
-0.22,,-5.6256470000000004e-05
-0.24,,-5.9371370000000003e-05
-0.26,,-6.243783e-05
-0.28,,-6.57022e-05
-0.3,,-6.97982e-05
-0.32,,-7.362763e-05
-0.34,,-7.704657e-05
-0.36,,-8.08978e-05
-0.38,,-8.469863e-05
-0.4,,-8.864323e-05
-0.42,,-9.293317e-05
-0.44,,-9.735067e-05
-0.46,,-0.0001020857
-0.48,,-0.000107256
-0.5,,-0.00011290430000000001
-0.52,,-0.00011900970000000001
-0.54,,-0.0001257503
-0.56,,-0.00013328369999999999
-0.58,,-0.000141679
-0.6,,-0.00015090429999999998
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
