V,IGS Indo,IGS Voltando
-0.6,-1.9441469999999998e-05,
-0.58,-1.3312130000000001e-05,
-0.56,-1.016895e-05,
-0.54,-7.583300000000001e-06,
-0.52,-5.508663e-06,
-0.5,-4.23511e-06,
-0.48,-3.05017e-06,
-0.46,-2.123117e-06,
-0.44,-1.3577899999999999e-06,
-0.42,-4.6769800000000004e-07,
-0.4,-1.084804e-07,
-0.38,1.7245600000000002e-07,
-0.36,5.01871e-07,
-0.34,5.85715e-07,
-0.32,8.360546999999999e-07,
-0.3,1.0450690000000002e-06,
-0.28,1.288653e-06,
-0.26,1.423757e-06,
-0.24,1.518727e-06,
-0.22,1.6617770000000001e-06,
-0.2,1.7980729999999999e-06,
-0.18,1.867613e-06,
-0.16,2.061923e-06,
-0.14,2.058747e-06,
-0.12,2.10484e-06,
-0.1,2.261003e-06,
-0.08,2.485517e-06,
-0.06,2.571343e-06,
-0.04,2.69254e-06,
-0.02,2.917447e-06,
0.0,3.11494e-06,
0.02,3.352163e-06,
0.04,3.53575e-06,
0.06,3.630717e-06,
0.08,3.959737e-06,
0.1,4.249017e-06,
0.12,4.512863e-06,
0.14,4.889567e-06,
0.16,5.05368e-06,
0.18,5.43952e-06,
0.2,5.699793e-06,
0.22,5.940997e-06,
0.24,6.335573e-06,
0.26,6.8700330000000006e-06,
0.28,6.97414e-06,
0.3,7.333757e-06,
0.32,7.958016999999999e-06,
0.34,8.45631e-06,
0.36,8.924403e-06,
0.38,9.3174e-06,
0.4,9.960346999999999e-06,
0.42,1.06831e-05,
0.44,1.144647e-05,
0.46,1.22766e-05,
0.48,1.299897e-05,
0.5,1.417e-05,
0.52,1.540463e-05,
0.54,1.661423e-05,
0.56,1.8389230000000002e-05,
0.58,2.0263999999999998e-05,
0.6,2.2745130000000002e-05,
0.58,,1.297793e-05
0.56,,7.725557e-06
0.54,,4.013377e-06
0.52,,1.127718e-06
0.5,,-8.134046999999999e-07
0.48,,-2.58843e-06
0.46,,-4.1532500000000004e-06
0.44,,-5.28892e-06
0.42,,-6.318093e-06
0.4,,-7.2300429999999995e-06
0.38,,-7.970333e-06
0.36,,-8.515917e-06
0.34,,-8.939903e-06
0.32,,-9.349583000000001e-06
0.3,,-9.623766999999999e-06
0.28,,-9.85305e-06
0.26,,-1.0033450000000001e-05
0.24,,-1.03426e-05
0.22,,-1.041097e-05
0.2,,-1.05548e-05
0.18,,-1.048047e-05
0.16,,-1.061677e-05
0.14,,-1.0619970000000001e-05
0.12,,-1.053813e-05
0.1,,-1.051463e-05
0.08,,-1.03529e-05
0.06,,-1.039703e-05
0.04,,-1.024843e-05
0.02,,-1.0108930000000001e-05
0.0,,-1.0101400000000001e-05
-0.02,,-9.928933e-06
-0.04,,-9.932113e-06
-0.06,,-1.002828e-05
-0.08,,-1.014631e-05
-0.1,,-1.0188039999999999e-05
-0.12,,-1.014869e-05
-0.14,,-1.031677e-05
-0.16,,-1.023613e-05
-0.18,,-1.005569e-05
-0.2,,-1.02834e-05
-0.22,,-1.0559570000000001e-05
-0.24,,-1.071493e-05
-0.26,,-1.068553e-05
-0.28,,-1.117903e-05
-0.3,,-1.1025269999999999e-05
-0.32,,-1.181323e-05
-0.34,,-1.18641e-05
-0.36,,-1.25134e-05
-0.38,,-1.2532870000000001e-05
-0.4,,-1.291353e-05
-0.42,,-1.348097e-05
-0.44,,-1.402817e-05
-0.46,,-1.4756900000000001e-05
-0.48,,-1.549127e-05
-0.5,,-1.6425470000000002e-05
-0.52,,-1.69138e-05
-0.54,,-1.7937429999999997e-05
-0.56,,-1.89539e-05
-0.58,,-2.005897e-05
-0.6,,-2.135633e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
