V,IGS Indo,IGS Voltando
-0.6,-1.362043e-05,
-0.58,-8.880296999999999e-06,
-0.56,-6.14166e-06,
-0.54,-4.303853e-06,
-0.52,-2.9973200000000002e-06,
-0.5,-1.955427e-06,
-0.48,-1.088381e-06,
-0.46,-2.475577e-07,
-0.44,1.637141e-07,
-0.42,5.610783e-07,
-0.4,7.092952999999999e-07,
-0.38,1.1452030000000001e-06,
-0.36,1.419383e-06,
-0.34,1.673303e-06,
-0.32,1.9085429999999997e-06,
-0.3,2.063117e-06,
-0.28,2.231997e-06,
-0.26,2.3563699999999996e-06,
-0.24,2.518097e-06,
-0.22,2.6015429999999997e-06,
-0.2,2.686583e-06,
-0.18,2.76168e-06,
-0.16,2.868573e-06,
-0.14,2.9404969999999998e-06,
-0.12,2.988577e-06,
-0.1,3.082353e-06,
-0.08,3.18726e-06,
-0.06,3.288587e-06,
-0.04,3.406603e-06,
-0.02,3.540117e-06,
0.0,3.681183e-06,
0.02,3.848077e-06,
0.04,3.991127e-06,
0.06,4.160007e-06,
0.08,4.336037e-06,
0.1,4.238687e-06,
0.12,4.543463e-06,
0.14,4.838307e-06,
0.16,5.0953999999999995e-06,
0.18,5.1887829999999995e-06,
0.2,5.3354100000000005e-06,
0.22,5.695423e-06,
0.24,6.054643e-06,
0.26,6.299813e-06,
0.28,6.65903e-06,
0.3,6.93202e-06,
0.32,7.27097e-06,
0.34,7.69178e-06,
0.36,8.023973e-06,
0.38,8.459487e-06,
0.4,8.887847e-06,
0.42,9.349587e-06,
0.44,9.820447e-06,
0.46,1.062033e-05,
0.48,1.143417e-05,
0.5,1.235127e-05,
0.52,1.30848e-05,
0.54,1.452723e-05,
0.56,1.595853e-05,
0.58,1.7790370000000003e-05,
0.6,1.917837e-05,
0.58,,1.1651900000000001e-05
0.56,,7.469257e-06
0.54,,4.64519e-06
0.52,,2.567373e-06
0.5,,7.005523e-07
0.48,,-4.752477e-07
0.46,,-1.52111e-06
0.44,,-2.4068330000000003e-06
0.42,,-3.153083e-06
0.4,,-3.7864830000000003e-06
0.38,,-4.329283e-06
0.36,,-4.739363e-06
0.34,,-5.08388e-06
0.32,,-5.443097e-06
0.3,,-5.695419999999999e-06
0.28,,-5.96841e-06
0.26,,-6.14643e-06
0.24,,-6.271203e-06
0.22,,-6.3622e-06
0.2,,-6.4289570000000005e-06
0.18,,-6.508427e-06
0.16,,-6.5358469999999996e-06
0.14,,-6.517173e-06
0.12,,-6.51002e-06
0.1,,-6.117820000000001e-06
0.08,,-6.24458e-06
0.06,,-6.289083e-06
0.04,,-6.312927e-06
0.02,,-6.26087e-06
0.0,,-6.190937e-06
-0.02,,-6.195307e-06
-0.04,,-6.165503e-06
-0.06,,-6.159543e-06
-0.08,,-6.136103e-06
-0.1,,-6.1750400000000004e-06
-0.12,,-6.1945100000000004e-06
-0.14,,-6.22789e-06
-0.16,,-6.24498e-06
-0.18,,-6.331603e-06
-0.2,,-6.4138599999999994e-06
-0.22,,-6.57479e-06
-0.24,,-6.72698e-06
-0.26,,-6.896253e-06
-0.28,,-7.057587e-06
-0.3,,-7.2344129999999994e-06
-0.32,,-7.482767e-06
-0.34,,-7.751783e-06
-0.36,,-7.98305e-06
-0.38,,-8.31167e-06
-0.4,,-8.271137e-06
-0.42,,-8.804403e-06
-0.44,,-9.421507e-06
-0.46,,-9.974643e-06
-0.48,,-1.058343e-05
-0.5,,-1.1190569999999999e-05
-0.52,,-1.188833e-05
-0.54,,-1.274627e-05
-0.56,,-1.3659000000000001e-05
-0.58,,-1.468937e-05
-0.6,,-1.57996e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
