V,IGS Indo,IGS Voltando
-0.6,-2.7860400000000002e-05,
-0.58,-1.8986070000000002e-05,
-0.56,-1.37488e-05,
-0.54,-9.945647e-06,
-0.52,-7.0552030000000005e-06,
-0.5,-4.727839999999999e-06,
-0.48,-2.84592e-06,
-0.46,-9.342026999999999e-07,
-0.44,-2.578896e-07,
-0.42,1.058976e-06,
-0.4,2.159673e-06,
-0.38,3.15706e-06,
-0.36,3.94662e-06,
-0.34,4.6749899999999994e-06,
-0.32,5.314747e-06,
-0.3,5.89808e-06,
-0.28,6.3904129999999996e-06,
-0.26,6.852146999999999e-06,
-0.24,7.255477e-06,
-0.22,7.670327e-06,
-0.2,8.048217e-06,
-0.18,8.39551e-06,
-0.16,8.708237e-06,
-0.14,8.997517e-06,
-0.12,9.268123e-06,
-0.1,9.57489e-06,
-0.08,9.857002999999999e-06,
-0.06,1.008272e-05,
-0.04,1.03438e-05,
-0.02,1.059373e-05,
0.0,1.0893729999999999e-05,
0.02,1.11417e-05,
0.04,1.13559e-05,
0.06,1.086633e-05,
0.08,1.148703e-05,
0.1,1.193243e-05,
0.12,1.2286869999999999e-05,
0.14,1.25861e-05,
0.16,1.291913e-05,
0.18,1.325927e-05,
0.2,1.361927e-05,
0.22,1.3726169999999999e-05,
0.24,1.431427e-05,
0.26,1.4806199999999999e-05,
0.28,1.53156e-05,
0.3,1.57825e-05,
0.32,1.635513e-05,
0.34,1.6948e-05,
0.36,1.755833e-05,
0.38,1.8328429999999998e-05,
0.4,1.91025e-05,
0.42,2.00812e-05,
0.44,2.112187e-05,
0.46,2.2473370000000002e-05,
0.48,2.404057e-05,
0.5,2.593437e-05,
0.52,2.8238699999999998e-05,
0.54,3.10222e-05,
0.56,3.30818e-05,
0.58,3.775597e-05,
0.6,4.27989e-05,
0.58,,2.671517e-05
0.56,,1.763303e-05
0.54,,1.13662e-05
0.52,,7.076263e-06
0.5,,3.211897e-06
0.48,,4.688924e-08
0.46,,-1.7098599999999999e-06
0.44,,-3.392697e-06
0.42,,-4.662277e-06
0.4,,-5.767347e-06
0.38,,-6.647507e-06
0.36,,-7.335743e-06
0.34,,-7.855096999999999e-06
0.32,,-8.362533e-06
0.3,,-8.799633e-06
0.28,,-9.10163e-06
0.26,,-9.43025e-06
0.24,,-9.690513e-06
0.22,,-9.91621e-06
0.2,,-1.014352e-05
0.18,,-1.032472e-05
0.16,,-9.711599999999999e-06
0.14,,-1.019994e-05
0.12,,-1.051267e-05
0.1,,-1.074197e-05
0.08,,-1.0942600000000001e-05
0.06,,-1.116673e-05
0.04,,-1.1327269999999999e-05
0.02,,-1.151363e-05
0.0,,-1.175243e-05
-0.02,,-1.201077e-05
-0.04,,-1.2237229999999999e-05
-0.06,,-1.2479199999999999e-05
-0.08,,-1.2780430000000001e-05
-0.1,,-1.309357e-05
-0.12,,-1.338997e-05
-0.14,,-1.376627e-05
-0.16,,-1.41704e-05
-0.18,,-1.453517e-05
-0.2,,-1.4962330000000001e-05
-0.22,,-1.5354970000000003e-05
-0.24,,-1.583057e-05
-0.26,,-1.629313e-05
-0.28,,-1.683673e-05
-0.3,,-1.73831e-05
-0.32,,-1.791913e-05
-0.34,,-1.76398e-05
-0.36,,-1.86221e-05
-0.38,,-1.946013e-05
-0.4,,-2.0292999999999997e-05
-0.42,,-2.1138169999999998e-05
-0.44,,-2.2021930000000002e-05
-0.46,,-2.293467e-05
-0.48,,-2.3957500000000002e-05
-0.5,,-2.508207e-05
-0.52,,-2.62904e-05
-0.54,,-2.76196e-05
-0.56,,-2.9062829999999998e-05
-0.58,,-3.0643929999999995e-05
-0.6,,-3.240463e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
