V,IGS Indo,IGS Voltando
-0.6,-2.935013e-05,
-0.58,-1.9925030000000002e-05,
-0.56,-1.42761e-05,
-0.54,-1.0238089999999999e-05,
-0.52,-7.197857e-06,
-0.5,-4.70042e-06,
-0.48,-2.6476370000000002e-06,
-0.46,-9.226783e-07,
-0.44,-2.1815299999999998e-07,
-0.42,1.451173e-06,
-0.4,2.6790269999999998e-06,
-0.38,3.685553e-06,
-0.36,4.53472e-06,
-0.34,5.2571270000000006e-06,
-0.32,5.9207270000000004e-06,
-0.3,6.481803e-06,
-0.28,7.04567e-06,
-0.26,7.495483000000001e-06,
-0.24,7.910727e-06,
-0.22,8.277893e-06,
-0.2,8.683203e-06,
-0.18,9.019377e-06,
-0.16,9.270507000000001e-06,
-0.14,9.516477e-06,
-0.12,9.81808e-06,
-0.1,1.003542e-05,
-0.08,1.02949e-05,
-0.06,1.05401e-05,
-0.04,1.0764200000000001e-05,
-0.02,1.097957e-05,
0.0,1.12653e-05,
0.02,1.146477e-05,
0.04,1.16992e-05,
0.06,1.108093e-05,
0.08,1.16845e-05,
0.1,1.210173e-05,
0.12,1.250307e-05,
0.14,1.2852770000000001e-05,
0.16,1.320523e-05,
0.18,1.350443e-05,
0.2,1.396497e-05,
0.22,1.428643e-05,
0.24,1.469213e-05,
0.26,1.51837e-05,
0.28,1.561207e-05,
0.3,1.6094429999999998e-05,
0.32,1.6678569999999998e-05,
0.34,1.73088e-05,
0.36,1.79676e-05,
0.38,1.861093e-05,
0.4,1.9449e-05,
0.42,2.039193e-05,
0.44,2.1430230000000002e-05,
0.46,2.2611629999999998e-05,
0.48,2.402783e-05,
0.5,2.57774e-05,
0.52,2.794107e-05,
0.54,3.058473e-05,
0.56,3.2383570000000004e-05,
0.58,3.6925069999999994e-05,
0.6,4.197557e-05,
0.58,,2.565703e-05
0.56,,1.675367e-05
0.54,,1.069347e-05
0.52,,6.282727e-06
0.5,,2.883673e-06
0.48,,3.004077e-07
0.46,,-1.8080069999999999e-06
0.44,,-3.3966730000000003e-06
0.42,,-4.732606999999999e-06
0.4,,-5.828933e-06
0.38,,-6.80208e-06
0.36,,-7.5022369999999995e-06
0.34,,-8.136033e-06
0.32,,-8.687973e-06
0.3,,-9.11077e-06
0.28,,-9.473167e-06
0.26,,-9.862963e-06
