V,IGS Indo,IGS Voltando
-0.6,-2.74861e-05,
-0.58,-1.82875e-05,
-0.56,-1.29338e-05,
-0.54,-8.82347e-06,
-0.52,-6.257693e-06,
-0.5,-4.0213270000000005e-06,
-0.48,-1.9598000000000003e-06,
-0.46,-2.586839e-07,
-0.44,8.229406999999999e-07,
-0.42,2.0241730000000003e-06,
-0.4,3.01242e-06,
-0.38,3.991922999999999e-06,
-0.36,4.804133e-06,
-0.34,5.574623e-06,
-0.32,6.268023e-06,
-0.3,6.90778e-06,
-0.28,7.4934929999999995e-06,
-0.26,8.065299999999999e-06,
-0.24,8.526643e-06,
-0.22,8.983217e-06,
-0.2,9.358723e-06,
-0.18,9.74296e-06,
-0.16,1.007479e-05,
-0.14,1.038473e-05,
-0.12,1.071533e-05,
-0.1,1.093587e-05,
-0.08,1.119453e-05,
-0.06,1.14735e-05,
-0.04,1.11115e-05,
-0.02,1.160503e-05,
0.0,1.1984100000000001e-05,
0.02,1.2201470000000001e-05,
0.04,1.2456529999999999e-05,
0.06,1.27224e-05,
0.08,1.2966800000000001e-05,
0.1,1.325487e-05,
0.12,1.35056e-05,
0.14,1.377863e-05,
0.16,1.41537e-05,
0.18,1.4524829999999999e-05,
0.2,1.4879700000000001e-05,
0.22,1.528583e-05,
0.24,1.5752729999999998e-05,
0.26,1.617153e-05,
0.28,1.668413e-05,
0.3,1.718123e-05,
0.32,1.775903e-05,
0.34,1.83507e-05,
0.36,1.892723e-05,
0.38,1.956147e-05,
0.4,2.028267e-05,
0.42,2.1037269999999997e-05,
0.44,2.193967e-05,
0.46,2.280953e-05,
0.48,2.372383e-05,
0.5,2.48651e-05,
0.52,2.59765e-05,
0.54,2.74682e-05,
0.56,2.7871529999999998e-05,
0.58,3.025653e-05,
0.6,3.25906e-05,
0.58,,1.817467e-05
0.56,,1.136463e-05
0.54,,6.765129999999999e-06
0.52,,3.66807e-06
0.5,,7.27573e-07
0.48,,-8.130083e-07
0.46,,-2.288023e-06
0.44,,-3.564357e-06
0.42,,-4.59711e-06
0.4,,-5.560317e-06
0.38,,-6.343127e-06
0.36,,-7.046857e-06
0.34,,-7.6584e-06
0.32,,-8.157890000000001e-06
0.3,,-8.76347e-06
0.28,,-9.284020000000001e-06
0.26,,-9.753303e-06
0.24,,-1.015344e-05
0.22,,-1.0497569999999999e-05
0.2,,-1.083177e-05
0.18,,-1.110273e-05
0.16,,-1.13634e-05
0.14,,-1.160387e-05
0.12,,-1.181843e-05
0.1,,-1.2062799999999999e-05
0.08,,-1.224877e-05
0.06,,-1.22897e-05
0.04,,-1.19758e-05
0.02,,-1.2491129999999998e-05
0.0,,-1.271523e-05
-0.02,,-1.29672e-05
-0.04,,-1.321753e-05
-0.06,,-1.34607e-05
-0.08,,-1.367967e-05
-0.1,,-1.393717e-05
-0.12,,-1.417e-05
-0.14,,-1.447837e-05
-0.16,,-1.487097e-05
-0.18,,-1.521787e-05
-0.2,,-1.51694e-05
-0.22,,-1.5821470000000002e-05
-0.24,,-1.633647e-05
-0.26,,-1.68117e-05
-0.28,,-1.73676e-05
-0.3,,-1.790963e-05
-0.32,,-1.850843e-05
-0.34,,-1.9058e-05
-0.36,,-1.9652829999999998e-05
-0.38,,-2.03117e-05
-0.4,,-2.109887e-05
-0.42,,-2.180773e-05
-0.44,,-2.266247e-05
-0.46,,-2.358e-05
-0.48,,-2.4573800000000002e-05
-0.5,,-2.5550099999999998e-05
-0.52,,-2.67609e-05
-0.54,,-2.7180900000000003e-05
-0.56,,-2.89909e-05
-0.58,,-3.06976e-05
-0.6,,-3.2647029999999996e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
