V,IGS Indo,IGS Voltando
-0.6,-1.210093e-05,
-0.58,-7.925429999999999e-06,
-0.56,-5.4121e-06,
-0.54,-3.7026399999999998e-06,
-0.52,-2.37107e-06,
-0.5,-1.3407070000000001e-06,
-0.48,-3.7392e-07,
-0.46,1.4225650000000001e-07,
-0.44,6.639957e-07,
-0.42,1.071692e-06,
-0.4,1.3887899999999999e-06,
-0.38,1.704293e-06,
-0.36,1.9244369999999997e-06,
-0.34,2.108017e-06,
-0.32,2.30988e-06,
-0.3,2.43227e-06,
-0.28,2.605117e-06,
-0.26,2.6714769999999997e-06,
-0.24,2.702873e-06,
-0.22,2.8868499999999997e-06,
-0.2,2.9440700000000003e-06,
-0.18,3.076793e-06,
-0.16,3.15269e-06,
-0.14,3.271103e-06,
-0.12,3.36806e-06,
-0.1,3.459453e-06,
-0.08,3.619993e-06,
-0.06,3.687937e-06,
-0.04,3.79761e-06,
-0.02,3.960133e-06,
0.0,4.162393e-06,
0.02,4.29193e-06,
0.04,4.498563e-06,
0.06,4.626513e-06,
0.08,4.84387e-06,
0.1,5.031427e-06,
0.12,5.313157e-06,
0.14,5.582573e-06,
0.16,6.15279e-06,
0.18,6.839833e-06,
0.2,7.24236e-06,
0.22,7.67946e-06,
0.24,7.98583e-06,
0.26,8.44558e-06,
0.28,8.948246999999999e-06,
0.3,9.380183e-06,
0.32,9.826043e-06,
0.34,1.027743e-05,
0.36,1.0846869999999999e-05,
0.38,1.122037e-05,
0.4,1.09319e-05,
0.42,1.106977e-05,
0.44,1.1334799999999999e-05,
0.46,1.180413e-05,
0.48,1.25257e-05,
0.5,1.331767e-05,
0.52,1.43234e-05,
0.54,1.5547669999999998e-05,
0.56,1.722177e-05,
0.58,1.91728e-05,
0.6,2.146723e-05,
0.58,,1.3703100000000001e-05
0.56,,9.33528e-06
0.54,,6.314517e-06
0.52,,4.049543e-06
0.5,,2.2057699999999997e-06
0.48,,6.37372e-07
0.46,,-5.662443000000001e-07
0.44,,-1.566013e-06
0.42,,-2.475577e-06
0.4,,-3.094277e-06
0.38,,-3.58065e-06
0.36,,-4.0602699999999995e-06
0.34,,-4.55419e-06
0.32,,-4.878837e-06
0.3,,-5.363227e-06
0.28,,-5.669593e-06
0.26,,-5.952517e-06
0.24,,-6.070137e-06
0.22,,-6.278757e-06
0.2,,-6.436903e-06
0.18,,-6.402733e-06
0.16,,-6.19133e-06
0.14,,-6.548563e-06
0.12,,-6.577573e-06
0.1,,-6.392797e-06
0.08,,-6.383657e-06
0.06,,-6.316503e-06
0.04,,-6.26127e-06
0.02,,-6.3467e-06
0.0,,-6.256103e-06
-0.02,,-6.188949999999999e-06
-0.04,,-6.2243129999999996e-06
-0.06,,-6.16034e-06
-0.08,,-6.102720000000001e-06
-0.1,,-6.0776870000000005e-06
-0.12,,-6.035567e-06
-0.14,,-5.959667e-06
-0.16,,-5.800723000000001e-06
-0.18,,-5.78602e-06
-0.2,,-5.805490000000001e-06
-0.22,,-5.835693e-06
-0.24,,-5.991857e-06
-0.26,,-6.044707e-06
-0.28,,-6.012119999999999e-06
-0.3,,-6.2866999999999995e-06
-0.32,,-6.472667e-06
-0.34,,-6.710287e-06
-0.36,,-6.9856629999999995e-06
-0.38,,-7.219312999999999e-06
-0.4,,-7.742247e-06
-0.42,,-8.04941e-06
-0.44,,-8.470213000000001e-06
-0.46,,-8.9407e-06
-0.48,,-9.472369999999999e-06
-0.5,,-1.009543e-05
-0.52,,-1.076457e-05
-0.54,,-1.1587529999999999e-05
-0.56,,-1.24069e-05
-0.58,,-1.331367e-05
-0.6,,-1.433967e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
