V,IGS Indo,IGS Voltando
-0.6,-2.00228e-05,
-0.58,-1.3615699999999999e-05,
-0.56,-9.938880000000001e-06,
-0.54,-7.528460000000001e-06,
-0.52,-5.710523e-06,
-0.5,-4.3722e-06,
-0.48,-3.345013e-06,
-0.46,-2.4720029999999997e-06,
-0.44,-2.14497e-06,
-0.42,-1.3347470000000001e-06,
-0.4,-5.81344e-07,
-0.38,-1.112622e-07,
-0.36,1.6649569999999998e-07,
-0.34,4.01338e-07,
-0.32,6.715457e-07,
-0.3,8.670497e-07,
-0.28,1.101095e-06,
-0.26,1.33872e-06,
-0.24,1.488927e-06,
-0.22,1.651447e-06,
-0.2,1.834233e-06,
-0.18,1.93874e-06,
-0.16,2.1123869999999997e-06,
-0.14,2.266963e-06,
-0.12,2.3822e-06,
-0.1,2.5622069999999998e-06,
-0.08,2.655983e-06,
-0.06,2.73983e-06,
-0.04,2.925397e-06,
-0.02,3.0295030000000003e-06,
0.0,3.192027e-06,
0.02,3.351767e-06,
0.04,3.540517e-06,
0.06,3.294943e-06,
0.08,3.6883329999999998e-06,
0.1,3.960133e-06,
0.12,4.262927e-06,
0.14,4.51088e-06,
0.16,4.78069e-06,
0.18,5.031822999999999e-06,
0.2,5.301633e-06,
0.22,5.564687e-06,
0.24,5.9103969999999995e-06,
0.26,6.19173e-06,
0.28,6.535053e-06,
0.3,6.918507e-06,
0.32,7.387797e-06,
0.34,7.795493e-06,
0.36,8.281867e-06,
0.38,8.94745e-06,
0.4,9.707623000000001e-06,
0.42,1.061717e-05,
0.44,1.180927e-05,
0.46,1.32076e-05,
0.48,1.490317e-05,
0.5,1.697423e-05,
0.52,1.95825e-05,
0.54,2.2682729999999998e-05,
0.56,2.51154e-05,
0.58,2.967e-05,
0.6,3.4737600000000004e-05,
0.58,,2.034587e-05
0.56,,1.231393e-05
0.54,,7.066327e-06
0.52,,3.430847e-06
0.5,,5.149843000000001e-07
0.48,,-1.165468e-06
0.46,,-2.504587e-06
0.44,,-3.6108500000000003e-06
0.42,,-4.40518e-06
0.4,,-5.057253e-06
0.38,,-5.601647e-06
0.36,,-5.9843029999999995e-06
0.34,,-6.34869e-06
0.32,,-6.60181e-06
0.3,,-6.8684429999999995e-06
0.28,,-7.06037e-06
0.26,,-7.247923e-06
0.24,,-7.427929999999999e-06
0.22,,-7.5570729999999995e-06
0.2,,-7.564227e-06
0.18,,-7.631383e-06
0.16,,-7.71046e-06
0.14,,-7.29084e-06
0.12,,-7.4835599999999995e-06
0.1,,-7.617873e-06
0.08,,-7.711647e-06
0.06,,-7.749797e-06
0.04,,-7.876553e-06
0.02,,-7.884503e-06
0.0,,-8.025567e-06
-0.02,,-8.146367e-06
-0.04,,-8.30094e-06
-0.06,,-8.501213e-06
-0.08,,-8.687179999999999e-06
-0.1,,-8.873937000000001e-06
-0.12,,-9.064277e-06
-0.14,,-9.269713000000001e-06
-0.16,,-9.516873e-06
-0.18,,-9.771187e-06
-0.2,,-1.0053690000000001e-05
-0.22,,-1.034857e-05
-0.24,,-1.073323e-05
-0.26,,-1.107417e-05
-0.28,,-1.142663e-05
-0.3,,-1.179457e-05
-0.32,,-1.22551e-05
-0.34,,-1.269023e-05
-0.36,,-1.25134e-05
-0.38,,-1.330217e-05
-0.4,,-1.396813e-05
-0.42,,-1.463333e-05
-0.44,,-1.533033e-05
-0.46,,-1.61155e-05
-0.48,,-1.6992469999999998e-05
-0.5,,-1.787547e-05
-0.52,,-1.88295e-05
-0.54,,-1.987577e-05
-0.56,,-2.0984e-05
-0.58,,-2.2157830000000002e-05
-0.6,,-2.3395229999999998e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
