V,IGS Indo,IGS Voltando
-0.6,-1.939857e-05,
-0.58,-1.369717e-05,
-0.56,-1.04038e-05,
-0.54,-8.118947e-06,
-0.52,-6.392003000000001e-06,
-0.5,-5.195537e-06,
-0.48,-4.1488800000000005e-06,
-0.46,-3.263153e-06,
-0.44,-2.4847200000000002e-06,
-0.42,-1.800857e-06,
-0.4,-1.181363e-06,
-0.38,-5.122022999999999e-07,
-0.36,-1.1801720000000001e-07,
-0.34,1.1881180000000001e-07,
-0.32,3.608067e-07,
-0.3,6.067753e-07,
-0.28,8.869166999999999e-07,
-0.26,1.179377e-06,
-0.24,1.4098469999999999e-06,
-0.22,1.6955529999999999e-06,
-0.2,1.960993e-06,
-0.18,2.208153e-06,
-0.16,2.2765e-06,
-0.14,2.466043e-06,
-0.12,2.7827429999999998e-06,
-0.1,2.902747e-06,
-0.08,3.08633e-06,
-0.06,3.027917e-06,
-0.04,3.34581e-06,
-0.02,3.564753e-06,
0.0,3.7852930000000004e-06,
0.02,3.970463e-06,
0.04,4.15206e-06,
0.06,4.407167e-06,
0.08,4.644397e-06,
0.1,4.884797e-06,
0.12,5.1931529999999994e-06,
0.14,5.412897e-06,
0.16,5.73476e-06,
0.18,6.155967e-06,
0.2,6.330807e-06,
0.22,6.700357e-06,
0.24,6.97414e-06,
0.26,7.323823e-06,
0.28,7.630987e-06,
0.3,7.94848e-06,
0.32,8.363723e-06,
0.34,8.771817000000001e-06,
0.36,9.15249e-06,
0.38,9.680590000000001e-06,
0.4,1.0203509999999999e-05,
0.42,1.074277e-05,
0.44,1.14294e-05,
0.46,1.217167e-05,
0.48,1.3035530000000001e-05,
0.5,1.401903e-05,
0.52,1.5041400000000001e-05,
0.54,1.570503e-05,
0.56,1.743037e-05,
0.58,1.930277e-05,
0.6,2.144693e-05,
0.58,,1.262663e-05
0.56,,7.868607e-06
0.54,,4.736983e-06
0.52,,2.378623e-06
0.5,,2.046428e-07
0.48,,-1.023215e-06
0.46,,-2.141e-06
0.44,,-3.090303e-06
0.42,,-4.106760000000001e-06
0.4,,-4.713137e-06
0.38,,-5.50747e-06
0.36,,-6.11941e-06
0.34,,-6.57161e-06
0.32,,-6.93321e-06
0.3,,-7.303157e-06
0.28,,-7.6150899999999995e-06
0.26,,-7.941327e-06
0.24,,-8.27273e-06
0.22,,-8.46227e-06
0.2,,-8.544126999999999e-06
0.18,,-8.842546999999999e-06
0.16,,-8.97129e-06
0.14,,-9.106397e-06
0.12,,-9.24905e-06
0.1,,-9.268523e-06
0.08,,-9.296737e-06
0.06,,-9.078583e-06
0.04,,-9.293157e-06
0.02,,-9.404026999999999e-06
0.0,,-9.469193e-06
-0.02,,-9.528e-06
-0.04,,-9.553829999999999e-06
-0.06,,-9.541113e-06
-0.08,,-9.641647e-06
-0.1,,-9.75569e-06
-0.12,,-9.91702e-06
-0.14,,-1.0071610000000001e-05
-0.16,,-1.017887e-05
-0.18,,-1.033387e-05
-0.2,,-1.0518670000000001e-05
-0.22,,-1.06458e-05
-0.24,,-1.084407e-05
-0.26,,-1.114487e-05
-0.28,,-1.1392400000000001e-05
-0.3,,-1.1756030000000001e-05
-0.32,,-1.2091e-05
-0.34,,-1.248837e-05
-0.36,,-1.285313e-05
-0.38,,-1.331643e-05
-0.4,,-1.37345e-05
-0.42,,-1.42618e-05
-0.44,,-1.491623e-05
-0.46,,-1.55032e-05
-0.48,,-1.624187e-05
-0.5,,-1.692057e-05
-0.52,,-1.780033e-05
-0.54,,-1.834077e-05
-0.56,,-1.956103e-05
-0.58,,-2.0853300000000002e-05
-0.6,,-2.215823e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
