V,IGS Indo,IGS Voltando
-0.6,-1.876393e-05,
-0.58,-1.338207e-05,
-0.56,-1.014193e-05,
-0.54,-7.807017e-06,
-0.52,-6.056627e-06,
-0.5,-4.59035e-06,
-0.48,-3.480513e-06,
-0.46,-2.520483e-06,
-0.44,-1.69436e-06,
-0.42,-8.233379999999999e-07,
-0.4,-1.0371209999999999e-07,
-0.38,2.026558e-07,
-0.36,5.118049999999999e-07,
-0.34,8.646663e-07,
-0.32,1.201627e-06,
-0.3,1.502037e-06,
-0.28,1.76549e-06,
-0.26,2.0424500000000002e-06,
-0.24,2.238357e-06,
-0.22,2.4175630000000004e-06,
-0.2,2.58128e-06,
-0.18,2.804597e-06,
-0.16,3.0271200000000003e-06,
-0.14,3.07838e-06,
-0.12,3.09348e-06,
-0.1,3.234543e-06,
-0.08,3.531377e-06,
-0.06,3.559193e-06,
-0.04,3.741977e-06,
-0.02,3.9831800000000005e-06,
0.0,4.1492800000000005e-06,
0.02,4.33286e-06,
0.04,4.516043000000001e-06,
0.06,4.708767e-06,
0.08,4.8812229999999995e-06,
0.1,5.159773e-06,
0.12,5.38667e-06,
0.14,5.59211e-06,
0.16,5.8321169999999994e-06,
0.18,6.128947e-06,
0.2,6.37253e-06,
0.22,6.63837e-06,
0.24,6.942747e-06,
0.26,7.21852e-06,
0.28,7.52648e-06,
0.3,7.796287e-06,
0.32,8.222263e-06,
0.34,8.725723e-06,
0.36,9.141763e-06,
0.38,9.556217e-06,
0.4,1.006365e-05,
0.42,1.0583e-05,
0.44,1.128757e-05,
0.46,1.1883569999999999e-05,
0.48,1.2295670000000001e-05,
0.5,1.33991e-05,
0.52,1.4482329999999999e-05,
0.54,1.580953e-05,
0.56,1.72166e-05,
0.58,1.8940369999999997e-05,
0.6,2.080203e-05,
0.58,,1.239457e-05
0.56,,7.845957000000001e-06
0.54,,4.70241e-06
0.52,,2.2641799999999997e-06
0.5,,1.525876e-07
0.48,,-1.006921e-06
0.46,,-2.2717299999999998e-06
0.44,,-3.277857e-06
0.42,,-4.23511e-06
0.4,,-4.98573e-06
0.38,,-5.556740000000001e-06
0.36,,-6.1516000000000005e-06
0.34,,-6.666977e-06
0.32,,-7.068317e-06
0.3,,-7.4156129999999995e-06
0.28,,-7.694959999999999e-06
0.26,,-8.047819999999999e-06
0.24,,-8.245307000000001e-06
0.22,,-8.393523000000001e-06
0.2,,-8.538167e-06
0.18,,-8.716187e-06
0.16,,-8.778176999999999e-06
0.14,,-8.833803e-06
0.12,,-8.620423e-06
0.1,,-8.847317e-06
0.08,,-8.99752e-06
0.06,,-9.018977e-06
0.04,,-9.069043e-06
0.02,,-9.12666e-06
0.0,,-9.16998e-06
-0.02,,-8.980037e-06
-0.04,,-9.19064e-06
-0.06,,-9.213287e-06
-0.08,,-9.29753e-06
-0.1,,-9.466807e-06
-0.12,,-9.602307e-06
-0.14,,-9.771587000000001e-06
-0.16,,-9.886017e-06
-0.18,,-1.008075e-05
-0.2,,-1.027824e-05
-0.22,,-1.054723e-05
-0.24,,-1.072723e-05
-0.26,,-1.098117e-05
-0.28,,-1.1225169999999998e-05
-0.3,,-1.166543e-05
-0.32,,-1.1955899999999998e-05
-0.34,,-1.2269400000000001e-05
-0.36,,-1.26616e-05
-0.38,,-1.30967e-05
-0.4,,-1.350323e-05
-0.42,,-1.4018999999999999e-05
-0.44,,-1.4648429999999999e-05
-0.46,,-1.493887e-05
-0.48,,-1.5569130000000002e-05
-0.5,,-1.64354e-05
-0.52,,-1.7211830000000002e-05
-0.54,,-1.8195729999999998e-05
-0.56,,-1.92475e-05
-0.58,,-2.02803e-05
-0.6,,-2.137227e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
