V,IGS Indo,IGS Voltando
-0.6,-1.953327e-05,
-0.58,-1.354893e-05,
-0.56,-1.004813e-05,
-0.54,-7.780787e-06,
-0.52,-6.08722e-06,
-0.5,-4.7651930000000006e-06,
-0.48,-3.80357e-06,
-0.46,-2.9651329999999996e-06,
-0.44,-2.61744e-06,
-0.42,-1.827477e-06,
-0.4,-1.180173e-06,
-0.38,-5.87702e-07,
-0.36,-1.649061e-07,
-0.34,2.026553e-08,
-0.32,2.805393e-07,
-0.3,5.30084e-07,
-0.28,7.303553e-07,
-0.26,1.013676e-06,
-0.24,1.133285e-06,
-0.22,1.3021629999999998e-06,
-0.2,1.519123e-06,
-0.18,1.6975399999999999e-06,
-0.16,1.7873430000000002e-06,
-0.14,1.949073e-06,
-0.12,2.107223e-06,
-0.1,2.277297e-06,
-0.08,2.34882e-06,
-0.06,2.55386e-06,
-0.04,2.708433e-06,
-0.02,2.86778e-06,
0.0,3.103017e-06,
0.02,3.29574e-06,
0.04,3.442763e-06,
0.06,3.359717e-06,
0.08,3.75231e-06,
0.1,4.12504e-06,
0.12,4.436973e-06,
0.14,4.725457000000001e-06,
0.16,5.06123e-06,
0.18,5.396207e-06,
0.2,5.73794e-06,
0.22,6.072123e-06,
0.24,6.42061e-06,
0.26,6.829503e-06,
0.28,7.219712999999999e-06,
0.3,7.642507e-06,
0.32,8.1408e-06,
0.34,8.566777e-06,
0.36,9.139776999999999e-06,
0.38,1.00132e-05,
0.4,1.04908e-05,
0.42,1.1338e-05,
0.44,1.2424e-05,
0.46,1.361053e-05,
0.48,1.51968e-05,
0.5,1.70914e-05,
0.52,1.935523e-05,
0.54,2.221067e-05,
0.56,2.4324230000000002e-05,
0.58,2.87942e-05,
0.6,3.3540330000000004e-05,
0.58,,1.931743e-05
0.56,,1.15017e-05
0.54,,6.2982230000000005e-06
0.52,,2.67744e-06
0.5,,-1.5378009999999998e-07
0.48,,-1.8795330000000002e-06
0.46,,-3.298523e-06
0.44,,-4.389287e-06
0.42,,-5.2467970000000004e-06
0.4,,-6.00616e-06
0.38,,-6.587503000000001e-06
0.36,,-7.073083e-06
0.34,,-7.496277e-06
0.32,,-7.704893e-06
0.3,,-7.993777e-06
0.28,,-8.279082999999999e-06
0.26,,-8.499227e-06
0.24,,-8.61009e-06
0.22,,-8.76824e-06
0.2,,-8.998312999999999e-06
0.18,,-9.07063e-06
0.16,,-9.048779999999999e-06
0.14,,-8.555253e-06
0.12,,-8.849700000000001e-06
0.1,,-8.904137000000001e-06
0.08,,-8.998312999999999e-06
0.06,,-9.042420000000001e-06
0.04,,-8.997917e-06
0.02,,-8.970500000000002e-06
0.0,,-9.061893e-06
-0.02,,-9.153683e-06
-0.04,,-9.215277e-06
-0.06,,-9.340443e-06
-0.08,,-9.353557e-06
-0.1,,-9.542703e-06
-0.12,,-9.731849999999999e-06
-0.14,,-9.93412e-06
-0.16,,-1.0104960000000001e-05
-0.18,,-1.017569e-05
-0.2,,-1.045187e-05
-0.22,,-1.067083e-05
-0.24,,-1.100143e-05
-0.26,,-1.12943e-05
-0.28,,-1.173337e-05
-0.3,,-1.197573e-05
-0.32,,-1.238863e-05
-0.34,,-1.270293e-05
-0.36,,-1.2523369999999999e-05
-0.38,,-1.325967e-05
-0.4,,-1.388827e-05
-0.42,,-1.4516499999999999e-05
-0.44,,-1.511693e-05
-0.46,,-1.57976e-05
-0.48,,-1.6626899999999998e-05
-0.5,,-1.7418429999999998e-05
-0.52,,-1.83284e-05
-0.54,,-1.93222e-05
-0.56,,-2.03951e-05
-0.58,,-2.158007e-05
-0.6,,-2.288977e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
