V,IGS Indo,IGS Voltando
-0.6,-1.479983e-05,
-0.58,-9.529587e-06,
-0.56,-6.481013e-06,
-0.54,-4.396039999999999e-06,
-0.52,-2.9476499999999996e-06,
-0.5,-1.6661500000000001e-06,
-0.48,-3.397463e-07,
-0.46,1.899399e-07,
-0.44,7.156530000000001e-07,
-0.42,1.202027e-06,
-0.4,1.592237e-06,
-0.38,1.955427e-06,
-0.36,2.2550429999999997e-06,
-0.34,2.470013e-06,
-0.32,2.62062e-06,
-0.3,2.821687e-06,
-0.28,2.9778500000000002e-06,
-0.26,3.110967e-06,
-0.24,3.2218299999999998e-06,
-0.22,3.303287e-06,
-0.2,3.424487e-06,
-0.18,3.50356e-06,
-0.16,3.5731e-06,
-0.14,3.703437e-06,
-0.12,3.812313e-06,
-0.1,3.925563000000001e-06,
-0.08,4.042787e-06,
-0.06,4.143717e-06,
-0.04,4.0793399999999995e-06,
-0.02,4.329287e-06,
0.0,4.563333e-06,
0.02,4.776713e-06,
0.04,4.940827e-06,
0.06,5.19117e-06,
0.08,5.396207e-06,
0.1,5.6624400000000005e-06,
0.12,5.96126e-06,
0.14,6.19173e-06,
0.16,6.4925370000000005e-06,
0.18,6.726187e-06,
0.2,7.0337469999999995e-06,
0.22,7.34409e-06,
0.24,7.626610000000001e-06,
0.26,7.984637e-06,
0.28,8.343457000000001e-06,
0.3,8.633536999999999e-06,
0.32,8.998312999999999e-06,
0.34,9.382567e-06,
0.36,9.774367e-06,
0.38,1.0242859999999999e-05,
0.4,1.069863e-05,
0.42,1.1225929999999999e-05,
0.44,1.179057e-05,
0.46,1.25154e-05,
0.48,1.31941e-05,
0.5,1.407343e-05,
0.52,1.5070870000000001e-05,
0.54,1.62045e-05,
0.56,1.693407e-05,
0.58,1.879257e-05,
0.6,2.0635930000000002e-05,
0.58,,1.2412069999999999e-05
0.56,,7.985037e-06
0.54,,4.928907e-06
0.52,,2.6452529999999997e-06
0.5,,5.141897e-07
0.48,,-6.111463e-07
0.46,,-1.7805899999999999e-06
0.44,,-2.799033e-06
0.42,,-3.599327e-06
0.4,,-4.3149800000000005e-06
0.38,,-4.9352630000000005e-06
0.36,,-5.450647e-06
0.34,,-5.848803e-06
0.32,,-6.178223e-06
0.3,,-6.41227e-06
0.28,,-6.67453e-06
0.26,,-6.853343e-06
0.24,,-6.95149e-06
0.22,,-7.092159999999999e-06
0.2,,-7.1426200000000006e-06
0.18,,-7.21375e-06
0.16,,-7.21534e-06
0.14,,-7.239977e-06
0.12,,-7.297597e-06
0.1,,-7.266207e-06
0.08,,-7.22885e-06
0.06,,-7.1668629999999996e-06
0.04,,-6.877183e-06
0.02,,-6.975333e-06
0.0,,-6.949107e-06
-0.02,,-6.982087e-06
-0.04,,-6.995203e-06
-0.06,,-6.9471200000000005e-06
-0.08,,-6.932417000000001e-06
-0.1,,-6.8934730000000005e-06
-0.12,,-6.904603e-06
-0.14,,-6.924867e-06
-0.16,,-6.955862999999999e-06
-0.18,,-7.0540129999999994e-06
-0.2,,-7.119177e-06
-0.22,,-7.22329e-06
-0.24,,-7.385412999999999e-06
-0.26,,-7.48396e-06
-0.28,,-7.677077e-06
-0.3,,-7.911127e-06
-0.32,,-8.133253e-06
-0.34,,-8.40306e-06
-0.36,,-8.69433e-06
-0.38,,-9.075403e-06
-0.4,,-9.44217e-06
-0.42,,-9.871733e-06
-0.44,,-1.0098629999999999e-05
-0.46,,-1.078367e-05
-0.48,,-1.148183e-05
-0.5,,-1.21351e-05
-0.52,,-1.2951299999999999e-05
-0.54,,-1.3851330000000001e-05
-0.56,,-1.443743e-05
-0.58,,-1.574717e-05
-0.6,,-1.709107e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
