V,IGS Indo,IGS Voltando
-0.6,-1.40794e-05,
-0.58,-9.001493000000001e-06,
-0.56,-6.128947e-06,
-0.54,-4.111923e-06,
-0.52,-2.6806200000000003e-06,
-0.5,-1.535417e-06,
-0.48,-3.683567e-07,
-0.46,1.8676130000000002e-07,
-0.44,7.28766e-07,
-0.42,1.23382e-06,
-0.4,1.675687e-06,
-0.38,2.037683e-06,
-0.36,2.342463e-06,
-0.34,2.6079030000000003e-06,
-0.32,2.815723e-06,
-0.3,3.017983e-06,
-0.28,3.2266e-06,
-0.26,3.375607e-06,
-0.24,3.473757e-06,
-0.22,3.6184e-06,
-0.2,3.721717e-06,
-0.18,3.829797e-06,
-0.16,3.920797e-06,
-0.14,3.8508600000000004e-06,
-0.12,4.049143e-06,
-0.1,4.1727229999999995e-06,
-0.08,4.31935e-06,
-0.06,4.43379e-06,
-0.04,4.5987e-06,
-0.02,4.738173e-06,
0.0,4.88043e-06,
0.02,5.069969999999999e-06,
0.04,5.235673e-06,
0.06,5.458197e-06,
0.08,5.524952999999999e-06,
0.1,5.805097e-06,
0.12,6.09636e-06,
0.14,6.35266e-06,
0.16,6.67453e-06,
0.18,6.941957e-06,
0.2,7.223687e-06,
0.22,7.529653000000001e-06,
0.24,7.83841e-06,
0.26,8.164642999999999e-06,
0.28,8.522273e-06,
0.3,8.888243e-06,
0.32,9.241103e-06,
0.34,9.669067e-06,
0.36,1.0024710000000001e-05,
0.38,1.048087e-05,
0.4,1.099227e-05,
0.42,1.1488599999999999e-05,
0.44,1.20489e-05,
0.46,1.22901e-05,
0.48,1.325967e-05,
0.5,1.415137e-05,
0.52,1.5105799999999999e-05,
0.54,1.63702e-05,
0.56,1.7797129999999998e-05,
0.58,1.936437e-05,
0.6,2.130867e-05,
0.58,,1.2964399999999999e-05
0.56,,8.56956e-06
0.54,,5.6187329999999995e-06
0.52,,3.5059430000000003e-06
0.5,,1.80364e-06
0.48,,1.4305129999999998e-07
0.46,,-7.160503e-07
0.44,,-1.626013e-06
0.42,,-2.412797e-06
0.4,,-3.09666e-06
0.38,,-3.6982670000000004e-06
0.36,,-4.20928e-06
0.34,,-4.69764e-06
0.32,,-5.063613e-06
0.3,,-5.4426999999999996e-06
0.28,,-5.65926e-06
0.26,,-5.939003e-06
0.24,,-6.092787000000001e-06
0.22,,-6.242593e-06
0.2,,-6.3614030000000005e-06
0.18,,-6.4229969999999994e-06
0.16,,-6.47426e-06
0.14,,-6.2576969999999995e-06
0.12,,-6.35942e-06
0.1,,-6.443262999999999e-06
0.08,,-6.426573e-06
0.06,,-6.4194200000000004e-06
0.04,,-6.407103e-06
0.02,,-6.377697e-06
0.0,,-6.331603e-06
-0.02,,-6.3268329999999996e-06
-0.04,,-6.302197e-06
-0.06,,-6.25968e-06
-0.08,,-6.264847e-06
-0.1,,-6.232657e-06
-0.12,,-6.250937e-06
-0.14,,-6.27756e-06
-0.16,,-6.349087e-06
-0.18,,-6.4051170000000006e-06
-0.2,,-6.471077e-06
-0.22,,-6.60181e-06
-0.24,,-6.691617e-06
-0.26,,-6.88275e-06
-0.28,,-7.03295e-06
-0.3,,-7.258257e-06
-0.32,,-7.510187000000001e-06
-0.34,,-7.782777e-06
-0.36,,-8.006093e-06
-0.38,,-7.843973000000001e-06
-0.4,,-7.933777e-06
-0.42,,-8.134442999999999e-06
-0.44,,-8.225043e-06
-0.46,,-8.71221e-06
-0.48,,-9.176332999999999e-06
-0.5,,-9.71953e-06
-0.52,,-1.0407370000000001e-05
-0.54,,-1.11385e-05
-0.56,,-1.1983300000000001e-05
-0.58,,-1.291753e-05
-0.6,,-1.391767e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
