V,IGS Indo,IGS Voltando
-0.6,-2.820057e-05,
-0.58,-2.0312099999999998e-05,
-0.56,-1.5309630000000002e-05,
-0.54,-1.159667e-05,
-0.52,-8.77301e-06,
-0.5,-6.488563e-06,
-0.48,-4.55737e-06,
-0.46,-2.9238029999999997e-06,
-0.44,-2.16166e-06,
-0.42,-4.192193e-07,
-0.4,4.6571100000000003e-07,
-0.38,1.31329e-06,
-0.36,1.964173e-06,
-0.34,2.663133e-06,
-0.32,3.257593e-06,
-0.3,3.817480000000001e-06,
-0.28,4.35511e-06,
-0.26,4.82599e-06,
-0.24,5.1800430000000005e-06,
-0.22,5.528927e-06,
-0.2,5.896093e-06,
-0.18,6.086827e-06,
-0.16,6.324846999999999e-06,
-0.14,6.639557e-06,
-0.12,6.86606e-06,
-0.1,7.1811670000000005e-06,
-0.08,7.371107e-06,
-0.06,7.501042999999999e-06,
-0.04,7.704893e-06,
-0.02,7.898410000000001e-06,
0.0,8.157093e-06,
0.02,8.296173e-06,
0.04,8.518693e-06,
0.06,8.18372e-06,
0.08,8.57353e-06,
0.1,8.867182999999999e-06,
0.12,9.19819e-06,
0.14,9.481113e-06,
0.16,9.818862999999999e-06,
0.18,1.0033860000000001e-05,
0.2,1.0319169999999999e-05,
0.22,1.06136e-05,
0.24,1.0883830000000001e-05,
0.26,1.1243069999999999e-05,
0.28,1.159667e-05,
0.3,1.196663e-05,
0.32,1.24665e-05,
0.34,1.286867e-05,
0.36,1.321513e-05,
0.38,1.38251e-05,
0.4,1.437943e-05,
0.42,1.51384e-05,
0.44,1.587787e-05,
0.46,1.672187e-05,
0.48,1.772283e-05,
0.5,1.89098e-05,
0.52,2.027513e-05,
0.54,2.192217e-05,
0.56,2.30161e-05,
0.58,2.563833e-05,
0.6,2.87322e-05,
0.58,,1.82919e-05
0.56,,1.195787e-05
0.54,,7.669923e-06
0.52,,4.366239999999999e-06
0.5,,1.788537e-06
0.48,,-3.61204e-07
0.46,,-1.9049670000000001e-06
0.44,,-3.26236e-06
0.42,,-4.420677e-06
0.4,,-5.304416999999999e-06
0.38,,-6.065367e-06
0.36,,-6.865263e-06
0.34,,-7.461307e-06
0.32,,-7.932183e-06
0.3,,-8.33392e-06
0.28,,-8.679627e-06
0.26,,-8.974470000000002e-06
0.24,,-9.379387e-06
0.22,,-9.616613e-06
0.2,,-9.82166e-06
0.18,,-9.987367e-06
0.16,,-1.0170119999999999e-05
0.14,,-9.756097e-06
0.12,,-1.0066840000000001e-05
0.1,,-1.03752e-05
0.08,,-1.057627e-05
0.06,,-1.07328e-05
0.04,,-1.095457e-05
0.02,,-1.10658e-05
0.0,,-1.1304200000000001e-05
-0.02,,-1.1522769999999999e-05
-0.04,,-1.169443e-05
-0.06,,-1.18768e-05
-0.08,,-1.213273e-05
-0.1,,-1.235643e-05
-0.12,,-1.2681870000000001e-05
-0.14,,-1.29966e-05
-0.16,,-1.333557e-05
-0.18,,-1.371943e-05
-0.2,,-1.414417e-05
-0.22,,-1.45654e-05
-0.24,,-1.4998899999999998e-05
-0.26,,-1.54511e-05
-0.28,,-1.596053e-05
-0.3,,-1.64477e-05
-0.32,,-1.70235e-05
-0.34,,-1.764177e-05
-0.36,,-1.75627e-05
-0.38,,-1.8452029999999998e-05
-0.4,,-1.917597e-05
-0.42,,-2.001803e-05
-0.44,,-2.09141e-05
-0.46,,-2.177e-05
-0.48,,-2.28202e-05
-0.5,,-2.389273e-05
-0.52,,-2.509513e-05
-0.54,,-2.6431869999999998e-05
-0.56,,-2.794943e-05
-0.58,,-2.964217e-05
-0.6,,-3.1207029999999997e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
