V,IGS Indo,IGS Voltando
-0.6,-2.681413e-05,
-0.58,-1.913747e-05,
-0.56,-1.44001e-05,
-0.54,-1.091917e-05,
-0.52,-8.231003000000001e-06,
-0.5,-6.07411e-06,
-0.48,-4.25617e-06,
-0.46,-2.703267e-06,
-0.44,-1.001358e-06,
-0.42,-1.549727e-08,
-0.4,8.745977000000001e-07,
-0.38,1.79887e-06,
-0.36,2.642073e-06,
-0.34,3.395477e-06,
-0.32,4.107553e-06,
-0.3,4.725853e-06,
-0.28,5.318323e-06,
-0.26,5.833703e-06,
-0.24,6.334383e-06,
-0.22,6.76155e-06,
-0.2,7.147787e-06,
-0.18,7.53681e-06,
-0.16,7.589657e-06,
-0.14,8.03391e-06,
-0.12,8.403857e-06,
-0.1,8.722943e-06,
-0.08,8.999106999999999e-06,
-0.06,9.30786e-06,
-0.04,9.545883000000001e-06,
-0.02,9.79821e-06,
0.0,1.009066e-05,
0.02,1.030567e-05,
0.04,1.0559570000000001e-05,
0.06,1.0739570000000001e-05,
0.08,1.0981570000000001e-05,
0.1,1.122117e-05,
0.12,1.14286e-05,
0.14,1.170673e-05,
0.16,1.199087e-05,
0.18,1.225157e-05,
0.2,1.252293e-05,
0.22,1.28158e-05,
0.24,1.314083e-05,
0.26,1.35255e-05,
0.28,1.38406e-05,
0.3,1.4234800000000001e-05,
0.32,1.46262e-05,
0.34,1.4983400000000001e-05,
0.36,1.54376e-05,
0.38,1.59367e-05,
0.4,1.643893e-05,
0.42,1.652677e-05,
0.44,1.7372000000000002e-05,
0.46,1.81031e-05,
0.48,1.885613e-05,
0.5,1.9718030000000002e-05,
0.52,2.059893e-05,
0.54,2.159993e-05,
0.56,2.281467e-05,
0.58,2.423407e-05,
0.6,2.579767e-05,
0.58,,1.71447e-05
0.56,,1.235407e-05
0.54,,9.03567e-06
0.52,,6.4539929999999996e-06
0.5,,4.443327e-06
0.48,,2.78632e-06
0.46,,1.2389809999999998e-06
0.44,,-1.756351e-07
0.42,,-1.004537e-06
0.4,,-1.8847e-06
0.38,,-2.7469769999999997e-06
0.36,,-3.49641e-06
0.34,,-4.173917e-06
0.32,,-4.785857e-06
0.3,,-5.348923e-06
0.28,,-5.89649e-06
0.26,,-6.380877e-06
0.24,,-6.783007e-06
0.22,,-7.18673e-06
0.2,,-7.515353e-06
0.18,,-7.501842999999999e-06
0.16,,-8.000133e-06
0.14,,-8.261203000000001e-06
0.12,,-8.57353e-06
0.1,,-8.87235e-06
0.08,,-9.119113e-06
0.06,,-9.355543e-06
0.04,,-9.588797e-06
0.02,,-9.86179e-06
0.0,,-1.005252e-05
-0.02,,-1.006169e-05
-0.04,,-1.042247e-05
-0.06,,-1.068633e-05
-0.08,,-1.094977e-05
-0.1,,-1.12633e-05
-0.12,,-1.152677e-05
-0.14,,-1.184143e-05
-0.16,,-1.213233e-05
-0.18,,-1.247607e-05
-0.2,,-1.2786e-05
-0.22,,-1.322707e-05
-0.24,,-1.363713e-05
-0.26,,-1.4090529999999999e-05
-0.28,,-1.454193e-05
-0.3,,-1.502473e-05
-0.32,,-1.558977e-05
-0.34,,-1.616637e-05
-0.36,,-1.681327e-05
-0.38,,-1.75341e-05
-0.4,,-1.8265269999999997e-05
-0.42,,-1.854853e-05
-0.44,,-1.95436e-05
-0.46,,-2.05934e-05
-0.48,,-2.164203e-05
-0.5,,-2.280593e-05
-0.52,,-2.402503e-05
-0.54,,-2.540867e-05
-0.56,,-2.6929e-05
-0.58,,-2.866067e-05
-0.6,,-3.0644730000000004e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
