V,IGS Indo,IGS Voltando
-0.6,-1.471877e-05,
-0.58,-9.443757e-06,
-0.56,-6.366967e-06,
-0.54,-4.27365e-06,
-0.52,-2.8451269999999998e-06,
-0.5,-1.54575e-06,
-0.48,-3.099443e-07,
-0.46,1.891457e-07,
-0.44,7.470447e-07,
-0.42,1.171033e-06,
-0.4,1.570383e-06,
-0.38,1.8695999999999999e-06,
-0.36,2.09411e-06,
-0.34,2.3206099999999997e-06,
-0.32,2.50061e-06,
-0.3,2.635717e-06,
-0.28,2.786713e-06,
-0.26,2.923807e-06,
-0.24,3.0656670000000003e-06,
-0.22,3.11494e-06,
-0.2,3.1928229999999997e-06,
-0.18,3.302493e-06,
-0.16,3.383953e-06,
-0.14,3.471377e-06,
-0.12,3.55482e-06,
-0.1,3.676413e-06,
-0.08,3.7868830000000003e-06,
-0.06,3.924767e-06,
-0.04,3.84251e-06,
-0.02,4.082123e-06,
0.0,4.297097e-06,
0.02,4.507303e-06,
0.04,4.6881e-06,
0.06,4.955133e-06,
0.08,5.161763e-06,
0.1,5.426807e-06,
0.12,5.6775400000000005e-06,
0.14,5.9505329999999995e-06,
0.16,6.183782999999999e-06,
0.18,6.463527e-06,
0.2,6.76791e-06,
0.22,7.123550000000001e-06,
0.24,7.394153e-06,
0.26,7.721587e-06,
0.28,8.081197e-06,
0.3,8.440017e-06,
0.32,8.825460000000001e-06,
0.34,9.25978e-06,
0.36,9.714363e-06,
0.38,1.013359e-05,
0.4,1.063983e-05,
0.42,1.122673e-05,
0.44,1.1874430000000001e-05,
0.46,1.258213e-05,
0.48,1.3366930000000001e-05,
0.5,1.428287e-05,
0.52,1.540463e-05,
0.54,1.669647e-05,
0.56,1.7642200000000002e-05,
0.58,1.977167e-05,
0.6,2.198897e-05,
0.58,,1.31134e-05
0.56,,8.389553000000002e-06
0.54,,5.15143e-06
0.52,,2.702873e-06
0.5,,4.390877e-07
0.48,,-7.689e-07
0.46,,-2.0412630000000003e-06
0.44,,-3.07838e-06
0.42,,-3.965697e-06
0.4,,-4.67817e-06
0.38,,-5.278190000000001e-06
0.36,,-5.7641669999999995e-06
0.34,,-6.1754400000000005e-06
0.32,,-6.5358469999999996e-06
0.3,,-6.774263e-06
0.28,,-6.967383e-06
0.26,,-7.15057e-06
0.24,,-7.239183e-06
0.22,,-7.322633e-06
0.2,,-7.3719000000000005e-06
0.18,,-7.386207e-06
0.16,,-7.4358800000000005e-06
0.14,,-7.39535e-06
0.12,,-7.35402e-06
0.1,,-7.44899e-06
0.08,,-7.348057e-06
0.06,,-7.2594500000000004e-06
0.04,,-6.965e-06
0.02,,-7.0007670000000005e-06
0.0,,-6.989637e-06
-0.02,,-6.959437e-06
-0.04,,-6.900627e-06
-0.06,,-6.8541370000000005e-06
-0.08,,-6.833473e-06
-0.1,,-6.8243329999999995e-06
-0.12,,-6.801683e-06
-0.14,,-6.831093e-06
-0.16,,-6.90738e-06
-0.18,,-6.916126999999999e-06
-0.2,,-7.030567000000001e-06
-0.22,,-7.117192999999999e-06
-0.24,,-7.246337e-06
-0.26,,-7.412433000000001e-06
-0.28,,-7.612703e-06
-0.3,,-7.829270000000001e-06
-0.32,,-8.101067e-06
-0.34,,-8.37008e-06
-0.36,,-8.621613e-06
-0.38,,-9.048779999999999e-06
-0.4,,-9.413163e-06
-0.42,,-9.769997e-06
-0.44,,-1.024643e-05
-0.46,,-1.081387e-05
-0.48,,-1.145127e-05
-0.5,,-1.214463e-05
-0.52,,-1.296163e-05
-0.54,,-1.387037e-05
-0.56,,-1.454947e-05
-0.58,,-1.5827029999999998e-05
-0.6,,-1.7230899999999998e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
