V,IGS Indo,IGS Voltando
-0.6,-2.786793e-05,
-0.58,-1.84818e-05,
-0.56,-1.31281e-05,
-0.54,-9.379783000000001e-06,
-0.52,-6.59426e-06,
-0.5,-4.8760570000000005e-06,
-0.48,-2.5256470000000002e-06,
-0.46,-4.64519e-07,
-0.44,5.642573e-07,
-0.42,1.68999e-06,
-0.4,2.7827429999999998e-06,
-0.38,3.755887e-06,
-0.36,4.634853e-06,
-0.34,5.44349e-06,
-0.32,6.1750400000000004e-06,
-0.3,6.88036e-06,
-0.28,7.512173e-06,
-0.26,7.995763e-06,
-0.24,8.583863e-06,
-0.22,9.062687e-06,
-0.2,9.42389e-06,
-0.18,9.852637e-06,
-0.16,1.023093e-05,
-0.14,1.052817e-05,
-0.12,1.088617e-05,
-0.1,1.119773e-05,
-0.08,1.14902e-05,
-0.06,1.170873e-05,
-0.04,1.20123e-05,
-0.02,1.226067e-05,
0.0,1.259207e-05,
0.02,1.274943e-05,
0.04,1.3070899999999999e-05,
0.06,1.2871800000000001e-05,
0.08,1.346907e-05,
0.1,1.31595e-05,
0.12,1.3868400000000001e-05,
0.14,1.434323e-05,
0.16,1.4821669999999999e-05,
0.18,1.5296929999999998e-05,
0.2,1.574557e-05,
0.22,1.624903e-05,
0.24,1.674733e-05,
0.26,1.724123e-05,
0.28,1.781067e-05,
0.3,1.847467e-05,
0.32,1.9076300000000002e-05,
0.34,1.97323e-05,
0.36,2.0506e-05,
0.38,2.1317000000000003e-05,
0.4,2.2076370000000002e-05,
0.42,2.293987e-05,
0.44,2.39583e-05,
0.46,2.50085e-05,
0.48,2.60325e-05,
0.5,2.726277e-05,
0.52,2.8730629999999998e-05,
0.54,3.022037e-05,
0.56,3.20105e-05,
0.58,3.392457e-05,
0.6,3.611127e-05,
0.58,,1.994137e-05
0.56,,1.22587e-05
0.54,,7.347663e-06
0.52,,3.771783e-06
0.5,,1.660583e-06
0.48,,-8.72215e-07
0.46,,-2.5852530000000002e-06
0.44,,-4.083713e-06
0.42,,-5.24362e-06
0.4,,-6.32763e-06
0.38,,-7.148983000000001e-06
0.36,,-7.963577e-06
0.34,,-8.657377e-06
0.32,,-9.32177e-06
0.3,,-9.950003000000001e-06
0.28,,-1.035729e-05
0.26,,-1.0834129999999999e-05
0.24,,-1.1254529999999999e-05
0.22,,-1.1572470000000001e-05
0.2,,-1.195077e-05
0.18,,-1.217603e-05
0.16,,-1.248283e-05
0.14,,-1.273237e-05
0.12,,-1.29402e-05
0.1,,-1.31345e-05
0.08,,-1.329937e-05
0.06,,-1.34814e-05
0.04,,-1.3584300000000001e-05
0.02,,-1.37138e-05
0.0,,-1.396177e-05
-0.02,,-1.413583e-05
-0.04,,-1.432977e-05
-0.06,,-1.445133e-05
-0.08,,-1.473543e-05
-0.1,,-1.427927e-05
-0.12,,-1.491943e-05
-0.14,,-1.524927e-05
-0.16,,-1.560093e-05
-0.18,,-1.60154e-05
-0.2,,-1.6358669999999998e-05
-0.22,,-1.671593e-05
-0.24,,-1.728097e-05
-0.26,,-1.770813e-05
-0.28,,-1.82104e-05
-0.3,,-1.8707899999999998e-05
-0.32,,-1.927457e-05
-0.34,,-1.980107e-05
-0.36,,-2.040623e-05
-0.38,,-2.1154070000000003e-05
-0.4,,-2.18284e-05
-0.42,,-2.26124e-05
-0.44,,-2.3329270000000002e-05
-0.46,,-2.4236069999999998e-05
-0.48,,-2.520443e-05
-0.5,,-2.626143e-05
-0.52,,-2.73617e-05
-0.54,,-2.86166e-05
-0.56,,-2.9995470000000002e-05
-0.58,,-3.16326e-05
-0.6,,-3.3340469999999995e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
