V,IGS Indo,IGS Voltando
-0.6,-2.693297e-05,
-0.58,-1.837133e-05,
-0.56,-1.333e-05,
-0.54,-9.779917e-06,
-0.52,-7.055997e-06,
-0.5,-4.840293e-06,
-0.48,-3.0223530000000002e-06,
-0.46,-1.079241e-06,
-0.44,1.549706e-08,
-0.42,1.029968e-06,
-0.4,2.03133e-06,
-0.38,2.955993e-06,
-0.36,3.760257e-06,
-0.34,4.492603e-06,
-0.32,5.1713e-06,
-0.3,5.812247e-06,
-0.28,6.3622e-06,
-0.26,6.895067e-06,
-0.24,7.385012999999999e-06,
-0.22,7.848343e-06,
-0.2,7.898807e-06,
-0.18,8.458693e-06,
-0.16,8.897783e-06,
-0.14,9.22521e-06,
-0.12,9.582837e-06,
-0.1,9.8312e-06,
-0.08,1.008868e-05,
-0.06,1.0315199999999999e-05,
-0.04,1.009227e-05,
-0.02,1.062237e-05,
0.0,1.099747e-05,
0.02,1.121443e-05,
0.04,1.14727e-05,
0.06,1.172267e-05,
0.08,1.19412e-05,
0.1,1.219077e-05,
0.12,1.2412069999999999e-05,
0.14,1.270293e-05,
0.16,1.3028399999999999e-05,
0.18,1.334947e-05,
0.2,1.3732899999999999e-05,
0.22,1.4081800000000001e-05,
0.24,1.445257e-05,
0.26,1.4867e-05,
0.28,1.529537e-05,
0.3,1.579443e-05,
0.32,1.633167e-05,
0.34,1.6852230000000003e-05,
0.36,1.743117e-05,
0.38,1.808403e-05,
0.4,1.8801669999999998e-05,
0.42,1.954393e-05,
0.44,2.040503e-05,
0.46,2.126693e-05,
0.48,2.236087e-05,
0.5,2.3577200000000002e-05,
0.52,2.4836070000000002e-05,
0.54,2.643583e-05,
0.56,2.729497e-05,
0.58,3.0082869999999997e-05,
0.6,3.280957e-05,
0.58,,1.8873629999999997e-05
0.56,,1.193087e-05
0.54,,7.43747e-06
0.52,,4.110733e-06
0.5,,1.250506e-06
0.48,,-5.749859999999999e-07
0.46,,-2.0003299999999997e-06
0.44,,-3.292163e-06
0.42,,-4.394453e-06
0.4,,-5.293686999999999e-06
0.38,,-6.21279e-06
0.36,,-6.895463e-06
0.34,,-7.528067e-06
0.32,,-8.140006999999999e-06
0.3,,-8.624397e-06
0.28,,-9.113947e-06
0.26,,-9.442570000000001e-06
0.24,,-9.80338e-06
0.22,,-1.015463e-05
0.2,,-1.04594e-05
0.18,,-1.06847e-05
0.16,,-1.093307e-05
0.14,,-1.10952e-05
0.12,,-1.12915e-05
0.1,,-1.143337e-05
0.08,,-1.157123e-05
0.06,,-1.167733e-05
0.04,,-1.131213e-05
0.02,,-1.17004e-05
0.0,,-1.193403e-05
-0.02,,-1.2110069999999999e-05
-0.04,,-1.225593e-05
-0.06,,-1.2447430000000001e-05
-0.08,,-1.2652470000000001e-05
-0.1,,-1.284083e-05
-0.12,,-1.306777e-05
-0.14,,-1.334113e-05
-0.16,,-1.360297e-05
-0.18,,-1.38748e-05
-0.2,,-1.419587e-05
-0.22,,-1.454193e-05
-0.24,,-1.491983e-05
-0.26,,-1.533667e-05
-0.28,,-1.580873e-05
-0.3,,-1.63126e-05
-0.32,,-1.67926e-05
-0.34,,-1.741013e-05
-0.36,,-1.797357e-05
-0.38,,-1.86356e-05
-0.4,,-1.9283300000000002e-05
-0.42,,-2.00955e-05
-0.44,,-2.086163e-05
-0.46,,-2.1787499999999998e-05
-0.48,,-2.2805499999999997e-05
-0.5,,-2.3920529999999998e-05
-0.52,,-2.5096769999999998e-05
-0.54,,-2.6019029999999998e-05
-0.56,,-2.7891e-05
-0.58,,-2.9492e-05
-0.6,,-3.149113e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
