V,IGS Indo,IGS Voltando
-0.6,-2.54508e-05,
-0.58,-1.9676699999999997e-05,
-0.56,-1.553693e-05,
-0.54,-1.223007e-05,
-0.52,-9.530783e-06,
-0.5,-7.210573e-06,
-0.48,-5.220969999999999e-06,
-0.46,-3.4626330000000004e-06,
-0.44,-1.866817e-06,
-0.42,-1.347066e-07,
-0.4,8.145963e-07,
-0.38,1.88947e-06,
-0.36,2.9333429999999996e-06,
-0.34,3.83377e-06,
-0.32,4.5637300000000004e-06,
-0.3,5.2527600000000005e-06,
-0.28,5.789597e-06,
-0.26,6.32763e-06,
-0.24,6.757577e-06,
-0.22,7.142223e-06,
-0.2,7.537207e-06,
-0.18,7.89563e-06,
-0.16,8.167027e-06,
-0.14,8.468227e-06,
-0.12,8.69592e-06,
-0.1,8.906523e-06,
-0.08,9.11633e-06,
-0.06,9.30468e-06,
-0.04,9.010233e-06,
-0.02,9.352763e-06,
0.0,9.636087e-06,
0.02,9.897163e-06,
0.04,1.010535e-05,
0.06,1.03585e-05,
0.08,1.054167e-05,
0.1,1.077493e-05,
0.12,1.1049899999999999e-05,
0.14,1.129467e-05,
0.16,1.1519970000000001e-05,
0.18,1.182993e-05,
0.2,1.21375e-05,
0.22,1.244027e-05,
0.24,1.28428e-05,
0.26,1.317577e-05,
0.28,1.360777e-05,
0.3,1.40059e-05,
0.32,1.44406e-05,
0.34,1.500807e-05,
0.36,1.533627e-05,
0.38,1.578053e-05,
0.4,1.6224369999999998e-05,
0.42,1.673223e-05,
0.44,1.7249199999999997e-05,
0.46,1.778127e-05,
0.48,1.830497e-05,
0.5,1.89225e-05,
0.52,1.951853e-05,
0.54,2.0240129999999998e-05,
0.56,2.05179e-05,
0.58,2.140083e-05,
0.6,2.22401e-05,
0.58,,1.46854e-05
0.56,,9.342432999999999e-06
0.54,,5.18759e-06
0.52,,1.8723800000000001e-06
0.5,,-8.793657e-07
0.48,,-3.1916269999999998e-06
0.46,,-5.167322999999999e-06
0.44,,-6.879167e-06
0.42,,-8.42055e-06
0.4,,-9.799007e-06
0.38,,-1.10058e-05
0.36,,-1.215737e-05
0.34,,-1.310547e-05
0.32,,-1.39304e-05
0.3,,-1.462857e-05
0.28,,-1.524923e-05
0.26,,-1.576223e-05
0.24,,-1.6226370000000002e-05
0.22,,-1.660663e-05
0.2,,-1.69138e-05
0.18,,-1.715023e-05
0.16,,-1.735927e-05
0.14,,-1.75023e-05
0.12,,-1.765053e-05
0.1,,-1.768943e-05
0.08,,-1.77586e-05
0.06,,-1.7809469999999997e-05
0.04,,-1.73354e-05
0.02,,-1.7523e-05
0.0,,-1.7723630000000003e-05
-0.02,,-1.783687e-05
-0.04,,-1.793023e-05
-0.06,,-1.801333e-05
-0.08,,-1.80952e-05
-0.1,,-1.8179399999999997e-05
-0.12,,-1.829663e-05
-0.14,,-1.84695e-05
-0.16,,-1.870553e-05
-0.18,,-1.881203e-05
-0.2,,-1.904567e-05
-0.22,,-1.9282899999999998e-05
-0.24,,-1.953243e-05
-0.26,,-1.98551e-05
-0.28,,-2.016423e-05
-0.3,,-2.047937e-05
-0.32,,-2.0815530000000003e-05
-0.34,,-2.113663e-05
-0.36,,-2.1519630000000002e-05
-0.38,,-2.195197e-05
-0.4,,-2.242367e-05
-0.42,,-2.290643e-05
-0.44,,-2.337613e-05
-0.46,,-2.39003e-05
-0.48,,-2.447447e-05
-0.5,,-2.49815e-05
-0.52,,-2.55998e-05
-0.54,,-2.6215329999999998e-05
-0.56,,-2.652447e-05
-0.58,,-2.73645e-05
-0.6,,-2.828363e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
