V,IGS Indo,IGS Voltando
-0.6,-2.2835299999999998e-05,
-0.58,-1.652637e-05,
-0.56,-1.22305e-05,
-0.54,-9.113947e-06,
-0.52,-6.559687e-06,
-0.5,-4.4707429999999995e-06,
-0.48,-2.68817e-06,
-0.46,-8.924807e-07,
-0.44,-2.53916e-07,
-0.42,1.034737e-06,
-0.4,2.241533e-06,
-0.38,3.08037e-06,
-0.36,3.911657e-06,
-0.34,4.583597e-06,
-0.32,5.1887829999999995e-06,
-0.3,5.729593e-06,
-0.28,6.147623e-06,
-0.26,6.4877670000000005e-06,
-0.24,6.848173e-06,
-0.22,7.15097e-06,
-0.2,7.5089930000000005e-06,
-0.18,7.64171e-06,
-0.16,7.893643e-06,
-0.14,8.079213000000001e-06,
-0.12,8.207956999999999e-06,
-0.1,8.469817e-06,
-0.08,8.542933e-06,
-0.06,8.726517e-06,
-0.04,8.925993e-06,
-0.02,9.05792e-06,
0.0,9.196997e-06,
0.02,9.295147e-06,
0.04,9.501777e-06,
0.06,8.88745e-06,
0.08,9.434619999999999e-06,
0.1,9.85821e-06,
0.12,1.025361e-05,
0.14,1.04475e-05,
0.16,1.0735569999999999e-05,
0.18,1.1053869999999999e-05,
0.2,1.134593e-05,
0.22,1.164317e-05,
0.24,1.20461e-05,
0.26,1.230043e-05,
0.28,1.2757e-05,
0.3,1.305423e-05,
0.32,1.342733e-05,
0.34,1.389067e-05,
0.36,1.4323e-05,
0.38,1.47295e-05,
0.4,1.529653e-05,
0.42,1.56649e-05,
0.44,1.617753e-05,
0.46,1.67509e-05,
0.48,1.73183e-05,
0.5,1.795093e-05,
0.52,1.863637e-05,
0.54,1.9372700000000002e-05,
0.56,1.91323e-05,
0.58,2.036337e-05,
0.6,2.1341199999999998e-05,
0.58,,1.31647e-05
0.56,,7.937749999999999e-06
0.54,,4.1977600000000004e-06
0.52,,1.275938e-06
0.5,,-1.030763e-06
0.48,,-2.940493e-06
0.46,,-4.615387e-06
0.44,,-6.03477e-06
0.42,,-7.2519e-06
0.4,,-8.405843000000001e-06
0.38,,-9.347200000000001e-06
0.36,,-1.0073179999999999e-05
0.34,,-1.0855629999999999e-05
0.32,,-1.14747e-05
0.3,,-1.1909799999999999e-05
0.28,,-1.231433e-05
0.26,,-1.262823e-05
0.24,,-1.288333e-05
0.22,,-1.309317e-05
0.2,,-1.316747e-05
0.18,,-1.337807e-05
0.16,,-1.350363e-05
0.14,,-1.266003e-05
0.12,,-1.306297e-05
0.1,,-1.331567e-05
0.08,,-1.342537e-05
0.06,,-1.350123e-05
0.04,,-1.34639e-05
0.02,,-1.354017e-05
0.0,,-1.366773e-05
-0.02,,-1.373527e-05
-0.04,,-1.3987999999999999e-05
-0.06,,-1.40059e-05
-0.08,,-1.407067e-05
-0.1,,-1.423917e-05
-0.12,,-1.442433e-05
-0.14,,-1.457493e-05
-0.16,,-1.4798669999999999e-05
-0.18,,-1.504583e-05
-0.2,,-1.53164e-05
-0.22,,-1.545073e-05
-0.24,,-1.58735e-05
-0.26,,-1.62347e-05
-0.28,,-1.656137e-05
-0.3,,-1.6921369999999998e-05
-0.32,,-1.719197e-05
-0.34,,-1.7679529999999998e-05
-0.36,,-1.7343799999999998e-05
-0.38,,-1.8082869999999997e-05
-0.4,,-1.8680900000000003e-05
-0.42,,-1.9231999999999998e-05
-0.44,,-1.986823e-05
-0.46,,-2.04635e-05
-0.48,,-2.102137e-05
-0.5,,-2.17843e-05
-0.52,,-2.25226e-05
-0.54,,-2.3197730000000002e-05
-0.56,,-2.3972199999999997e-05
-0.58,,-2.477807e-05
-0.6,,-2.580247e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
