V,IGS Indo,IGS Voltando
-0.6,-1.9383e-05,
-0.58,-1.342973e-05,
-0.56,-1.0079940000000001e-05,
-0.54,-7.710453e-06,
-0.52,-5.971193e-06,
-0.5,-4.61181e-06,
-0.48,-3.55085e-06,
-0.46,-2.7791669999999997e-06,
-0.44,-2.087753e-06,
-0.42,-1.48813e-06,
-0.4,-8.447973e-07,
-0.38,-2.64645e-07,
-0.36,-4.371e-08,
-0.34,1.9947699999999998e-07,
-0.32,3.8146969999999996e-07,
-0.3,5.718073e-07,
-0.28,8.098282999999999e-07,
-0.26,9.548653e-07,
-0.24,1.123347e-06,
-0.22,1.2544799999999999e-06,
-0.2,1.3907769999999999e-06,
-0.18,1.52707e-06,
-0.16,1.678467e-06,
-0.14,1.616873e-06,
-0.12,1.832643e-06,
-0.1,2.0301370000000002e-06,
-0.08,2.2292130000000003e-06,
-0.06,2.367893e-06,
-0.04,2.544323e-06,
-0.02,2.691747e-06,
0.0,2.926193e-06,
0.02,3.156263e-06,
0.04,3.329513e-06,
0.06,3.617603e-06,
0.08,3.835757e-06,
0.1,4.1306e-06,
0.12,4.390877e-06,
0.14,4.66585e-06,
0.16,4.965463e-06,
0.18,5.285343e-06,
0.2,5.597273e-06,
0.22,5.9743699999999995e-06,
0.24,6.335177e-06,
0.26,6.709493e-06,
0.28,7.104477e-06,
0.3,7.580519999999999e-06,
0.32,7.854703e-06,
0.34,8.331537e-06,
0.36,8.798443e-06,
0.38,9.29594e-06,
0.4,9.85306e-06,
0.42,1.042727e-05,
0.44,1.110593e-05,
0.46,1.144487e-05,
0.48,1.253483e-05,
0.5,1.3616499999999999e-05,
0.52,1.490393e-05,
0.54,1.64457e-05,
0.56,1.827637e-05,
0.58,2.045513e-05,
0.6,2.3035999999999998e-05,
0.58,,1.331367e-05
0.56,,8.077623e-06
0.54,,4.545053e-06
0.52,,1.8409869999999999e-06
0.5,,-2.9643370000000004e-07
0.48,,-1.83622e-06
0.46,,-3.265143e-06
0.44,,-4.41869e-06
0.42,,-5.119643e-06
0.4,,-6.1265600000000005e-06
0.38,,-6.884733000000001e-06
0.36,,-7.6202529999999995e-06
0.34,,-8.213917e-06
0.32,,-8.597373000000001e-06
0.3,,-8.918046999999999e-06
0.28,,-9.295147e-06
0.26,,-9.492237e-06
0.24,,-9.75291e-06
0.22,,-9.848683e-06
0.2,,-1.004576e-05
0.18,,-1.011174e-05
0.16,,-1.0178859999999999e-05
