V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-5.774999999998229e-07,
-0.56,-5.425000000002476e-07,
-0.54,-3.5324999999989705e-07,
-0.52,-4.467500000001224e-07,
-0.5,-4.74999999999998e-07,
-0.48,-3.450000000001195e-07,
-0.46,-4.117500000001134e-07,
-0.44,-4.774999999997663e-07,
-0.42,-3.982500000000635e-07,
-0.4,-4.339999999996777e-07,
-0.38,-4.099999999997335e-07,
-0.36,-3.9350000000017843e-07,
-0.34,-4.592499999998313e-07,
-0.32,-2.957500000000217e-07,
-0.3,-3.1250000000031253e-07,
-0.28,-5.375000000000605e-07,
-0.26,-4.832499999999924e-07,
-0.24,-3.5674999999978953e-07,
-0.22,-2.1349999999994637e-07,
-0.2,-1.725000000002766e-07,
-0.18,-2.989999999998289e-07,
-0.16,-2.957500000000217e-07,
-0.14,-2.1250000000003905e-07,
-0.12,-1.6324999999972438e-07,
-0.1,-1.6350000000002647e-07,
-0.08,-2.350000000003391e-07,
-0.06,-3.0400000000044974e-07,
-0.04,-2.1849999999991668e-07,
-0.02,-8.424999999967313e-08,
0.0,-8.899999999999186e-08,
0.02,-6.925000000019589e-08,
0.04,-4.3499999999871766e-08,
0.06,-1.5749999999949832e-08,
0.08,8.499999999992888e-08,
0.1,-3.249999999980699e-08,
0.12,-1.215000000000157e-07,
0.14,1.1075000000003617e-07,
0.16,9.750000000007149e-08,
0.18,-1.8250000000151825e-08,
0.2,7.150000000052947e-08,
0.22,5.0750000000175655e-08,
0.24,1.8499999999803396e-08,
0.26,1.5099999999966703e-07,
0.28,1.5499999999994685e-07,
0.3,1.5000000002946684e-09,
0.32,-7.600000000011244e-08,
0.34,3.674999999973838e-08,
0.36,9.850000000019565e-08,
0.38,7.92500000001365e-08,
0.4,1.6399999999998013e-07,
0.42,3.0000000000038676e-08,
0.44,-2.5749999999673603e-08,
0.46,6.900000000011064e-08,
0.48,1.4424999999996732e-07,
0.5,1.285000000000175e-07,
0.52,5.149999999978089e-08,
0.54,1.0074999999987871e-07,
0.56,3.424999999997007e-08,
0.58,3.075000000007759e-08,
0.6,,
0.58,,9.250000000010118e-08
0.56,,1.3750000000026762e-07
0.54,,1.150000000001844e-08
0.52,,-6.175000000002359e-08
0.5,,1.0099999999996397e-07
0.48,,2.024999999998816e-07
0.46,,1.0899999999965625e-07
0.44,,3.1749999999768075e-08
0.42,,-1.14999999998016e-08
0.4,,6.000000000029419e-08
0.38,,5.249999999990505e-08
0.36,,-1.3075000000013423e-07
0.34,,-1.0175000000021972e-07
0.32,,8.400000000002156e-08
0.3,,9.500000000008633e-08
0.28,,9.174999999984543e-08
0.26,,2.0675000000002983e-07
0.24,,1.357499999998877e-07
0.22,,1.500000000077828e-09
0.2,,4.9249999999880986e-08
0.18,,2.499999999985153e-08
0.16,,-6.999999999980112e-08
0.14,,-4.9999999997534655e-09
0.12,,4.674999999967899e-08
0.1,,2.1750000000261144e-08
0.08,,6.500000000048134e-09
0.06,,1.4250000000002108e-07
0.04,,1.4500000000022308e-07
0.02,,-5.574999999992912e-08
0.0,,-7.825000000001234e-08
-0.02,,-1.2675000000007125e-07
-0.04,,-2.6000000000019063e-07
-0.06,,-1.60000000000134e-07
-0.08,,-1.0574999999984902e-07
-0.1,,-1.0999999999999725e-07
-0.12,,-1.4599999999991356e-07
-0.14,,-3.250000000002383e-07
-0.16,,-2.707499999999533e-07
-0.18,,-9.425000000004742e-08
-0.2,,-1.1925000000033263e-07
-0.22,,-2.500000000000332e-07
-0.24,,-3.157499999999029e-07
-0.26,,-3.1000000000011053e-07
-0.28,,-3.142499999998251e-07
-0.3,,-4.2000000000032463e-07
-0.32,,-3.857499999999209e-07
-0.34,,-3.549999999998433e-07
-0.36,,-5.217500000001107e-07
-0.38,,-5.190000000000403e-07
-0.4,,-3.639999999998766e-07
-0.42,,-4.460000000000835e-07
-0.44,,-5.5999999999971e-07
-0.46,,-5.314999999997492e-07
-0.48,,-5.060000000001608e-07
-0.5,,-5.142499999999384e-07
-0.52,,-5.082500000000607e-07
-0.54,,-5.917500000001286e-07
-0.56,,-6.250000000001914e-07
-0.58,,-5.899999999997487e-07
-0.6,,-6.284999999999207e-07
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
