V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-2.38975e-05,
-0.56,-2.488750000000019e-05,
-0.54,-2.5377499999999884e-05,
-0.52,-2.5597499999999987e-05,
-0.5,-2.571425000000001e-05,
-0.48,-2.5695750000000097e-05,
-0.46,-2.576400000000006e-05,
-0.44,-2.5568249999999987e-05,
-0.42,-2.4968500000000057e-05,
-0.4,-2.455099999999999e-05,
-0.38,-2.4228999999999906e-05,
-0.36,-2.3774000000000006e-05,
-0.34,-2.3296000000000015e-05,
-0.32,-2.279099999999998e-05,
-0.3,-2.218400000000007e-05,
-0.28,-2.1603250000000007e-05,
-0.26,-2.092424999999994e-05,
-0.24,-2.025925000000004e-05,
-0.22,-1.958175e-05,
-0.2,-1.8718999999999995e-05,
-0.18,-1.792074999999992e-05,
-0.16,-1.712425000000001e-05,
-0.14,-1.6237500000000063e-05,
-0.12,-1.5299999999999992e-05,
-0.1,-1.4308250000000017e-05,
-0.08,-1.3348250000000026e-05,
-0.06,-1.2377500000000056e-05,
-0.04,-1.1333500000000043e-05,
-0.02,-1.0274250000000035e-05,
0.0,-9.325749999999954e-06,
0.02,-8.390749999999977e-06,
0.04,-7.597499999999983e-06,
0.06,-6.899249999999966e-06,
0.08,-5.6792500000000016e-06,
0.1,-4.501750000000056e-06,
0.12,-3.7290000000000587e-06,
0.14,-2.9882499999999692e-06,
0.16,-2.2567499999999983e-06,
0.18,-1.5207500000000108e-06,
0.2,-8.282500000000035e-07,
0.22,-2.2100000000001025e-07,
0.24,3.550000000000059e-07,
0.26,9.367499999999771e-07,
0.28,1.4715000000000214e-06,
0.3,1.9842500000000446e-06,
0.32,2.4709999999999836e-06,
0.34,2.9532499999999602e-06,
0.36,3.4000000000000284e-06,
0.38,3.816750000000004e-06,
0.4,4.267499999999972e-06,
0.42,4.6950000000000355e-06,
0.44,5.045000000000017e-06,
0.46,5.359999999999935e-06,
0.48,5.6675000000000605e-06,
0.5,5.959000000000042e-06,
0.52,6.145000000000044e-06,
0.54,6.244999999999938e-06,
0.56,6.27000000000006e-06,
0.58,6.234249999999958e-06,
0.6,,
0.58,,7.065749999999986e-06
0.56,,6.910000000000054e-06
0.54,,6.644250000000017e-06
0.52,,6.4400000000000264e-06
0.5,,6.2525000000000015e-06
0.48,,6.047500000000026e-06
0.46,,5.887500000000001e-06
0.44,,5.714999999999995e-06
0.42,,5.4992500000000406e-06
0.4,,5.2864999999999705e-06
0.38,,5.1057499999999706e-06
0.36,,4.925999999999986e-06
0.34,,4.6725000000000065e-06
0.32,,4.3875000000000186e-06
0.3,,4.124999999999951e-06
0.28,,3.858250000000007e-06
0.26,,3.562500000000039e-06
0.24,,3.19424999999996e-06
0.22,,2.8067499999999846e-06
0.2,,2.3965000000000574e-06
0.18,,1.9139999999999956e-06
0.16,,1.416000000000015e-06
0.14,,8.592500000000037e-07
0.12,,1.975000000000197e-07
0.1,,-5.282499999999962e-07
0.08,,-1.3217500000000217e-06
0.06,,-2.1617499999999662e-06
0.04,,-3.121749999999957e-06
0.02,,-4.141749999999971e-06
0.0,,-5.205750000000027e-06
-0.02,,-6.435750000000041e-06
-0.04,,-7.66075000000003e-06
-0.06,,-8.899250000000015e-06
-0.08,,-1.0197500000000046e-05
-0.1,,-1.154400000000005e-05
-0.12,,-1.2958499999999934e-05
-0.14,,-1.4331750000000061e-05
-0.16,,-1.5685750000000022e-05
-0.18,,-1.7027499999999925e-05
-0.2,,-1.8360000000000034e-05
-0.22,,-1.967074999999999e-05
-0.24,,-2.0915749999999916e-05
-0.26,,-2.2127499999999994e-05
-0.28,,-2.3248500000000027e-05
-0.3,,-2.433924999999999e-05
-0.32,,-2.5436499999999945e-05
-0.34,,-2.6797500000000016e-05
-0.36,,-2.8136000000000003e-05
-0.38,,-2.8584249999999986e-05
-0.4,,-2.8931500000000006e-05
-0.42,,-2.9735000000000026e-05
-0.44,,-3.0469999999999944e-05
-0.46,,-3.100000000000005e-05
-0.48,,-3.136250000000001e-05
-0.5,,-3.160499999999987e-05
-0.52,,-3.158349999999991e-05
-0.54,,-3.143150000000001e-05
-0.56,,-3.110075000000009e-05
-0.58,,-3.055924999999997e-05
-0.6,,-3.0300000000000005e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
