V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-8.699999999996037e-07,
-0.56,-6.915000000003169e-07,
-0.54,-6.399999999998855e-07,
-0.52,-6.709999999998315e-07,
-0.5,-6.867499999999981e-07,
-0.48,-6.750000000001113e-07,
-0.46,-6.790000000001743e-07,
-0.44,-6.864999999999129e-07,
-0.42,-7.767500000001142e-07,
-0.4,-6.850000000002687e-07,
-0.38,-6.84250000000013e-07,
-0.36,-6.934999999996978e-07,
-0.34,-6.349999999996983e-07,
-0.32,-6.915000000001e-07,
-0.3,-6.390000000004118e-07,
-0.28,-5.817499999999712e-07,
-0.26,-5.592499999996711e-07,
-0.24,-5.857499999998173e-07,
-0.22,-5.649999999998972e-07,
-0.2,-4.2849999999997057e-07,
-0.18,-3.2999999999999176e-07,
-0.16,-3.490000000001825e-07,
-0.14,-3.350000000001789e-07,
-0.12,-3.9599999999994674e-07,
-0.1,-4.132499999999744e-07,
-0.08,-2.999999999999531e-07,
-0.06,-2.7850000000021087e-07,
-0.04,-1.9900000000020596e-07,
-0.02,-1.8750000000018752e-07,
0.0,-1.5924999999987824e-07,
0.02,-1.3149999999973946e-07,
0.04,-1.524999999999617e-07,
0.06,-1.9999999999881224e-08,
0.08,-5.5000000000107047e-08,
0.1,-1.5674999999989309e-07,
0.12,-7.499999999955459e-09,
0.14,7.575000000002718e-08,
0.16,-6.825000000007173e-08,
0.18,-4.249999999996444e-08,
0.2,1.5000000002946684e-09,
0.22,4.000000000019613e-08,
0.24,-4.400000000025911e-08,
0.26,-1.0400000000011962e-07,
0.28,3.7499999999994135e-08,
0.3,8.249999999994373e-08,
0.32,1.1075000000003617e-07,
0.34,1.9000000000017267e-07,
0.36,1.2825000000036592e-07,
0.38,1.4000000000003593e-08,
0.4,3.999999999997929e-08,
0.42,1.5425000000012477e-07,
0.44,2.692499999998755e-07,
0.46,2.0425000000004467e-07,
0.48,7.17499999999642e-08,
0.5,7.749999999997342e-08,
0.52,1.4899999999985238e-07,
0.54,2.1575000000027995e-07,
0.56,2.2600000000052266e-07,
0.58,1.3499999999963194e-07,
0.6,,
0.58,,1.2749999999989332e-07
0.56,,2.0250000000009843e-07
0.54,,6.674999999977706e-08
0.52,,5.249999999990505e-08
0.5,,1.0150000000013447e-07
0.48,,6.400000000014033e-08
0.46,,1.3675000000001186e-07
0.44,,7.17499999999642e-08
0.42,,1.4075000000007484e-07
0.4,,1.817500000001783e-07
0.38,,8.174999999990482e-08
0.36,,1.189999999998137e-07
0.34,,1.6074999999995607e-07
0.32,,1.74250000000006e-07
0.3,,6.42499999997919e-08
0.28,,-1.0000000000157452e-08
0.26,,1.817500000001783e-07
0.24,,1.9750000000034497e-07
0.22,,2.2499999999866377e-08
0.2,,5.424999999963445e-08
0.18,,4.5000000000166435e-08
0.16,,6.500000000048134e-09
0.14,,3.900000000007196e-08
0.12,,-3.250000000024067e-09
0.1,,-1.4399999999988207e-07
0.08,,-1.4750000000020823e-07
0.06,,-2.100000000000539e-08
0.04,,-6.324999999966774e-08
0.02,,-4.575000000020535e-08
0.0,,-4.999999999970306e-09
-0.02,,-1.7574999999965014e-07
-0.04,,-2.2750000000038365e-07
-0.06,,-2.0250000000009843e-07
-0.08,,-2.2749999999994996e-07
-0.1,,-2.7850000000021087e-07
-0.12,,-3.7424999999990244e-07
-0.14,,-3.700000000001879e-07
-0.16,,-3.774999999999265e-07
-0.18,,-4.1649999999999847e-07
-0.2,,-5.207499999997697e-07
-0.22,,-5.784999999997303e-07
-0.24,,-5.324999999998734e-07
-0.26,,-4.1825000000016155e-07
-0.28,,-4.259999999999854e-07
-0.3,,-5.492499999997305e-07
-0.32,,-6.640000000000465e-07
-0.34,,-7.340000000000645e-07
-0.36,,-6.800000000002984e-07
-0.38,,-8.910000000000428e-07
-0.4,,-9.467499999997551e-07
-0.42,,-8.057499999998118e-07
-0.44,,-8.267500000002509e-07
-0.46,,-7.567500000000161e-07
-0.48,,-7.739999999998269e-07
-0.5,,-7.415000000000199e-07
-0.52,,-8.285000000001971e-07
-0.54,,-8.824999999999632e-07
-0.56,,-8.300000000000581e-07
-0.58,,-7.849999999998917e-07
-0.6,,-6.730000000003231e-07
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
