V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-2.8717499999999997e-05,
-0.56,-2.6430750000000123e-05,
-0.54,-2.4978499999999944e-05,
-0.52,-2.3888499999999966e-05,
-0.5,-2.3050749999999976e-05,
-0.48,-2.2341500000000003e-05,
-0.46,-2.1779250000000013e-05,
-0.44,-2.1261749999999943e-05,
-0.42,-2.0736500000000048e-05,
-0.4,-2.0222499999999978e-05,
-0.38,-1.972499999999995e-05,
-0.36,-1.9154250000000045e-05,
-0.34,-1.8606000000000004e-05,
-0.32,-1.8049999999999924e-05,
-0.3,-1.7405000000000014e-05,
-0.28,-1.6818250000000018e-05,
-0.26,-1.6137500000000006e-05,
-0.24,-1.5445000000000053e-05,
-0.22,-1.4692499999999968e-05,
-0.2,-1.3872325000000008e-05,
-0.18,-1.3080750000000042e-05,
-0.16,-1.223042500000002e-05,
-0.14,-1.1347499999999993e-05,
-0.12,-1.0448749999999963e-05,
-0.1,-9.57282500000002e-06,
-0.08,-8.629499999999996e-06,
-0.06,-7.677100000000049e-06,
-0.04,-6.812000000000002e-06,
-0.02,-5.805575000000009e-06,
0.0,-4.779250000000007e-06,
0.02,-3.885175e-06,
0.04,-3.0305749999999824e-06,
0.06,-2.189324999999964e-06,
0.08,-1.3922499999999933e-06,
0.1,-6.873249999999774e-07,
0.12,2.6399999999922362e-08,
0.14,6.775000000000422e-07,
0.16,1.2671750000000054e-06,
0.18,1.8107499999999962e-06,
0.2,2.2622500000000036e-06,
0.22,2.704750000000032e-06,
0.24,3.112999999999982e-06,
0.26,3.4879999999999503e-06,
0.28,3.834325000000007e-06,
0.3,4.158574999999989e-06,
0.32,4.437349999999969e-06,
0.34,4.701925000000039e-06,
0.36,4.999074999999996e-06,
0.38,5.244399999999953e-06,
0.4,5.444174999999989e-06,
0.42,5.6926e-06,
0.44,5.9936500000000404e-06,
0.46,6.2312500000000464e-06,
0.48,6.4521000000000055e-06,
0.5,6.660574999999973e-06,
0.52,6.873999999999948e-06,
0.54,7.101574999999978e-06,
0.56,7.2490750000000505e-06,
0.58,7.444675000000019e-06,
0.6,,
0.58,,9.542424999999953e-06
0.56,,8.792675000000047e-06
0.54,,8.272150000000002e-06
0.52,,7.829074999999994e-06
0.5,,7.4106e-06
0.48,,7.040425000000023e-06
0.46,,6.696825000000002e-06
0.44,,6.371250000000001e-06
0.42,,6.089000000000029e-06
0.4,,5.769499999999986e-06
0.38,,5.478499999999958e-06
0.36,,5.236000000000016e-06
0.34,,4.9257500000000095e-06
0.32,,4.634749999999981e-06
0.3,,4.378674999999991e-06
0.28,,4.063149999999975e-06
0.26,,3.736499999999987e-06
0.24,,3.396425000000002e-06
0.22,,3.024150000000041e-06
0.2,,2.5882499999999866e-06
0.18,,2.1051749999999455e-06
0.16,,1.555000000000035e-06
0.14,,9.166750000000432e-07
0.12,,2.538249999999823e-07
0.1,,-4.6192499999998457e-07
0.08,,-1.2643250000000093e-06
0.06,,-2.1341749999999955e-06
0.04,,-3.0786749999999862e-06
0.02,,-4.064575e-06
0.0,,-5.058750000000044e-06
-0.02,,-6.09367499999997e-06
