V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-1.6607499999997215e-06,
-0.56,-1.7457499999998672e-06,
-0.54,-1.6257500000001462e-06,
-0.52,-1.5582500000003302e-06,
-0.5,-1.6567500000000922e-06,
-0.48,-1.6467500000001516e-06,
-0.46,-1.507499999999504e-06,
-0.44,-1.6474999999997568e-06,
-0.42,-1.7782500000003247e-06,
-0.4,-1.6474999999999736e-06,
-0.38,-1.673500000000383e-06,
-0.36,-1.5982500000000927e-06,
-0.34,-1.5024999999999674e-06,
-0.32,-1.5860000000000353e-06,
-0.3,-1.5514999999997631e-06,
-0.28,-1.323249999999991e-06,
-0.26,-1.2750000000000174e-06,
-0.24,-1.3174999999999819e-06,
-0.22,-1.2610000000000138e-06,
-0.2,-1.21499999999994e-06,
-0.18,-1.0764999999997651e-06,
-0.16,-1.034249999999886e-06,
-0.14,-1.0725000000001358e-06,
-0.12,-9.450000000000257e-07,
-0.1,-8.06749999999936e-07,
-0.08,-7.289999999998773e-07,
-0.06,-5.992500000005178e-07,
-0.04,-6.200000000000042e-07,
-0.02,-5.774999999996061e-07,
0.0,-5.575000000001586e-07,
0.02,-5.34000000000168e-07,
0.04,-3.7849999999983383e-07,
0.06,-2.5499999999978665e-07,
0.08,-1.1900000000003054e-07,
0.1,-1.5999999999991715e-07,
0.12,-1.5349999999986902e-07,
0.14,-1.3599999999997295e-07,
0.16,-1.9075000000021158e-07,
0.18,-1.057500000002827e-07,
0.2,-7.499999999977143e-08,
0.22,-6.499999999983082e-08,
0.24,2.4250000000029456e-08,
0.26,1.124999999999824e-07,
0.28,1.025000000000418e-07,
0.3,9.074999999972126e-08,
0.32,2.1074999999987597e-07,
0.34,2.2350000000010382e-07,
0.36,1.792499999999763e-07,
0.38,1.6824999999991153e-07,
0.4,1.2825000000014908e-07,
0.42,1.5574999999998576e-07,
0.44,2.949999999999828e-07,
0.46,3.2850000000013077e-07,
0.48,3.467499999998489e-07,
0.5,4.007499999998318e-07,
0.52,4.024999999999949e-07,
0.54,3.417500000003123e-07,
0.56,2.715000000002091e-07,
0.58,2.682499999997513e-07,
0.6,,
0.58,,4.6999999999981085e-07
0.56,,4.225000000003098e-07
0.54,,4.72499999999796e-07
0.52,,4.114999999998113e-07
0.5,,5.100000000002238e-07
0.48,,4.774999999997663e-07
0.46,,3.707499999997931e-07
0.44,,3.8600000000022297e-07
0.42,,3.184999999999733e-07
0.4,,3.1249999999987885e-07
0.38,,3.782499999999654e-07
0.36,,3.4749999999988783e-07
0.34,,3.317500000003717e-07
0.32,,3.265000000000993e-07
0.3,,3.774999999999265e-07
0.28,,2.367500000000685e-07
0.26,,1.0399999999990278e-07
0.24,,1.217499999998841e-07
0.22,,2.1100000000017806e-07
0.2,,1.8575000000024128e-07
0.18,,4.824999999997366e-08
0.16,,-1.1750000000103691e-08
0.14,,4.000000000019613e-08
0.12,,5.249999999990505e-08
0.1,,-1.4250000000002108e-07
0.08,,-2.6074999999979587e-07
0.06,,-2.249999999999648e-07
0.04,,-2.9250000000021446e-07
