V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-1.471499999999978e-05,
-0.56,-1.4606000000000341e-05,
-0.54,-1.4815750000000093e-05,
-0.52,-1.482749999999998e-05,
-0.5,-1.4848500000000202e-05,
-0.48,-1.4845749999999915e-05,
-0.46,-1.506399999999953e-05,
-0.44,-1.5273249999999978e-05,
-0.42,-1.5130000000000352e-05,
-0.4,-1.4958499999999982e-05,
-0.38,-1.4740999999999973e-05,
-0.36,-1.468249999999954e-05,
-0.34,-1.482749999999998e-05,
-0.32,-1.4815000000000054e-05,
-0.3,-1.4646500000000274e-05,
-0.28,-1.438149999999968e-05,
-0.26,-1.4267499999999836e-05,
-0.24,-1.4160999999999948e-05,
-0.22,-1.3818499999999814e-05,
-0.2,-1.3539000000000346e-05,
-0.18,-1.3202499999999655e-05,
-0.16,-1.2886750000000186e-05,
-0.14,-1.2692500000000516e-05,
-0.12,-1.2071750000000256e-05,
-0.1,-1.1610000000000006e-05,
-0.08,-1.1388249999999631e-05,
-0.06,-1.069325000000029e-05,
-0.04,-9.997500000000041e-06,
-0.02,-9.45499999999936e-06,
0.0,-8.830750000000075e-06,
0.02,-8.25250000000043e-06,
0.04,-7.956749999999974e-06,
0.06,-7.62824999999941e-06,
0.08,-6.689250000000129e-06,
0.1,-5.66675000000013e-06,
0.12,-5.130000000000325e-06,
0.14,-4.682499999999947e-06,
0.16,-4.2915000000001875e-06,
0.18,-3.959999999999901e-06,
0.2,-3.338499999999602e-06,
0.22,-2.724999999999863e-06,
0.24,-2.3715000000003143e-06,
0.26,-1.866750000000146e-06,
0.28,-1.3774999999996256e-06,
0.3,-9.790000000003442e-07,
0.32,-6.149999999998171e-07,
0.34,-2.7849999999956035e-07,
0.36,2.1574999999962943e-07,
0.38,5.33499999999347e-07,
0.4,8.325000000002601e-07,
0.42,1.2307500000001068e-06,
0.44,1.4067499999998422e-06,
0.46,1.6867500000003477e-06,
0.48,1.889000000000144e-06,
0.5,1.9739999999996392e-06,
0.52,2.071749999999796e-06,
0.54,1.882500000000096e-06,
0.56,1.6475000000001905e-06,
0.58,1.7617499999994686e-06,
0.6,,
0.58,,7.519249999999537e-06
0.56,,6.825000000000234e-06
0.54,,6.370750000000373e-06
0.52,,5.842500000000431e-06
0.5,,5.435749999999854e-06
0.48,,5.274999999999898e-06
0.46,,4.980999999999822e-06
0.44,,4.4417500000000325e-06
0.42,,4.0965000000000446e-06
0.4,,3.7582500000002753e-06
0.38,,3.38000000000031e-06
0.36,,3.1859999999996405e-06
0.34,,2.8367500000000233e-06
0.32,,2.4600000000001357e-06
0.3,,2.003249999999856e-06
0.28,,1.376500000000152e-06
0.26,,9.292499999996422e-07
0.24,,5.42499999999814e-07
0.22,,-1.049999999998101e-07
0.2,,-9.82499999999803e-07
0.18,,-1.6107500000000184e-06
0.16,,-2.2799999999999036e-06
0.14,,-3.0350000000001903e-06
0.12,,-3.9824999999997675e-06
0.1,,-5.241000000000013e-06
0.08,,-6.305749999999891e-06
0.06,,-7.444999999999587e-06
0.04,,-8.661750000000124e-06
0.02,,-9.671499999999895e-06
0.0,,-1.082399999999999e-05
-0.02,,-1.1956000000000466e-05
-0.04,,-1.2801749999999824e-05
-0.06,,-1.3769000000000715e-05
-0.08,,-1.4795749999999778e-05
-0.1,,-1.5859250000000314e-05
-0.12,,-1.6492500000000066e-05
-0.14,,-1.6840749999999776e-05
-0.16,,-1.7555999999999735e-05
-0.18,,-1.8147500000000212e-05
-0.2,,-1.8418999999999987e-05
-0.22,,-1.8581000000000153e-05
-0.24,,-1.9071749999999884e-05
-0.26,,-1.9246500000000277e-05
-0.28,,-1.9120000000000074e-05
-0.3,,-1.9054249999999988e-05
-0.32,,-1.8811750000000127e-05
-0.34,,-1.9054249999999988e-05
-0.36,,-1.9048999999999715e-05
-0.38,,-1.849074999999995e-05
-0.4,,-1.7938499999999632e-05
-0.42,,-1.7561749999999744e-05
-0.44,,-1.69790000000003e-05
-0.46,,-1.6423250000000087e-05
-0.48,,-1.6007500000000344e-05
-0.5,,-1.5269999999999954e-05
-0.52,,-1.4746749999999982e-05
-0.54,,-1.4039249999999847e-05
-0.56,,-1.3080750000000422e-05
-0.58,,-1.2388999999999803e-05
-0.6,,-1.2075000000000378e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
