V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-2.892924999999989e-05,
-0.56,-2.8974250000000164e-05,
-0.54,-2.8961500000000044e-05,
-0.52,-2.894824999999997e-05,
-0.5,-2.895250000000001e-05,
-0.48,-2.8870750000000106e-05,
-0.46,-2.8806749999999966e-05,
-0.44,-2.8654249999999896e-05,
-0.42,-2.8358250000000006e-05,
-0.4,-2.802924999999992e-05,
-0.38,-2.7683500000000088e-05,
-0.36,-2.7310000000000116e-05,
-0.34,-2.6912500000000038e-05,
-0.32,-2.632999999999992e-05,
-0.3,-2.579749999999999e-05,
-0.28,-2.5220000000000006e-05,
-0.26,-2.444999999999997e-05,
-0.24,-2.369074999999997e-05,
-0.22,-2.2836500000000045e-05,
-0.2,-2.2064250000000056e-05,
-0.18,-2.1211749999999914e-05,
-0.16,-1.9870749999999942e-05,
-0.14,-1.8575750000000097e-05,
-0.12,-1.735425e-05,
-0.1,-1.603100000000001e-05,
-0.08,-1.4730000000000017e-05,
-0.06,-1.3305750000000061e-05,
-0.04,-1.1942500000000037e-05,
-0.02,-1.0594250000000032e-05,
0.0,-9.173250000000046e-06,
0.02,-7.730000000000009e-06,
0.04,-6.300749999999921e-06,
0.06,-4.953249999999955e-06,
0.08,-3.7042500000000213e-06,
0.1,-2.539999999999986e-06,
0.12,-1.4424999999999985e-06,
0.14,-3.8324999999998994e-07,
0.16,5.517499999999867e-07,
0.18,1.3932499999999549e-06,
0.2,2.2440000000000957e-06,
0.22,2.976750000000005e-06,
0.24,3.5274999999999218e-06,
0.26,4.109999999999986e-06,
0.28,4.7042499999999914e-06,
0.3,5.200000000000018e-06,
0.32,5.639249999999968e-06,
0.34,6.016499999999972e-06,
0.36,6.358999999999998e-06,
0.38,6.763500000000024e-06,
0.4,7.057499999999991e-06,
0.42,7.298999999999945e-06,
0.44,7.634249999999992e-06,
0.46,7.90675e-06,
0.48,8.130000000000019e-06,
0.5,8.26249999999999e-06,
0.52,8.370000000000003e-06,
0.54,8.553249999999988e-06,
0.56,8.596750000000022e-06,
0.58,8.528500000000005e-06,
0.6,,
0.58,,8.969249999999979e-06
0.56,,8.712500000000029e-06
0.54,,8.466749999999981e-06
0.52,,8.233249999999991e-06
0.5,,8.025749999999976e-06
0.48,,7.866750000000021e-06
0.46,,7.622499999999997e-06
0.44,,7.402499999999948e-06
0.42,,7.210749999999992e-06
0.4,,6.982500000000003e-06
0.38,,6.816749999999968e-06
0.36,,6.599249999999959e-06
0.34,,6.368250000000008e-06
0.32,,6.12999999999997e-06
0.3,,5.838499999999934e-06
0.28,,5.594999999999949e-06
0.26,,5.335750000000014e-06
0.24,,5.003249999999983e-06
0.22,,4.642499999999968e-06
0.2,,4.32325000000001e-06
0.18,,3.93250000000001e-06
